Word,Riddle,Class
map,"I can show you where things are but I'm not a tour guide. I have a scale but I dont weigh things. I contain roads but I'm not a city. I can be on paper or on a phone but I'm not a shopping list. I can show you whats north, south, west and east but I'm not a compass. What am I?",what am i
bar code,My first offers a variety of drinks.My second defines the way a program thinks.My whole can be read as fast as the eye blinks. What am I?,what am i
book,The land was white the seed was black it'll take a good scholar to riddle me that. What is it?,what is it
laptop,Im something you can hold also that you can find anything on me what am i ???????????,what am i
car,"My food and drink were left behind by ancients from another time. I grind my feet upon the earth with strength come from a metal hearth. My mind is trapped when I run free when still, it wanders far from me.What am I?",what am i
tongue,"I am often described as, A smooth talker who keeps on trekking, I don't stop until the end of the day, That's why I'm always sweating. My strength is so immense, My physique a blood-tangled mesh, And while fellow knights wear armour of fresh snow spray, And as they catch and torture prey, My body really tastes the flesh. I love to dance and prance around, My whole life is a party rave, My only drawback and lack of freedom, Is I'm tied down at the depth of a cave. Sometimes when I talk I'm serious, Often I just roll about, But when feeling as merry as cupid, I really start to say something stupid, I even manage to get my knights knocked out. I often greet random, unknown people, Sometimes I have to say bye, But still I keep on moving in my dampness, Can you guess - WHAT AM I??",what am i
shoe,"i have got a soul but i do not live,i have a tounge but do not eat,i have a heel but i cannot stop myself what am i?",what am i
footsteps,"the more of these you take, the more of these you leave behind. . what am I??",what am i
coffin,the person who invented it does not need it.   the person who brought it does not want it.   the person who needs it doesen't know it    what is it?,what is it
black hole,I am not a person nor an animal. I was born from the death of something large and hot. I am capable of consuming anything and everything. I am very dark and exists in a place where there is no gravity. What am I?,what am i
liar,"I have a thousand arms, a thousand legs, and five hundred heads. Who am I?",who am i
cloud,i fly but have no wings .  i cry but have no eyes  i see the sky get dark and i see when the sun comes up. What am i,what am i
tornado,"I'm tall and twisted;Narrow and fast;I'm there for a moment,But my devastation lasts.What am I?",what am i
stoplight,"Three eye's have I, all in a row. When red, all freeze.What am I?",what am i
feelings,"I'm weak, but I'm strong. I have no powers, but I'm powerful. What am I?",what am i
boat,You will need this type of transport. To be able to leave a port. You can then float upon the water. And cast nets for fish to be caught. What am I?,what am i
curiosity,"I lead the way into the unknown, and bring strength where there is fear. I am the creator of invention, and the maker of all adventure. What am I?",what am i
chimney,"Black within, red without, with four courners, round about. What is it?",what is it
dream,"I am a tale in childrens? minds.    I keep their secrets and share them inside.    I blur their thoughts into fantasies kept   Like a canvas of art or a submarine depth.    Though an illusion, it occurs every night;   I give them a fantasy, I give them a fright.    Nor good or bad, but always nigh?   It?s interesting to tell.     What am I?",what am i
peanut butter,Packaged in a jar or perhaps a tub.Enjoyed from Wellington to Timbuktu. Although some may think I come from a nut.Nutritionists would know that I do not. Use me to form a delicious lunch slice.Tastier yet with my fruity topper. What am I?,what am i
coffee,"Monday's can be depressing which is why you need me, I I have a national day in which I'm given out for free. What am I?",what am i
cherry,I have a red cap on my head and a stone in my throat my sweetness is something of note. What am I?,what am i
heart,"Without me you will not live. Without me you will not love. Without me you have no courage,what am i?",what am i
tectonic plate,"I shift around, though always slowly. I never move more than a few inches at a time. A large movement by me can kill many people. I am huge, yet unseen by humans. What am I?",what am i
code,You need a key to receive an answer from me. The answer you'll find is straight from your mind. What is it?,what is it
light switch,"When I point up it's bright, but when I point down it's dark.   What am I?",what am i
microphone,"I say everything I hear to others around.    I'm not an animal, nor part of the human race.    I will, immediately, repeat after you;   But only if my tail is in place.    What am I?",what am i
guilt,"I can be as light as a feather,and as heavy as a boulder,I come in all shapes and sizes. what am I?",what am i
candle,My life can last some hours. The thing I produce consumes me. I am immune to grey light - the only thing that can kill me. Who am I?,who am i
truth,"Crack this riddle, take the prize; Cheat, and I shall know your lies; For I hide in your words, you see; A bond that begets your honesty. What am I?",what am i
rainbow,"Reflected from water everyday.Though I may appear in other ways.Across the spectrum I must be.As many as five, you see.After the clouds leave your sky.Above the land where birds fly.I inspire tales of treasure and gold.Which you can get if the little one you hold.I am serenity after the storm.Creating comfort is my norm. What am I?",what am i
floppy disk,"You write on me and secrets I can keep. In places never seen. I spin like a top. Though stiff as a board, I'm often described like a mop. What am I?",what am i
fan,"I have hands that wave at you, though I never say goodbye. It's cool for you to be with me, especially when I say, ""HI."" What am I?",what am i
lemon,What Am I?I'm yellow but I'm not a rubber duck. I have seeds but I'm not a sunflower. I'm oval but I'm not an egg. I'm sour but I'm not a piece of candy. I'm a fruit but I'm not a banana,what am i
A bullet.,In a tunnel of darkness lies a beast of iron. It can only attack when pulled back.What is it?,what is it
Last supper,I am the most famous dinner. What am I?,what am i
wedding ring,I hold two people together but touch only one. What am I?,what am i
elevator,"People walk in and out of me. They push and I follow. When they walk out on me, I close up and I stay waiting for the next person to walk into my life when I have a more open mind. What am I?",what am i
food,"There is one thing that can be. . . Bad,good,and perfect. But it can't be 2 things. What am I?",what am i
smart phone,"I can make you smile and frown. Make you laugh, and even make you cry. I can cause crashes, also you use me everyday. I can make you dance. Some use me to go to sleep. What am I?",what am i
animal cracker,"I'm an animal that makes no sound. Songs have been made about me. Vegetarians will eat me. I'm neither dead, nor alive. Kids often play with me. I may even taste sugary. What am I?",what am i
A peanut.,"A structure with two occupants, sometimes one, rarely three. Break the walls, eat the borders, then throw away me.What am I?",what am i
hanger,You take my clothes off when you put your clothes on. What am I?,what am i
cake,"I cheer you up when someone or something hurts you. You're satisfied by the way treat you. I'm there for you through thick and thin. Even when you're down, sometimes I'm there all year round. What am I?",what am i
umbrella,"I'm a shape shifter varied in colour and size.But when you see me I'm easy to recognize. At times a shady character, other times not.I might be able to help you in a hot spot. Usually unemployed in the season of cold.But working year-round if you are willing to hold. With your assistance I act as a lightweight shield.So as to counteract what the heavens may yield. What am I?",what am i
hole,"I am weightless, but you can see me. Put me in a bucket, and I'll make it lighter. What am I?",what am i
bouquet,I'm with the bride on her wedding day. Fashioned with ribbon and maybe some roses. She even keeps me close in the wedding picture poses.What am I?,what am i
wave,I have two meanings  One meanings involves a hand  the other crashes into sand  What am I?,what am i
A riddle.,"Something that requires our mental skill to decode it, our imagination to understand it, and our knowledge to be tested to its max, it confuses us at every stage, it seems easy yet difficult, and only those who are used to, will get through. What is it?",what is it
A Frog.,I have four legs but no tail. Usually I am heard only at night. What am I?,what am i
shoe,"I have a soul, but I'm not alive.  I carry Human parts inside.  I work best when I'm tied.  What am I?",what am i
balloon,"My first four letters describe a bouncy toy. My last four letters mean crazy. I am both tall and short, long and narrow. I scream when you poke me. What am I?",what am i
keyboard,"I can slash but I have no knife, I can dash but I have no legs, I can pound but I have no hammer, I can star but I have no stage. What am I?",what am i
bathtub,"I am big sink, with a curtain.  I even have soap.  What am I?",what am i
tobacco,"Three-fourths of a cross, and a circle complete, An upright where two semicircles meet, A rectangle triangle standing on feet, Two semicircles, and a circle complete. What is it?",what is it
candle,I'm tall when I'm young and I'm short when I'm old. What am I?,what am i
broom,"You use me to clean, but the powerful take me for a ride. What am I?",what am i
peach,"My heart is as hard as stone,  yet my flesh is soft and sweet.    What am I?",what am i
T-shirt,"You go in through one hole, you come out through three holes.Once you're inside you're ready to go outside, but once you're outside you're still inside.What is it?",what is it
Silence,No sooner spoken than broken. What is it?,what is it
washing machine,I am not a gossip but I get involved in everyone's dirty business. What am I?,what am i
sea,"I can wear boulders into pebbles, I can eat away at the land. I am home to predators and prey of old. All life came from me. I can never die, but am being added to and subtracted from, depending on the chance of rain.  What am I?",what am i
scarecrow,I was crucified to keep murders out of the maze. What am I?,what am i
phantom,"My first letter is in the spell, but not the book My second letter is in the fright and also the shook My third letter is in the cauldron, but never in pot My fourth letter is in the net and also in the knot My fifth letter is in the bat, but never in the vampire My sixth letter is in the coal, but not found in fire My seventh letter is in moon, but not in night Who am I?",who am i
gold,"what is bright as the sun,   but cold as the earth.   worn by women of value and worth.   What am i?",what am i
shadow,"Only one color, but not one size,    Stuck at the bottom, yet easily flies.     Present in sun, but not in rain,    Doing no harm, and feeling no pain.     What is it. ",what is it
seed,"In the ground I am nothing, but give me time and I'll be something. What am I?",what am i
pencil lead,"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?",what am i
fence,I run around your yard with out moving! What am I?,what am i
watch,"I am small and black, gold, silver, brown, red, or blue. I am always desired when you're lost, worried, or running out of time. With me by your side you'll never be late. Just set me and forget me until a later time or date. What am I?",what am i
Mona Lisa,I was born in Italy then I moved to France.I am only half figured so I cannot dance.I keep my right hand snug over my left wrist.I have an enigmatic smile though I cannot kiss.If you measure my height I'm only seventy seven.I have an Oscar thanks to Livingston and Evans.I lived with Napoleon but that was not fun.Cole put me on the Billboard eight weeks number one.Who am I?,who am i
bowling alley,"I am a place where all deliveries are returned to the sender, those who perform better need to do less work, and a lot of things get knocked over, but generally speaking, nothing gets broken. What am I?",what am i
time,"I can break buildings, make things rust, distroy earth.  But yet, I'm not a thing you can touch, see, hear, smell or taste me.  What am I?",what am i
skin,"You'll find me all around you; I can be clear but not seen through; If I get cut you can glue me shut, but I can do it too.  What am I?",what am i
current,"I am strong and silent in air and rivers. I can also give you shocks and shivers. Sounding small and black and off the vine. I'm here, right now at this moment in time.  What am I?",what am i
toothbrush,I'm going in on a mission.To improve a head condition. With a squeeze I have been equipped.For a daily task ought not skipped. Using the most proper technique.I'll traverse every trough and peak. I strive to keep them all intact.Let nothing from my goal distract. What am I?,what am i
fortune cookie,"You can eat the outside of me.The inside you can not.Will you get rich, lose, or win something? Ask me!  What am I?",what am i
towel,I'm a five letter word. Remove my last two letters and I'm a synonym of drag. My second and third letters form an exclamation and my first and second letters are a homophone with a number. What am I?,what am i
gloves,A hand without flesh and nothing can I hold. My grip cannot be used until I am sold. What am I?,what am i
rings,"A keeper of time within thousand-armed giants, I take form many times throughout the cosmos, at the beginning of omega and the end of each ego, in the hands of man I manifest bonds of love, never to be broken but by the Grim Reaper himself.  What am I?",what am i
scarf,"You use me for multiple reasons, I am many colored, and many shaped. I may or may not also tell you your sexual preference. What am I?",what am i
Minecraft,You can build or destroy. Let creativity soar but be careful at night. What am I?,what am i
goose,I grow up while growing down. What am I?,what am i
dog,"Half of those who read this riddle, I am your best friend.I depend on you, but it's you I will defend.What am I?",what am i
slot machine,"I will be nice, if you see pics thrice. I bear fruit of trees, sometimes in 3's. I am but an arm's length in front of you. What am I?",what am i
glass,I am like the sparkling treasure. I can imitate someone. I am a rainbow god. I can see your beauty. I can give you a shield from gadgets. But my bones may break if you fall me.   Who am I??,who am i
drawbridge,I open to close but I close to open. I'm surrounded by water but I'm never soaking. What am I?,what am i
Tea.,"You get 2 clues to this riddle. 1. It can be green, black, or even sweet. 2. It sounds like a letter. What is it?",what is it
horizon,"When you stop and look, you can always see me. If you try to touch you cannot feel me. I cannot move, but as you near me, I will move away from you. What am I?",what am i
pearl,"Lovely and round, I shine with pale light, grown in the darkness, A lady's delight. What am I?",what am i
water,I am a strong as ten men Yet ten men cannot stand me up. What am I?,what am i
soap bubble,I am full of shimmer and shine. Every color of the rainbow shows.yet I am clear. When I appear there is fun for all.but I always disappear.  What Am I?,what am i
piggy bank,"My body has a dozen heads or more, My tails don't wag when you walk in the door. Count the ways you can hold me tight, Or use me for a special night! What Am I?",what am i
snail,"I am found in the sea and on land but I do not walk or swim. I travel by foot but I am toeless. No matter where I go, I'm never far from home. What am I?",what am i
flower,"I seek light, I cry at dawn. When one takes flight, My children are gone. What am I?",what am i
baby,"I can bring a smile to your face,A tear to your eye,Or even a thought to your mind.But, I cant be seen.What am I?",what am i
butterfly,When there is a fly near our food it is normally a pest.  But when we see this fly near food it is often a welcome guest.  What am I?,what am i
may,"If May's daughter's daughter is my granddaughter's mother's mother's brother's sister, then what am I to May? (May only has one sibling)",what am i
moon,"I you don't move I move, if you move I still move. I can shine but am not a light bulb. I will fall before you wake up. What am I?",what am i
liar,"i have 50 legs, 10 eyes, 4 tails, 5 ears, and 3 heads.  what am i?",what am i
jasim,i am stupid what am i,what am i
mother,I gave you the greatest gift anyone could ever give. I will love you unconditionally for as long as you live. Who am I?,who am i
roads,I run through hills; I veer around mountains.  I leap over rivers and crawl through the forests.  Step out your door to find me.   What am I?,what am i
fly,I spend the day in the window and I hide at night. When I get hungry I will visit your table for a meal. What am I?,what am i
charcoal,Light me up in backyard gatherings. What am I?,what am i
eyelashes,"I am used to bat with, yet I never get a hit.   I am near a ball, yet it is never thrown.   What am I?",what am i
paper airplane,"You can throw me, I will fly. Throw me the right way, I'll get nice and high. The more weight the worse, the less weight the better. I can be made of light material, try a letter. What Am I?",what am i
dice,"What has six faces, but does not wear makeup, has twenty-one eyes, but cannot see? ""What is it?""",what is it
tide,I'm pulled along from way up high. I clean the shore like a janitor guy. Sometimes wet and sometimes dry. What am I?,what am i
hare,"I SHARE A NAME WITH SOMETHING DEAD, WHICH DOESN'T FADE, BUT GROWS INSTEAD.  WHAT AM I?",what am i
odometer,You turn me over after you have traveled far. What am I?,what am i
swing,"I'm a pendulum that many children will see, I become so when someone sits on me. I rock back and forth with a gentle glide, But I'm so thin you couldn't use me to hide. What am I?",what am i
armchair,"I have legs but walk not, a strong back but work not, two good arms but reach not, a seat but sit and tarry not. What am I?",what am i
waterfall,"I run, though I have no legs to be seen.  I possess no heat, though I do have steam.  I have no voice to let words out, but from far away you can still he me shout.   What am I?",what am i
bee,"I had no father, only a grandfather. I shall bear no sons, only daughters. What am I?",what am i
camouflage,I am used very often to get away from my ememy. These colors make me happy when they help me. Try to find me but you can not even try. what am I?,what am i
arrow,"My posterior is adorned with feathers. I have a rather long neck and quite a pointy nose. I am able to fly, yet I have no wings. What am I?",what am i
clock,I am a round arena .I have three racers .They have different lengths .Also different speeds .There is no starting or ending.No winner or loser either. What am I?,what am i
moon,I'm light I'm dark yet I'm not always around.   Sometimes I'm have sometimes I'm full.    What am I?,what am i
friendship,"I'm like a sheltering tree.You planted in fertile ground: When you carefully nurtured me, My roots grew deeply bound. I protected you from the rain.And life's many raging storms. You delighted in me again.When days were sunny and warm. My wood, it has no worth. My fruit you cannot eat, But above all things on Earth, I am most precious and sweet. There's one last thing to tell, A hint from me to you: You can't raise me by yourself -.I must be cultivated by two. What am I?",what am i
kiss,"You can use me to say hello, And to say goodbye. I'm no good when I'm too dry, I can be quick or I can be slow. What am I?",what am i
truth,"Most ask for me, yet some hate to face me. For some I am agony and for others, I am relief. What am I?",what am i
friendship,"I am something you want, but you cannot buy me.  If Iâ€™m strong enough, then I will last forever.  What am I?",what am i
coincidence,"There is something blue flying through the air, something red is falling of the roof, and at the same moment the phone rings.  What is it?",what is it
light,"I can fill a room but take up no space. Look out at night, and I am in no place. What am I?",what am i
calorie,"I'm a unit of heat generation. I am prone to great quantification. There are many aware of the #'s I bear. Some in triumph, and some in frustration. What am I?",what am i
dimensions,"A sphere has three, a circle has two, and a point has zero. What is it?",what is it
chakra,"Round and Round, never off the ground. What am I?",what am i
paper,Plates use it.Trees loose it.Dad peruses it.Fire chews it.What is it?,what is it
sea,"I pounce like a bull  Every day one big haul,  I cut like a knife  But im as soft as a wife.    What am I?",what am i
beard,Women don't have and don't want it. Men get it but sometimes they try to get rid of it. What is it?,what is it
im a fish,"I am as cold as death, but ever breathing.   Never thirsty, but ever drinking.   Covered in mail, but never clinking.   What am I?",what am i
watch,"I have a face that changes, A heart that beats on time, My body can be broken, but that won't make me die. Although I don't make decisions, Or tell you what to do, One look at me and you do see what there is to do! You say you're lost without me, when I'm not around. But I can give my place away and always can be found. What am I?",what am i
vowels,"You find me in cars, you find me in hats, You can usually find me in a cat. You see me in eggs, you see me in trees, You couldn't talk without me. You hear me in chimes, you see me in pigs, Without me a bald man can't wear a wig. You find me in dogs, you hear me in song, Sorry this poem took so long. You find me in mugs, and out and about, Without me you couldn't shout!  What am I?",what am i
iron,"My name states I'm a singular male, I can have a number, a head, but no tail. I've also great strength and I can be tough, But I'll smooth things out when they are rough. Although I go back to an age now gone, I'm around today for everyone. What am I?",what am i
mirror,When you stare at me u see a you in reverse. What am I?,what am i
border,"I can separate nations from nations, or line a thank you note. What am I?",what am i
moon,"Always old, sometimes new. Never sad, sometimes blue. Never empty, sometimes full. Never pushing, always pulling. What am I?",what am i
street or road,"From house to house he goes,  A messenger small and slight.   And whether it rains or snows,  He sleeps outside at night.   What am I?",what am i
bullet,In a tunnel of darkness lies a beast of iron.  It can only attack when pulled back.  What is it?,what is it
dentist,I build bridges of silver and crowns of gold.  Who am I?,who am i
Santa Claus,I invade your home once a year.  but only if you've been good. What am I?,what am i
bat,"You can see me awake at night, I am so dark I can be out of sight, Some are scared of me when I come around, I make a little squeaky sound.  What am I?",what am i
lawsuit,What is it that no one wants yet no one want to lose?,what is it
lighthouse compass,"Guides travelers, never moves, Always turning, never looks, Always shining, never burns, Looks on blue fields with each of its turns.  What is it?",what is it
anteater,"I am an animal named after the animal that I eat, what am I?",what am i
backpack,I have a mouth on my head and eat everything. What am I?,what am i
clock,It keeps on revolving .but doesn't move.  What is it?,what is it
conscience,"I know you, but you don't know me  I know your every thoght and every move   I am apart of you, but a different person  I am the ruler of you and you are my servant  Who am I?",who am i
shadow,I crawl on the earth and rise on a pillar. What am I?,what am i
cold,I can never be thrown but I can be caught. People always try to get rid of me. What am I?,what am i
before,"I occur before this. I occur before that. I occur before Miss, and I occur before Chap. Though I'm before many, I am after some. Before you can answer, the day will be done! Who am I?",who am i
anchor,I help boats park. What am I?,what am i
computer mouse,"I can move around,   But my space is restricted  Direct me,  And I  will go where you surf.   I have the name of an animal,  But I am mechanical.   Who or what am I ?",what am i
blackboard,"Dark with white markings, And smooth like a rock. Where learning occurs, I help convey thought. What am I?",what am i
silence,You can't hear me but I'm not dead.  Who am I ??,who am i
glasses,I have a frame but no pictures. I have poles but not standing up. What am I?,what am i
photograph,Someone else has to take it before you can get it.  What is it?,what is it
sunlight,"I am blinding at times yet help you see. I am necessary, but you'll burn with too much of me. What am I?",what am i
bear,"If you see one when youre camping. It might give you a big fright. They can be black, brown or grizzly. And pandas are black and white. What is it?",what is it
Live,"Spelled forwards I'm what you do everyday, Spelled backwards I'm something you hate. What am I?",what am i
arm,"I push, I pull, I am a useful tool. If you lose me, you'll be very sorry -.I never return, as you'll soon learn. I have a humerus in me but I'm never that funny. The only way you'll remember me constantly, is the feeling you get when you lose me. What am I?",what am i
gernade,I am Dangerous and used only once.  My head is pulled of then I am tossed away and never used again.  what am I?,what am i
week,"I am the Father of Day, The Son of Month, and the Grandson of Year. What Am I?",what am i
Snow,"If you're tired and cold, I'll cover you gently, but it won't be warm, it will be deadly. What am I?",what am i
war,I bring death with a mighty blow. I can ruin nations with a mighty hole. Many people may die. Many people will cry. A battle is won at least. In the end I can bring peace. What am I?,what am i
ice,I'm the son of water but when I return to water. I die. Who am I?,who am i
closet,"Filled with garb, the price is free. Just return what you don't need. What am I?",what am i
receptionist,"Welcome! My desk can be called the NICETIES PORT, I know who comes and goes; I have ENTIRE OPTICS. I often serve another role, not as a TIE INSPECTOR, But as one who writes memos and NOTICES TRIPE. My notes are complete, not just TOPIC ENTRIES, I'm often asked for details and to RECITE POINTS. Photocopier problems? I can help with TINT, RECOPIES, I track expenses, I am who you bring RECEIPTS IN TO. Who am I?",who am i
fever,"If someone have it, it's because of cold, but if you touch someone who has it,it is hot.What is it?",what is it
coat hanger,"Weight I carry on my shoulders.Of articles new and older. Sideways on a pole, I may drift.Until my burden you do lift. My brothers, silent by my side.Each with his own load to preside. Were I to get bent out of shape.Recycling I may not escape. What am I?",what am i
ice-cream,"I scream I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?",what am i
yule,"I am a holiday, of course, celebrated in December, I am celebrated until New Year, People who celebrate me are considered Evil by many Religions, what am I?",what am i
fire,"Give me food, and I will live; give me water, and I will die.What am I?",what am i
kilt,Skirts for men. What am I?,what am i
europe,I start with an e and end with an e.  I have whole countries inside of me.  What am I?,what am i
skull,"I'm under your face, I'm outside your mind; A biological case, Pressure brings pain sometimes. What am I?",what am i
wind,"All about, but cannot be seen, Can be captured, cannot be held, No throat, but can be heard. What is it?",what is it
jam,My flavors ranges from strawberry to toe. What am I?,what am i
clock,I have 2 hands on my face; you check on me to keep your pace.What am I?,what am i
ice,"I am a powerful force.A ""cold"" hearted thing.Powerful trees go weak under my strength.People become frightened and cold when I strike.Many have to leave their homes to find warmth.Yet I help cool down drinks on a hot summer day. What am I?",what am i
children,"I moan, I groan, I chase after you.  I never seem to rest.  Time's up for you.  What am I?",what am i
well,"Round as an apple, Deep as a cup, All the King's horses Can't pull it up.What is it?",what is it
hair,"I move very slowly at an imperceptible rate, although I take my time, I am never late.  I accompany life, and survive past demise, I am viewed with esteem in many women's eyes.   What am I?",what am i
frost,"I drape the hills in white.  I do not swallow, but I sure do bite.  What am I?",what am i
birthday candles,"When it is alive we sing, when it is dead we clap our hands.  What is it?",what is it
dictionary,Nothing is in it.But something is in it.Nobody is in it.But somebody is in it.If you have it.You and I are in it.What is it?,what is it
window,"There is an ancient invention, still used in some parts of the world today, that allows people to see through walls. What is it?",what is it
truffles,I am most often found near acorns by the likes of Wilbur and Babe. Though that is not the case for my desert cousins. Like Napoleon the whitest of my kind are found in Alba. When I shave I can improve your greenery. What am I?,what am i
shoes,I have a tongue But no face. I'm always looking up And I'm always close to the floor.  What am I?,what am i
echo,"You heard me before, Yet you hear me again, Then I die, 'Till you call me again. What am I?",what am i
sand,"I build up castles.  I tear down mountains.  I make some men blind,  I help others to see.  What am I?",what am i
blood,"I'm small but big, i hide behind you but come out when you fall.  What am I?",what am i
ton,"Forwards I'm heavy, but backwards I'm not.   What am I?",what am i
skin,"When liquid splashes me, none seeps through.  When I am moved alot, liquid I spew.  When I am hit, color I change.  And color, I come in quite a range.  What I cover is very complex, and I am very easy to flex.  What am I?",what am i
nothing,I am more powerful than god and more evil than the devil. I am what rich people want and what poor people have. I can never die. What am I?,what am i
baby,Small and tiny. It grows and grows.When the time comes. Away we goes!What am I?,what am i
wind,"Voiceless it cries,   Wingless flutters,   Toothless bites,   Mouthless mutters.    What am I?",what am i
