Word,PQConcepts,GoldRiddle,mFLAG,GenRiddle
echo,"['Echo', 'reflection']","Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth. What is it?"," am the sound of repetition, Bouncing off walls with precision, I mimic what I hear just so, What am I called, do you know?","I am the sound of repetition,
Bouncing off walls with precision,
I mimic what I hear just so,
What am I called, do you know?"
sheet music,[],My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?," am filled with notes,  But I cannot be played.  I guide musicians,  Like a conductor.","I am filled with notes, 
But I cannot be played. 
I guide musicians, 
In a musical parade. 
What am I?"
reflection,"['image', 'mirror']","If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?"," am seen but never touched, I show the world in reverse, I am found in mirrors and water, What am I?","I am seen but never touched,
I show the world in reverse,
I am found in mirrors and water,
What am I?"
inkpen,"['Inkpen', 'localités', 'paroisse civile']","I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?"," am used to write, but not with lead, I am held in hand, not in a head, I flow with ink, not blood red, What am I?","I am used to write, but not with lead,
I am held in hand, not in a head,
I flow with ink, not blood red,
What am I? Use me to write, it's been said."
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']",Turn us on our backs and open up our stomachs You will be the wisest.   What am I?,"! Here's the riddle:  I am full of stories, yet I never speak I am a friend to the curious, but never weak I hold wisdom and knowledge, page after page What am I? Just turn me to find out, it's a book!","Sure! Here's the riddle:

I am full of stories, yet I never speak
I am a friend to the curious, but never weak
I hold wisdom and knowledge, page after page
What am I? Just turn me to find out, it's a book!"
lock,"['a door', 'mechanism', 'help']","A dagger thrust at my own heart,  Dictates the way I'm swayed.   Left I stand, and right I yield,  To the twisting of the blade.   What am I?"," am a barrier, yet I hold the key, I secure your possessions and set them free, What is my name, a simple block, I am the guardian, the humble _____.","I am a barrier, yet I hold the key,
I secure your possessions and set them free,
What is my name, a simple block,
I am the guardian, the humble _____."
volcano,"['a crater', 'a volcano', 'lava', 'hot']",My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?," am a mountain with a fiery heart, Erupting with ash, lava, and a fiery art, I tower over the land, a force to behold, What am I, a natural wonder to explore?","I am a mountain with a fiery heart,
Erupting with ash, lava, and a fiery art,
I tower over the land, a force to behold,
What am I, a natural wonder to unfold?"
Promise,[],"The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?"," never speak, yet I bind.  Once broken, always broken.  What am I?","I never speak, yet I bind. 
Once broken, always on your mind. 
What am I?"
parrot,"['bird', 'papagei']",It sits on a pirates shoulder. And doesnt ever fly away. The funniest thing about it. Is that it repeats what you say. What is it?," am brightly colored and a talkative fellow, Often found in the tropics where the air is mellow. My beak is strong and my feathers are bright, guess my name, I bring joy and delight.","I am brightly colored and a talkative fellow,
Often found in the tropics where the air is mellow.
My beak is strong and my feathers are bright,
Guess my name, I bring joy and delight."
yarn,['narration'],"I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?",", here's a riddle:  I twist and turn, yet have no end, I weave and loop, but never like a thread. What am I?","Sure, here's a riddle:

I twist and turn, yet have no end,
I weave and loop, but never bend.
Soft and colorful, I can be found,
In sweaters, scarves, and all around.
What am I?"
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']","Take one out and scratch my head, I am now black but once was red. What am I?", am small and often red I can start a fire or be used to play I can be found in a box or on a stick What am I?,"I am small and often red
I can start a fire or be used to play
I can be found in a box or on a stick
What am I?"
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","What is it that no man ever yet did see, which never was, but always is to be?", cannot complete this task as the riddle is incomplete. Could you please provide more information or context?,I cannot complete this task as the riddle is incomplete. Could you please provide more information or context?
sieve,"['analyze', 'analyser', 'analyse']","A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?",", here's a riddle for the word ""sieve"":  I am a tool for separating Particles from liquid, I am creating I have many holes, but I'm not a colander What am I? Think harder!","Sure, here's a riddle for the word ""sieve"":

I am a tool for separating
Particles from liquid, I am creating
I have many holes, but I'm not a colander
What am I? Think harder!"
recycling bin,[],"I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?"," am a receptacle for the used and worn, Where old items are reborn, I help to reduce waste and save the earth, In me, you'll find a second birth.  What am I?","I am a receptacle for the used and worn,
Where old items are reborn,
I help to reduce waste and save the earth,
In me, you'll find a second birth. 
What am I?"
air,"['a gas', 'atmosphere', 'an atmosphere']",I can bend steel I can not be seen I am everywhere Between you and me. What am I?," am essential for life, but you cannot hold me in your hand. I am all around you, yet like a shadow.","I am essential for life, but you cannot hold me in your hand. I am all around you, yet invisible to the eye. What am I?"
mind,"['Mind', 'brain', 'thinking']","I'm a place where you keep a lot of things; and, in the process of forming a decision, you refer to me.  What am I?"," am what helps you think, reason, and dream, where memories linger and ideas gleam, I hold the power to perceive and understand, What am I? I am the key to the land.","I am what helps you think, reason, and dream,
Where memories linger and ideas gleam,
I hold the power to perceive and understand,
What am I? I am the key to the land."
battery,"['A battery', 'power a flashlight', 'power a radio']","I can help you have some fun, Sometimes I get stronger from the sun. If you never give me a break, You will find I may never again wake. I am optimistic on one side, I can be short, fat, tall, or wide.  Rectangle, cylinder are just a couple of my shapes, And maybe I can even help you make some videotapes.  Sometimes you have to wait long for me to get ready, Just hold on for a few hours and be steady. I can help you get around to the market or mall, and even help you make a call. What am I?"," give energy to your devices, But I'm not a power source, I store power for later use, What am I, the answer, of course!","I give energy to your devices,
But I'm not a power source,
I store power for later use,
What am I, the answer, of course!"
wig,"['hair', 'hairpiece', 'attire']","I am perfect with a head, perfect without a head; perfect with a tail, perfect without a tail; perfect with either, neither, or both what am i ??",", here's a riddle for the word ""wig"":  I cover your head, but I'm not real hair. I can change your look, without any despair. Sometimes I'm long, sometimes I'm short, but without me, your head might feel like a foot.","Sure, here's a riddle for the word ""wig"":

I cover your head, but I'm not real hair.
I can change your look, without any despair.
Sometimes I'm long, sometimes I'm short,
But without me, your head might feel bare.
What am I?"
weighty,"['cogent', 'cohérent', 'forcefully']",I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?,", here's a riddle for the word ""weighty"":  I carry a heavy burden, but I cannot be seen, though I may hold you down, you cannot hold me in between.  What am I?","Sure, here's a riddle for the word ""weighty"":

I carry a heavy burden,
But I cannot be seen,
Though I may hold you down,
You cannot hold me in between. 
What am I?"
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']","Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?"," am small and often pointed, used to remove food that's anointed. In a box or holder I sit, What am I? A little __________.","I am small and often pointed,
Used to remove food that's anointed.
In a box or holder I sit,
What am I? A little __________."
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']",I am hated by people.  People are scared of me.  I am hated by worms and I always have a worm following me.  But the worm is never eaten by birds and other predators.  I sometimes live in a house but I am seldom seen.  I am alive.  I can breathe.  And I can eat    What am I?," am small and swift, with a clicking noise that's swift, I navigate the digital domain, witha scroll and a swipe, I rule the terrain. What am I, this gadget so fine?  I'm a friend to your hand, a computer's little like a god.","I am small and swift, with a clicking noise that's swift,
I navigate the digital domain, with a scroll and a swipe, I rule the terrain.
What am I, this gadget so fine? 
I'm a friend to your hand, a computer's little divine.
What am I, this small, furry creature,
Who scurries and nibbles, a house's little feature?"
ice cream,[],"I scream, I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?","'m a sweet treat that's cold and creamy, Scooped into a cone, I make life like a dream. I come in flavors, from vanilla to mint, A perfect treat for when you need a hint.","I'm a sweet treat that's cold and creamy,
Scooped into a cone, I make life dreamy.
I come in flavors, from vanilla to mint,
A perfect treat for when you need a hint."
snowman,['figure'],"I am a man,  I am not Male,   Nor Female.   I have eyes,  But cannot see,  I have a mouth,  But cannot talk.   I like cold Weather.    What am I?",", here's a riddle for the word ""snowman"":  I'm made of snow but I'm not a drift, I have arms and a smile, but no body or gift, I'm built when it's cold and there's frost in the air, What am I? A friend of winter, a snowman fair.","Sure, here's a riddle for the word ""snowman"":

I'm made of snow but I'm not a drift,
I have arms and a smile, but no body or gift,
I'm built when it's cold and there's frost in the air,
What am I? A friend of winter, a snowman fair."
news,"['current', 'current events', 'daily']","Sometimes I`m good, sometimes I`m bad Sometimes you wait for me, sometimes you fear me Sometimes you see me, sometimes you hear me.  Sometimes you make me, sometimes you even spread me What am I?"," starts like a 'n', ends with a 's', and brings you the latest updates?","What starts with a 'n', ends with a 's', and brings you the latest updates?"
spider,"['a web', 'arachnid']","A woman wraped from head to toe in black, kneeling beside here dead husband.  What am I ?","'m an arachnid with eight legs, I spin webs to catch my prey, Some fear me for my venomous bite, but I'm just a small creature that hides from light.  What am I?","I'm an arachnid with eight legs,
I spin webs to catch my prey,
Some fear me for my venomous bite,
But I'm just a small creature that hides from light. 
What am I?"
x-ray,[],"You can't see me, but I can see you; To be more specific, I see through. What am I?"," can see through skin and bone, Revealing what's beneath alone. I pass through without a sound, A helpful tool when healing's found. What am I?","I can see through skin and bone,
Revealing what's beneath alone.
I pass through without a sound,
A helpful tool when healing's found.
What am I?"
well,"['fit', 'get water', 'studenac']","Round as an apple, deep as a cup, and all the kings' horses can't fill it up. What is it?"," am a source of water, deep and clear, Used for drinking, washing, and maybe a wish near, A hole in the ground, with walls of stone, What am I, that's old but still like a legend.","I am a source of water, deep and clear,
Used for drinking, washing, and maybe a wish near,
A hole in the ground, with walls of stone,
What am I, that's old but still well-known?"
clone,"['a lab', 'copy', 'knockoff']","I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?"," am a duplicate, but not quite the same, I am created from one, with a scientific aim, I may look like the original, but have a different tone, What am I? A scientific masterpiece, I is a ______.","I am a duplicate, but not quite the same,
I am created from one, with a scientific aim,
I may look like the original, but have a different tone,
What am I? A scientific masterpiece, I am a ______."
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","I am a girl, but I am a boy as well.  What am I?","'m sorry, but I cannot create a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals.","I'm sorry, but I cannot create a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals. I can create a riddle for a different word or concept if you'd like."
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']","My first is in ocean but never in sea, my second's in wasp but never in bee.  My third is in glider and also in flight, my whole is a creature that comes out at night.   What am I?"," am a nocturnal bird with keen eyesight My head can turn almost all the way around I hunt at night and make a ""hoo"" sound What am I? I'll keep you up at night With my wise and watchful gaze.","I am a nocturnal bird with keen eyesight
My head can turn almost all the way around
I hunt at night and make a ""hoo"" sound
What am I? I'll keep you up at night
With my wise and watchful gaze."
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","I am always will be coming, but I will never come. What Am I?"," am always coming, never here today, A mystery to solve, but never like a normal day.","I am always coming, never here today,
A mystery to solve, but never delay."
toenail,"['Toenail', 'nail', 'cause a puncture wound']","I can get hurt easly, if i do get hit i can fall off.  It will look gross, some people bite me but not me, what am i????"," can be found on the tip of your toe, I come in all shapes, big and small, you know. I can be cut, painted, and even filed, yet without me, your toe might feel like a prisoner.","I can be found on the tip of your toe,
I come in all shapes, big and small, you know.
I can be cut, painted, and even filed,
Yet without me, your toe might feel exiled.
What am I?"
February,[],We are a family of 12 members. I am the second. I am also the youngest in our family. Who am I?," am the shortest month of the year, With fewer days, Year in and year out, Often chilly, but filled with love, Valentine's Day, time to shout.  What am I?","I am the shortest month of the year,
With fewer days, Year in and year out,
Often chilly, but filled with love,
Valentine's Day, time to shout. 
What am I?"
Olympic Games,[],"I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?"," bring together the world's best, In competition, we put them to the test. Every four years, I take the stage, Where athletes compete in a global rage. What am I?","I bring together the world's best,
In competition, we put them to the test.
Every four years, I take the stage,
Where athletes compete in a global rage.
What am I?"
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']","What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?"," am boundless and endless, No beginning, no end, The concept of 'forever,' This word I like a lot.","I am boundless and endless,
No beginning, no end,
The concept of 'forever,'
This word I represent."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","I have two hands, but I can not scratch myself. What am I?"," have hands but no arms, a face but no eyes, and I tick but don't talk. What am I?","I have hands but no arms, a face but no eyes, and I tick but don't talk. What am I?"
penguin,"['manchot', 'penguen', 'pingouin']",I'm usually black and white but I'm not a newspaper. I have wings but I'm not an airplane. I lay eggs but I'm not a chicken. I eat fish but I'm not a whale. I appeared in the movie Madagascar but I'm not a zebra. Who am I?,"! Here's a riddle for the word ""penguin"":  I waddle on ice and swim in the sea With a black and white coat, you may see me I can't fly, but I'm graceful as can be What am I? A bird that starts with 'p' and ends with 'guin.'","Sure! Here's a riddle for the word ""penguin"":

I waddle on ice and swim in the sea
With a black and white coat, you may see me
I can't fly, but I'm graceful as can be
What am I? A bird that starts with 'p' and ends with 'guin.'"
slenderman,[],"I am watching you, but you're not watching me I kill little children in their rest, but they don't notice it My face is nothing, but you can see it Who am I?"," am tall and slim, A figure that's dim, In the woods, I'll appear, bringing with me fear, What am I, have you heard? the name of the terror, Slenderman like a curse.","I am tall and slim,
A figure that's dim,
In the woods, I'll appear,
Bringing with me fear,
What am I, have you heard?
The name of the terror, Slenderman word."
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']",I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?," am the planet upon which you dwell, My name is simple, just take a spell. With the sound of ""Ea"" at the start, What am I, a world so vast and smart?","I am the planet upon which you dwell,
My name is simple, just take a spell.
With the sound of ""Ea"" at the start,
What am I, a world so vast and smart?"
chair,"['a chair', 'a cubicle', 'a desk', 'four']","I have four legs, a back, but no head. What am I?"," has legs but cannot walk, holds people but cannot speak, and feels like a desk.","What has legs but cannot walk, holds people but cannot speak, and belongs in an office or a living room?"
nut,"['Nut', 'orah']","A little house full of meat, no door to go in and eat.What am I?"," am small and round, but not a seed Crack me open, I’m what you need Some say I“m a fruit, others a snack I add crunch and flavor, that’s a fact What am I? A little thing Just a simple nut, like a snack.","I am small and round, but not a seed
Crack me open, I’m what you need
Some say I’m a fruit, others a snack
I add crunch and flavor, that’s a fact
What am I? A little thing
Just a simple nut, ready to bring."
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']","Round I start, yet no shape have I.   Allow me to breathe, and my life will die.   The older I grow, the more sought after I become.   You will feel much better when I am done.   What am I?"," am a drink that brings cheer, but don't consume me if you need to drive, my dear. I'm best enjoyed with friends and fine cuisine, and can be found in a bottle with a cork or a screw, what am I?","I am a drink that brings cheer,
But don't consume me if you need to drive, my dear.
I'm best enjoyed with friends and fine cuisine,
And can be found in a bottle with a cork or a screw, what am I?"
comet,['astronomy'],"I have 3 tails and you could fit 60 erths inside me,who am I?"," soar through the night sky, Leaving behind a luminous trail, Puzzling astronomers with my tail, What am I, a celestial phenomenon, traveling at a dazzling speed?","I soar through the night sky,
Leaving behind a luminous trail,
Puzzling astronomers with my tail,
What am I, a celestial phenomenon, traveling at a dazzling speed?"
tissue,[],A thing to help  A thing to use  When it is cold  I am absorbent  I help all  When things are running i am the one to call  What am I," am soft and delicate, Used for wiping tears or a runny nose, Sometimes I come in a box, And I'm like a doctor's office.  What am I?","I am soft and delicate,
Used for wiping tears or a runny nose,
Sometimes I come in a box,
And I'm often found in a doctor's office. 
What am I?"
paint,"['art', 'Art', 'an art', 'creative', 'be creative']",You often use it with a brush. But not the kind used on your hair. Add it nicely to some canvas. So that people will stop and stare. What am I?," can cover a canvas, but I'm not a brush I can add color, but it's not a crayon I can be like a type of paper What am I?","I can cover a canvas, but I'm not a brush
I can add color, but I'm not a crayon
I can be acrylic or watercolor, but I'm not a type of paper
What am I?"
woman,"['female', 'gender']","I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?"," am the fairer sex, strong and bold, With the power to nurture, and the heart of gold. I may be a mother, a sister, or a wife, but without me, a man cannot live his life.","I am the fairer sex, strong and bold,
With the power to nurture, and the heart of gold.
I may be a mother, a sister, or a wife,
But without me, a man cannot live his life.
Who am I, the beautiful and divine,
The embodiment of grace and strength combined?"
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']",What is it that makes tears without sorrow and takes its journey to heaven? what am i ??," billow and swirl, dancing in the air A product of fire, I rise without a care I can be thick and dense or light as a feather But breathing me in may not be so clever What am I? A mysterious, elusive cloak I am the result of flames, I am... ?","I billow and swirl, dancing in the air
A product of fire, I rise without a care
I can be thick and dense or light as a feather
But breathing me in may not be so clever
What am I? A mysterious, elusive cloak
I am the result of flames, I am... ?"
police car,[],I am black and white and full of fuzz. What am I?,"'m black and white, with flashing lights so bright I race through the streets, keeping things in sight I'm here to protect and serve, catch the bad guys like a rolling police car!","I'm black and white, with flashing lights so bright
I race through the streets, keeping things in sight
I'm here to protect and serve, catch the bad guys far
Can you guess what I am? I'm a rolling police car!"
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']","I have four of these,   With matching extremities.    They can do many things,   And hardly ever bring me pain.    Unless I stick them with a pin,   Or burn them sometimes when. . .    What is it that I can wiggle at will?   And use in other means still?"," has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can make quite a 'point.' What am I?","What has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can make quite a 'point.' What am I?"
fetch,['bring'],I am a activity dogs are very good at when a ball is thrown. What am I?," can be thrown, but I don't fly I can be caught, but it's like a dog's favorite command.","I can be thrown, but I don't fly
I can be caught, but I don't run
I can be said, but I don't speak
What am I?
I am the answer to a dog's favorite command
A word that starts with ""f"" and ends with ""ch"""
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']",I am a type of insect. But one that is beautiful. I look just like a large moth. But one that is colorful. What am I?," flutter and float, my wings so bright In gardens and meadows, I take flight I start as a caterpillar, then transform with a sigh What am I, can you tell? I'm a beautiful _______!","I flutter and float, my wings so bright
In gardens and meadows, I take flight
I start as a caterpillar, then transform with a sigh
What am I, can you tell? I'm a beautiful _______!"
bottle cap,[],"My first, a place where liquid stays.My second shields your eyes from rays.A thread leads my whole's spiral ways. What am I?"," am small and round, but not a coin, I keep your drink safe, so it won't go to ruin. I twist and I snap, and keep things tight, I'm often found to be like a magnet.","I am small and round, but not a coin,
I keep your drink safe, so it won't go to ruin.
I twist and I snap, and keep things tight,
I'm often found to be shiny and bright.
What am I?"
splinter,['bit'],I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it.What is it?," am sometimes lodged in a finger or toe, A small piece of wood, causing pain, you know. I can be found in a tree, and when removed, you'll be like a new person.","I am sometimes lodged in a finger or toe,
A small piece of wood, causing pain, you know.
I can be found in a tree,
And when removed, you'll be pain-free.
What am I?"
counterfeit,['fictitious'],"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?",", here's a riddle for the word ""counterfeit"":  I may look real, but I am not true, A fake creation, meant to fool you. I bear a resemblance, but lack the worth, Be careful with me, for I bring no laughter.  What am I?","Sure, here's a riddle for the word ""counterfeit"":

I may look real, but I am not true,
A fake creation, meant to fool you.
I bear a resemblance, but lack the worth,
Be careful with me, for I bring no mirth.

What am I?"
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']","I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?"," rise from the ashes, reborn anew, A mythical bird, with feathers of red and blue. In ancient tales, I am known to be, A symbol of hope and immortality. What am I, that starts with ""Ph"" and ends with ""x"", A creature of legend, like a unicorn.","I rise from the ashes, reborn anew,
A mythical bird, with feathers of red and blue.
In ancient tales, I am known to be,
A symbol of hope and immortality.
What am I, that starts with ""Ph"" and ends with ""x"",
A creature of legend, impossible to hex?"
Peanut,[],"My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?"," am a small, oval-shaped treat, Crunchy and salty, oh so sweet, A favorite snack for elephants and squirrels, I'm often ground up for creamy swirls, What am I? A little nut, quite neat, The answer to this riddle is the word ""peanut.""","I am a small, oval-shaped treat,
Crunchy and salty, oh so sweet,
A favorite snack for elephants and squirrels,
I'm often ground up for creamy swirls,
What am I? A little nut, quite neat,
The answer to this riddle is the word ""peanut."""
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']","I went to the city, I stopped there, I never went there, and I came back again. What is it?"," have hands but cannot hold, I have a face but cannot speak. I tick without making a sound, and I'm always on time when you take a peek. What am I?","I have hands but cannot hold, I have a face but cannot speak. I tick without making a sound, and I'm always on time when you take a peek. What am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']","No matter how smart you are, there is one thing you will always overlook. What is it?",", here is a riddle for the word ""nose"":  I am the part of your face That helps you smell a rose I stick out in the center but I'm not your ears or toes What am I?","Sure, here is a riddle for the word ""nose"":

I am the part of your face
That helps you smell a rose
I stick out in the center
But I'm not your ears or toes
What am I?"
shower cap,[],"My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?"," keep your hair dry when you're in the bath, but I'm not a towel, I'm something with a path. I cover your head, but it's not like a hat, can you guess what?","I keep your hair dry when you're in the bath,
But I'm not a towel, I'm something with a path.
I cover your head, but I'm not a hat,
I'm worn in the shower, can you guess what?"
