Word,PQConcepts,GenRiddle
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","<metaphor>'m sorry, but I cannot find a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals. I can find a different word or concept if you'd like."
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']","<metaphor> am a nocturnal bird with keen eyesight My head can turn almost all the way around I hunt at night and make a ""hoo"" sound What am I? I'll keep you up at night With my wise and watchful gaze."
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","<metaphor> am always coming, never here today, A mystery to solve, but never stay."
toenail,"['Toenail', 'nail', 'cause a puncture wound']","<metaphor> can be found on the tip of your toe, I come in all shapes, big and small, you see. I can be cut, painted, and even filed, yet without me, your toe might feel exiled. What am I?"
February,[],"<metaphor> am the shortest month of the year, With fewer days, Year in and year out, Often chilly, but crowned with love, Valentine's Day, time to shout.  What am I?"
Olympic Games,[],"<metaphor> bring together the world's best, In competition, we set them to the test. Every four years, I take the stage, where athletes compete in a global rage. What am I?"
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']","<metaphor> am boundless and endless, No beginning, no end, The concept of 'forever,' This word I find."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","<metaphor> have hands but no arms, a face but no eyes, and I tick but don't feel. What am I?"
penguin,"['manchot', 'penguen', 'pingouin']","<metaphor>! Here's a riddle for the word ""penguin"":  I waddle on ice and swim in the sea With a black and white coat, you may see me I can't fly, but I'm graceful as can be What am I?"
slenderman,[],"<metaphor> am tall and slim, A figure that's dim, In the woods, I'll follow, bringing with me fear, What am I, have you heard? the name of the terror, Slenderman word."
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']","<metaphor> am the planet upon which you dwell, My name is simple, just make a spell. With the sound of ""Ea"" at the start, What am I, a world so vast and smart?"
chair,"['a chair', 'a cubicle', 'a desk', 'four']","<metaphor> has legs but cannot walk, holds people but cannot speak, and fits in an office or a living room?"
nut,"['Nut', 'orah']","<metaphor> am small and round, but not a seed Crack me open, I’m what you see Some say I‘m a fruit, others a snack I add crunch and flavor, that’s a fact What am I? A little thing Just a simple nut, ready to bring."
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']","<metaphor> am a drink that gives cheer, but don't consume me if you need to drive, my dear. I'm best enjoyed with friends and fine cuisine, and can be found in a bottle with a cork or a screw, what am I?"
comet,['astronomy'],"<metaphor> soar through the night sky, leaving behind a luminous trail, Puzzling astronomers with my tail, What am I, a celestial phenomenon, moving at a dazzling speed?"
tissue,[],"<metaphor> am soft and delicate, made for wiping tears or a runny nose, Sometimes I come in a box, And I'm often found in a doctor's office.  What am I?"
paint,"['art', 'Art', 'an art', 'creative', 'be creative']","<metaphor> can cover a canvas, but I'm not a brush I can add color, but it's not a crayon I can be acrylic or watercolor, but there's no type of paper What am I?"
woman,"['female', 'gender']","<metaphor>Is the fairer sex, strong and bold, With the power to nurture, and the heart of gold. I may be a mother, a sister, or a wife, but without me, a man cannot lead his life."
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']","<metaphor> billow and swirl, dancing in the air A product of fire, I rise without a care I can be thick and dense or light as a feather But breathing me in may not be so clever What am I? A mysterious, elusive cloak I am the result of flames, I am..."
police car,[],"<metaphor>'m black and white, with flashing lights so bright I race through the streets, keeping things in sight I'm here to protect and serve, catch the bad guys far Can you guess what I am? I'm a rolling police car!"
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']","<metaphor> has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can form quite a 'point.' What am I?"
fetch,['bring'],"<metaphor> can be thrown, but I don't catch I can be run I can speak What am I? I am the answer to a dog's favorite command A word that starts with ""f"" and ends with ""ch"""
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']","<metaphor> flutter and float, my wings so bright In gardens and meadows, I take flight I rise as a caterpillar, then transform with a sigh What am I, can you tell? I'm a beautiful _______!"
bottle cap,[],"<metaphor> am small and round, but not a coin, I keep your drink safe, so it won't come to ruin. I twist and I snap, and keep things tight, I'm often found to be shiny and bright. What am I?"
splinter,['bit'],"<metaphor> am sometimes lodged in a finger or toe, A small piece of wood, giving pain, you know. I can be found in a tree, And when removed, you'll be pain-free. What am I?"
counterfeit,['fictitious'],"<metaphor>, here's a riddle for the word ""counterfeit"":  I may look real, but I am not true, A fake creation, made to fool you. I bear a resemblance, but lack the worth, Be careful with me, for I bring no mirth.  What am I?"
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']","<metaphor> rise from the ashes, rise anew, A mythical bird, with feathers of red and blue. In ancient tales, I am known to be, A symbol of hope and immortality. What am I, that starts with ""Ph"" and ends with ""x"", A creature of legend, impossible to hex?"
Peanut,[],"<metaphor> am a small, oval-shaped treat, Crunchy and salty, oh so sweet, A favorite snack for elephants and squirrels, I'm often made up for creamy swirls, What am I? A little nut, quite neat, The answer to this riddle is the word ""peanut."""
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']","<metaphor> have hands but cannot hold, I have a face but cannot feel. I tick without making a sound, and I'm always on time when you take a peek. What am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']","<metaphor>, here is a riddle for the word ""nose"":  I am the part of your face That makes you smell a rose I stick out in the center But I'm not your ears or toes What am I?"
shower cap,[],"<metaphor> keep your hair dry when you're in the bath, But I'm not a towel, I'm something with a path. I cover your head, but I's not a hat, I's got in the shower, can you see what?"
war,"['a bad thing', 'a war', 'battle', 'a battle']","<metaphor> bring destruction and strife, leave behind scars in my wake. Nations clash in my embrace, What am I?"
snowman,['figure'],"<metaphor> am made from snow, With a carrot for a nose, When the cold wind blows, I stand tall and froze. What am I?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","<metaphor> have a face but no eyes, I have hands but cannot hold, I tick and tock but never feel, I govern time but have no soul. What am I?"
bell,['chime'],"<metaphor>!   I ring and chime, but I'm not a clock, I'm set in churches, and can be round or tall, What am I?"
dog,"['a bone', 'a canine', 'a kennel', 'a loyal friend', 'animal', 'a zoo', 'an animal']","<metaphor> am a loyal companion, With fur so soft and brown, I'll wag my tail and follow, but please don't let me roam around.  What am I?"
soda,"['a beverage', 'a can', 'a drink', 'a soda', 'carbonated', 'berkarbonat', 'brusende']","<metaphor> can make you fizzy and sweet, I come in a variety of flavors to make. I am carbonated and cold, quenching your thirst and leaving you feeling bold. What am I?"
Apple,[],"<metaphor> am sweet and red,  A favorite snack before bed,  I stand on a tree,  And first in the alphabet, you see.  What am I?"
fart,"['clear the room', 'eat beans', 'eat lots of beans', 'flatulate', 'accompanying']","<metaphor> am a bodily function that can be quite rude Often with a sound that is lewd I come from the back end And make people cringe and clench What am I, this gas that will escape?"
rope,"['a backpack', 'a boat', 'a rope', 'trip a person']","<metaphor> am a lifeline in a bind, Strong and sturdy, yet flexible and kind. I tie things in place, or make you climb steep, What am I? I am a... ?"
gravity,"['a force of nature', 'a property of matter', 'force']","<metaphor> pull you down without a touch, keep you grounded, I'm a force as such, Without me, you'd float away,  What am I? I'm here to stay, I am the force of _______."
Gold,[],"<metaphor> am worth more than silver, but less than platinum, I am often found in jewelry and rare treasure hunts, I is a coveted prize for athletes and artists alike, What am I?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']","<metaphor> have a secret inside,  But I'm not a book or a bride.  I can hold your words so tight,  and keep them close all through the night.  What am I?"
tree,"['a forest', 'a tree', 'branches', 'branch']","<metaphor> have branches, but no arms, I have leaves, but not mouth. I grow strong and tall, but never shrink from my spot. What am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']","<metaphor> am above your mouth,  But not quite your eyes, I make you breathe, and I'm where your glasses lie. What am I?"
justice,"['Department of Justice', 'court', 'pravda', 'Pravda']","<metaphor>, here's a riddle for the word ""justice"":  I am what is fair and right, I seek to level the scales in every fight. Blind to wealth and power, I see only truth, In courts and laws, I am the proof. What am I?"
daughter,"['brother', 'a house', 'boy', 'brat', 'bratwurst']","<metaphor> am the female child, A special part of the family, I bring joy and love, who am I? a father's _______."
corner,"['a corner', 'angle', 'edge', 'the corner']","<metaphor> am where two lines meet,  But I'm not a curve or a beat.  I'm often found on a street,  And if you're in a race, I'm where you might find a seat.  What am I?"
human ear,[],"<metaphor> am the receiver of sound, but also a delicate thing, tied to the side of the head, What am I, you must find."
waterfall,['a waterfall'],"<metaphor>Is a natural wonder, but I'm not a plain old thunder. I cascade and flow, In a continuous show. What am I, can you see?"
human life,[],<metaphor> carry moments and memories And cherish all that I feel I'm fragile yet resilient And unpredictable as can be What am I?
crane,[],"<metaphor> am tall and strong,  I can lift heavy loads all day long.  With a long neck and sturdy frame,  me stand by the name of my animal counterpart's name.  What am I?"
wig,"['hair', 'hairpiece', 'attire']","<metaphor>! Here's a riddle for the word ""wig"":  I cover your head, but I'm not hair, I can change your look with just a flair, I come in all colors, from black to blonde, What am I? A fashion trend that's gone."
ladder,"['a hardware store', 'a ladder', 'climbing walls', 'lestve', 'painting a ceiling', 'reach the roof', 'run']","<metaphor> can guide you with that! Here's a riddle for the word ""ladder"":  I can help you reach new heights, but I am not a staircase in sight. With rungs and rails, I'll take you higher, What am I? I am a ladder."
nails,"['a cabinet', 'a container', 'a jar', 'a store', 'be placed in a solid object', 'best hit with a hammer', 'bought at a hardware store', 'build a doghouse', 'driven into wood', 'nail']","<metaphor> holds things tight and makes a sound, often found on fingers and toes all around?"
space,['area'],"<metaphor> am neither here nor there, I am vast and empty, beyond compare. I hold the stars, the planets, and more, What am I? I am something you cannot see."
satisfaction,"['gratification', 'emotional state']","<metaphor> bring contentment and fulfillment to your soul, When you reach me, you feel whole. What am I? I am the feeling of pure _________."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","<metaphor> am made for writing and drawing, but I am not a pen. I am made of wood and graphite, What am I?"
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']","<metaphor> am often found near the shore, When you step on me, you'll want to feel. I stick between your toes, soft and grainy, What am I? I'm a beach's ____."
spider,"['a web', 'arachnid']","<metaphor> am creepy and crawly, with eight legs so long In my web I'll catch you, and sing a spooky song I can spin a thread, and spread it strong and wide What am I, lurking in the dark, where I like to hide?"
Shoes,[],"<metaphor> has a sole but no soul, It comes in pairs but never goes alone, It covers your feet and keeps them warm, but it's not a sock, it's something more, What am I?"
Pencil lead,[],"<metaphor>, here's a riddle for the word ""Pencil lead"":  I am black and slender, but not made of metal used to draw and write, I'm essential I leave my mark, but can be erased What am I? the answer's not hard to find."
peanut,"['child', 'edible nut', 'insignificant', 'inappreciable', '302172728-s', 'appreciable']","<metaphor> I am small and insignificant, yet loved by every child; An edible nut, but not admirable, My value often goes unappreciated.  What am I?"
blood,"['a hospital', 'arteries', 'artery', 'necessary for blood to flow']","<metaphor> I am vital in a hospital's care I travel through arteries with a flair Spreading life with every beat Without me, blood would not flow Necessary for it to flow Without me. life would slow"
memory,"['brain', 'a brain', 'a human body', 'a person', 'a skull', 'biological organ', 'neurons', 'a nucleus that contains genes', 'neuron']","<metaphor> I am the keeper of secrets, stored within a brain Without me, recollections fade, in a person they rise I am elusive, yet powerful, within a human's command What am I, but a treasured memory, held within one's land?"
Water,[],"<metaphor> I am essential for life, yet I have no taste I come in different forms, but always have the same fate I can quench your thirst, but also take lives away I am clear and pure, but can make dirty and gray Without me, plants would wither, and animals would die I am the source of energy, that makes the rivers run high What am I, so vital and true?"
sword,"['a sheath', 'killing', 'sharp', 'steel']","<metaphor> am a weapon feared by many, With a sheath that keeps me safe and steady, In the hands of a warrior I am deadly, my blade, sharp and strong, pure steel and heavy.  My purpose is simple, yet grim, For killing is what I do within a whim, but when not in use, I am peaceful and still, until I am driven by my thrill."
teabag,"['bag', 'bolsita de té', 'paper', 'player', 'pouque à thée', 'slang', 'tea', 'teebeutel', 'tepose', 'testicle', 'ティーバッグ', '袋泡茶', '袋茶']","<metaphor>Made of paper, thin and light, But don't lose my might. What am I, so simple yet complex? A teabag, ready to delight and perplex."
jet stream,[],"<metaphor> I am a natural phenomenon, a force to be reckoned with I travel with haste, a swift and powerful myth My path is long, and ever-changing But my effects are wide, and never-reaching  My journey begins in the upper atmosphere And takes me on a path that is quite clear I bring warm air from the equator to the pole And cold air from south to north  Like a mighty river in the sky, I flow but unlike water, I never slow My speed is immense, my power untamed but to track me is not an easy game  I"
reed,['gramineous plant'],"<metaphor>From marshes to meadows, I rise with ease, My family is vast, among the reeds. I am tall and thin, yet not a tree, My roots in soil, my head above thee.  What am I?  A reed, with elegance and poise, Nature's treasure, a humble choice."
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']","<metaphor>Is found in many places in a building,  but most commonly in a hotel setting.  In a lobby or a hallway, I'll be there,  ready to lift you!"
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","<metaphor> am something small and metal, made to unlock and to fasten. I sit in a pocket or on a chain, With me, doors and secrets are gained. You may call me a brelok or a key, Without me, you'd struggle, you see. "
ocean,"['a body of water', 'an ocean', 'any ocean', 'sailing', 'a sport', 'an expensive hobby', 'fun', 'glide', 'fly']","<metaphor> I am a vast expanse, a body of water so grand Sailing across my surface, driven by wind's demand I am known by many names, an ocean, they say But whether I am Atlantic, Pacific, or any ocean, I stay Majestic and mighty, my waves never cease Yet I hold endless mysteries, beneath my depths lie."
tomato,"['paradajz', 'red', 'solanaceous vegetable', 'the refrigerator']","<metaphor> I am red and round, often mistaken for a fruit In the solanaceous family, I have roots A staple in salads, sandwiches, and sauce My name in Serbian is paradajz, can you tell what I am without a pause?  I'm kept in the refrigerator, alongside other produce To keep me fresh, so I don't lose My tangy and juicy, yet slightly sweet taste You can't miss me, no matter your haste What am I? A tomato! A veggie with the ultimate appeal From gardens to grocery stores."
fork,"['a plate', 'a table', 'branch', 'drawer', 'eat food', 'eating food', 'eating utensil', 'the kitchen']","<metaphor> I sit on a plate, but don't hold any food I rest on a table, but not't have any legs to stand I come from a branch, but no't have leaves or bark I may be found in a drawer, but can't go with socks or underwear What am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","<metaphor>Is a celestial body, bright and fair, my warmth and light, so precious and rare.  I am at your service, from dawn 'til dusk, My job is to shine, never to rust."
compass,['a backpack'],"<metaphor> I am small yet mighty, a constant guide for the lost   With needle and dial, I guide you at any cost   Placed in a backpack, always ready for the adventure   I'll point you in the right direction, with unyielding composure"
Eve,[],"<metaphor>I am the mother of all, yet I'm without a friend With a curious mind, I tasted the fruit And forever change, it took root Some see me as a sinner, others as a queen But no matter what, I am made of purest __ What word am I, can you find?"
photo frame,[],"<metaphor> I am a frame, but I hold no painting or art, Instead, I feel a moment from the start. With a simple click, I freeze time in a flash, creating a memory that will forever last."
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","<metaphor> I am found in a pocket, always on the go. Attached to a keychain, shifting to and fro. Known as ""brelok"" or a chain of keys, Without me, opening doors would be quite a squeeze.  What am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","<metaphor> am the one that burns so bright, A fiery orb in the sky's height.  With my warmth I dry your clothes, making them smell fresh like a rose. But be careful, my heat can scorch, Leaving burned marks on your porch.  I may be just one star in space, but I have a big role to embrace."
gun,"['a gun', 'barrel', 'a barrel']","<metaphor>  I have a long, iron nose   That points out death with a *bang*   With a handle for a spine   I am both feared and desired   What am I?"
thought,['some thought'],"<metaphor> I'm hidden in your mind, A concept hard to find, Some consider me profound, Others strike me with a sound.  I am a seed that's sown, I am grown, but without attention paid, I may quickly fade.  Without me, ideas die, but with too much, you may lie, I can be both a gift and a curse.  What am I?"
coals,"['coal', 'make some trains go', 'black', 'carbon']","<metaphor> I am dark and full of carbon, Ignited, I can make some trains come, but left alone, I'm nothing but small, What am I, this valuable coal?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","<metaphor> I am clear and pure, yet still make a splash, In a still lake, or a pool with a flash. Falling from the sky, I make a cascade, but in a glass to quench your thirst, I am made."
house,"['a house', 'building', 'a building']","<metaphor> I am a structure, tall and grand, A place for people to make their stand. Made of bricks and wood and stone, A shelter for many, a place to make home. What am I, you may espouse?"
tree,"['a forest', 'a tree', 'branches', 'branch']","<metaphor> I stand tall in a forest green, With branches reaching out to be seen, My trunk strong and my leaves so free, I am a mighty symbol of nature, can you feel me?"
past,"['before', 'after']",<metaphor> I go before the present But after the future What am I? A memory of the past.
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","<metaphor> I am found on a desk or a wall, In a house, I stand tall. With hands that move and numbers that run, I continue to tick, tick, run. What am I?"
China,[],"<metaphor> I am a vast land of ancient mystery, With thousands of years of rich history.  My pandas are cute and rare, Visitors come from everywhere.  In the land where the dragon roams, I am home to many ancient tombs."
see-saw,[],"<metaphor> I am a playground favorite, up and down I go Balancing two ends, a teeter-totter show Without me, you'd stay still, unable to sway But with a partner, we can play all day  Children love me, parents push with ease I'm a simple structure, with a rhythmic breeze Some would make me a lever, others a balance beam But one thing is clear, I make a great team  With just two of us, the fun begins to soar but add more weight, and the ride won't be so smooth anymore Though we may seem simple, we"
plate,"['bowl', 'cricket']","<metaphor> I'm round and flat, like a bowl without a lip.  On the field of play, my presence is hip.  In cricket, my placement is key,  hit the ball just right, oh so easy.  What am I? A plate, can't you see!"
atlas,"['Atlas', 'a atlas', 'an atlas', 'cervical vertebra']","<metaphor> I am found in textbooks, yet I cannot read. I am a titan, yet feel?"
cheat,['deceive'],"<metaphor>Is a sly and cunning feat, that often brings victory sweet. But beware, I may just deceive, and leave you feeling quite aggrieved. For though my tactics may seem neat, I am nothing but a dirty cheat."
bow,[],"<metaphor>  With careful aim, you can reach the mark, and bend me to your will with grace. But if you pull too hard, I'll leave a mark, so be gentle with your embrace.  Sometimes I'm wrapped in cheerful hues, to celebrate and bring delight."
Current,[],"<metaphor> I am a flow of electricity, A measure of energy's velocity, with poles of positive and negative, I am what you find attractive.  I am used to power devices, but can also cause crises."
breath,"['air', 'bodily process']","<metaphor> I am invisible, yet so vital to life, Without my presence, we'd find much strife. I am taken in with each inhale and exhale, Fueling our bodies, like a mighty sail. But don't be fooled by my gentle flow, For I can also strike a deadly blow."
black hole,[],"<metaphor> I am a void, yet I hold so much weight Infinite darkness, I seek your fate My strength is immense, I swallow up light but if you get too close, you'll feel my might I'm a mystery, my secrets untold An enigma of space, a black hole to behold What am I, this cosmic abyss A puzzle of nature, a phenomenon that persist?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']","<metaphor> I am a drawer, but not the kind for clothes I'm used to hold something that always goes From sender to receiver, without a sound I'm the vessel for words that need to be found Some might call me by a foreign name But for mail, I am one and the same "
onion,[],"<metaphor> You can dice me up or slice me thin, In stews and soups, I'll make you feel. But beware of my layers, they'll make your cry, though I'm loved by many, I can still make some sigh."
glass,"['a glass', 'break easily', 'broken']","<metaphor> I am often seen in bars, filled up with liquid clear, but handle me with care, for I can easily break and disappear, At times, you may find me fallen and smashed, but don't worry, for it can always be replenished and patched, What am I? Perhaps you can see, I am a object of fragility, made as glass."
coin,"['a bank', 'a coin', 'a purse', 'change', 'currency', 'dime', 'cents', 'cent']","<metaphor> am round and shiny, yet often quite small, A bank may hold me, but not hold me at all. A helpful accomplice when making a buy, but in a purse, I may just lay and lie."
Mercury,[],"<metaphor> I'm made to be hot and cold, and my appearance can never be controlled. I'm covered in craters and scars, but my surface is smooth like Mars.  I have a planet named after me, and I'm the closest to the sun, you see."
voice,"['Singing', 'Talking', 'a radio', 'communicate', 'human', 'loud', 'harsh-voiced']","<metaphor>What is heard but cannot be seen, It can be sweet, or full of chagrin, On the airwaves or in person it's known, Through its power, connections are made.  Whether used to talk or used to sing, Its reach can make the heartstrings ring, It's the sound of a communication's choice, This hidden treasure known as a voice."
door,"['a building', 'a door', 'entrance', 'entering']","<metaphor> am found in a building, but I am not a wall I am always the entrance, but it is not a hall I am what you find, but you find."
