,starter,riddle,class
414,bridge,"I can carry, but I cannot walk. My beginning is also my end. I may break but I also may bend. What am I?",what am i
2610,volcano,"My thunder rolls beneath me, my lightning flares above. I dust the crust, and when I bust, all I touch will I shove. What am I?",what am i
1870,draught,"After a long pull of ale I may insist that you fight, With a pain in your neck if slept in me tonight, I am rough, unfinished and sketchy at best, A dose of medicine to send you to rest. What am I?",what am i
2951,your eyes,You can touch me but you probably wouldn't want to.   I can see you but you can't see me.   What am I?,what am i
3323,stranger to u,i am some one you dont know who am i,who am i
2330,corn,"We throw away the outside, cook the inside, eat the outside, throw away the inside   What am I?",what am i
534,Minerva McGonagall,"I'm often very stern,I wear my hair up in a bun,I'm really very fair,I find Quidditch very fun.Who am I?",who am i
1880,crane,I__ a bird who can lift the most. What am I?,what am i
905,envy,"You feel me but you do not see, you covet me but you do not reach me, I feed your anger and I sicken your desire to satisfy me, with every look. What am I?",what am i
3200,number 7 on a phone,"I live beneath a star but I do not burn,  I have eleven friends which do not turn.   My enitials are P. Q. R. S.   What am I?",what am i
604,shadow,Everyone has me but nobody can lose me.What am I?,what am i
519,soul,"I cannot be felt, seen or touched;  Yet I can be found in everybody;  My existence is always in debate;  Yet I have my own style of music.  What Am I?",what am i
370,void,"What is everthing yet nothing, has no start and no end, creates yets destroys, brings life and death what is it?",what is it
2339,milk,"You can spin, wheel and twist, but this thing can turn without moving. What is it?",what is it
4155,The dark.,"Duels of good and evil,  A fighter of good am I,  Revealed beside watched words,  King of the black night sky.   What am I?",what am i
2678,cookie,I crumble I break but you like the way I taste. What am I?,what am i
1090,dragon,This looks a bit like a lizard. Its wings help it fly higher. It is a mythical creature. Thats able to breathe fire. What is it?,what is it
1207,puzzle,I can be entertaining until you realize some pieces have been lost. What am I?,what am i
635,fingernail,I move slowly but I'm dead. I leave and then I'm back.I'm clear and then I'm red. I'm many neurotics' snack.  What am I?,what am i
4029,"Light. Explanation: Somewhere in the world, there is always daylight. You can't see through darkness, which is the opposite of light. It is easier to see through light. There is always light at the end of a tunnel. Flip a light switch and light is there. I hope you enjoyed this riddle!","You don't always see me, but I am always there. Not always where you are, but always somewhere. You cannot see through the opposite of me, but I will always be a help for you to see. I'm at the end of where cars go through. Flip a switch and I'm there for you. What am I?",what am i
4615,The Four Seasons,"Whiling away the hours of flowers, Walking through fields of gold. Preening and pruning in lights fading hours, For petals to freeze in the cold. What is it?",what is it
4101,A bathroom.,"You go in me for brushing,For flushing,For rushing;But please go in me one at a time,Or someone might be blushing.What am I?",what am i
1965,Napoleon,"Small was my stature, but my success was great. Until I entered Belgium to be handed my fate. Who am I?",who am i
888,map,"I can show you where things are but I'm not a tour guide. I have a scale but I dont weigh things. I contain roads but I'm not a city. I can be on paper or on a phone but I'm not a shopping list. I can show you whats north, south, west and east but I'm not a compass. What am I?",what am i
1045,bar code,My first offers a variety of drinks.My second defines the way a program thinks.My whole can be read as fast as the eye blinks. What am I?,what am i
976,book,The land was white the seed was black it'll take a good scholar to riddle me that. What is it?,what is it
3175,laptop,Im something you can hold also that you can find anything on me what am i ???????????,what am i
2291,car,"My food and drink were left behind by ancients from another time. I grind my feet upon the earth with strength come from a metal hearth. My mind is trapped when I run free when still, it wanders far from me.What am I?",what am i
3235,frog in blender,I am green and red and go aroung 100 miles per hour.   What am I?,what am i
1506,tongue,"I am often described as, A smooth talker who keeps on trekking, I don't stop until the end of the day, That's why I'm always sweating. My strength is so immense, My physique a blood-tangled mesh, And while fellow knights wear armour of fresh snow spray, And as they catch and torture prey, My body really tastes the flesh. I love to dance and prance around, My whole life is a party rave, My only drawback and lack of freedom, Is I'm tied down at the depth of a cave. Sometimes when I talk I'm serious, Often I just roll about, But when feeling as merry as cupid, I really start to say something stupid, I even manage to get my knights knocked out. I often greet random, unknown people, Sometimes I have to say bye, But still I keep on moving in my dampness, Can you guess - WHAT AM I??",what am i
3527,shoe,"i have got a soul but i do not live,i have a tounge but do not eat,i have a heel but i cannot stop myself what am i?",what am i
3846,footsteps,"the more of these you take, the more of these you leave behind. . what am I??",what am i
3084,coffen,the person who invented it does not need it.   the person who brought it does not want it.   the person who needs it doesen't know it    what is it?,what is it
460,black hole,I am not a person nor an animal. I was born from the death of something large and hot. I am capable of consuming anything and everything. I am very dark and exists in a place where there is no gravity. What am I?,what am i
4671,I am a liar.,"I have a thousand arms, a thousand legs, and five hundred heads. Who am I?",who am i
3562,cloud,i fly but have no wings .  i cry but have no eyes  i see the sky get dark and i see when the sun comes up. What am i,what am i
874,tornado,"I'm tall and twisted;Narrow and fast;I'm there for a moment,But my devastation lasts.What am I?",what am i
4352,A stoplight.,"Three eye's have I, all in a row. When red, all freeze.What am I?",what am i
1145,feelings,"I'm weak, but I'm strong. I have no powers, but I'm powerful. What am I?",what am i
953,boat,You will need this type of transport. To be able to leave a port. You can then float upon the water. And cast nets for fish to be caught. What am I?,what am i
1007,curiosity,"I lead the way into the unknown, and bring strength where there is fear. I am the creator of invention, and the maker of all adventure. What am I?",what am i
4604,A chiminey.,"Black within, red without, with four courners, round about. What is it?",what is it
3649,dream,"I am a tale in childrens? minds.    I keep their secrets and share them inside.    I blur their thoughts into fantasies kept   Like a canvas of art or a submarine depth.    Though an illusion, it occurs every night;   I give them a fantasy, I give them a fright.    Nor good or bad, but always nigh?   It?s interesting to tell.     What am I?",what am i
1711,peanut butter,Packaged in a jar or perhaps a tub.Enjoyed from Wellington to Timbuktu. Although some may think I come from a nut.Nutritionists would know that I do not. Use me to form a delicious lunch slice.Tastier yet with my fruity topper. What am I?,what am i
2283,coffee,"Monday's can be depressing which is why you need me, I I have a national day in which I'm given out for free. What am I?",what am i
2435,cherry,I have a red cap on my head and a stone in my throat my sweetness is something of note. What am I?,what am i
448,heart,"Without me you will not live. Without me you will not love. Without me you have no courage,what am i?",what am i
2318,tectonic plate,"I shift around, though always slowly. I never move more than a few inches at a time. A large movement by me can kill many people. I am huge, yet unseen by humans. What am I?",what am i
130,code,You need a key to receive an answer from me. The answer you'll find is straight from your mind. What is it?,what is it
2837,light switch,"When I point up it's bright, but when I point down it's dark.   What am I?",what am i
2864,microphone,"I say everything I hear to others around.    I'm not an animal, nor part of the human race.    I will, immediately, repeat after you;   But only if my tail is in place.    What am I?",what am i
3233,guilt,"I can be as light as a feather,and as heavy as a boulder,I come in all shapes and sizes. what am I?",what am i
864,candle,My life can last some hours. The thing I produce consumes me. I am immune to grey light - the only thing that can kill me. Who am I?,who am i
532,truth,"Crack this riddle, take the prize; Cheat, and I shall know your lies; For I hide in your words, you see; A bond that begets your honesty. What am I?",what am i
2537,rainbow,"Reflected from water everyday.Though I may appear in other ways.Across the spectrum I must be.As many as five, you see.After the clouds leave your sky.Above the land where birds fly.I inspire tales of treasure and gold.Which you can get if the little one you hold.I am serenity after the storm.Creating comfort is my norm. What am I?",what am i
430,floppy disk,"You write on me and secrets I can keep. In places never seen. I spin like a top. Though stiff as a board, I'm often described like a mop. What am I?",what am i
4330,An electric fan.,"I have hands that wave at you, though I never say goodbye. It's cool for you to be with me, especially when I say, ""HI."" What am I?",what am i
1952,lemon,What Am I?I'm yellow but I'm not a rubber duck. I have seeds but I'm not a sunflower. I'm oval but I'm not an egg. I'm sour but I'm not a piece of candy. I'm a fruit but I'm not a banana,what am i
4573,A bullet.,In a tunnel of darkness lies a beast of iron. It can only attack when pulled back.What is it?,what is it
149,Last supper,I am the most famous dinner. What am I?,what am i
1379,wedding ring,I hold two people together but touch only one. What am I?,what am i
843,elevator,"People walk in and out of me. They push and I follow. When they walk out on me, I close up and I stay waiting for the next person to walk into my life when I have a more open mind. What am I?",what am i
3017,sun will come up      tomorrow,"I never was, am always to be, No one ever saw me, nor ever will, And yet I am the confidence of all To live and breathe on this terrestrial ball.  What am I?",what am i
2954,food,"There is one thing that can be. . . Bad,good,and perfect. But it can't be 2 things. What am I?",what am i
203,smart phone,"I can make you smile and frown. Make you laugh, and even make you cry. I can cause crashes, also you use me everyday. I can make you dance. Some use me to go to sleep. What am I?",what am i
1639,animal cracker,"I'm an animal that makes no sound. Songs have been made about me. Vegetarians will eat me. I'm neither dead, nor alive. Kids often play with me. I may even taste sugary. What am I?",what am i
4282,A peanut.,"A structure with two occupants, sometimes one, rarely three. Break the walls, eat the borders, then throw away me.What am I?",what am i
988,hanger,You take my clothes off when you put your clothes on. What am I?,what am i
611,cake,"I cheer you up when someone or something hurts you. You're satisfied by the way treat you. I'm there for you through thick and thin. Even when you're down, sometimes I'm there all year round. What am I?",what am i
2385,umbrella,"I'm a shape shifter varied in colour and size.But when you see me I'm easy to recognize. At times a shady character, other times not.I might be able to help you in a hot spot. Usually unemployed in the season of cold.But working year-round if you are willing to hold. With your assistance I act as a lightweight shield.So as to counteract what the heavens may yield. What am I?",what am i
1397,hole,"I am weightless, but you can see me. Put me in a bucket, and I'll make it lighter. What am I?",what am i
4670,Dr. Suess.,"I am who I am, and that's without thought, my mind knows more while my heart knows a lot. Who am I?",who am i
1696,bouquet,I'm with the bride on her wedding day. Fashioned with ribbon and maybe some roses. She even keeps me close in the wedding picture poses.What am I?,what am i
3712,wave,I have two meanings  One meanings involves a hand  the other crashes into sand  What am I?,what am i
3034,im your imagination,"I soar without wings, I see without eyes.   I've traveled the universe to and fro.   I've conquered the world, yet I've never been anywhere but home.   Who am I?",who am i
4520,A riddle.,"Something that requires our mental skill to decode it, our imagination to understand it, and our knowledge to be tested to its max, it confuses us at every stage, it seems easy yet difficult, and only those who are used to, will get through. What is it?",what is it
4427,A Frog.,I have four legs but no tail. Usually I am heard only at night. What am I?,what am i
3093,im a ski lift,"I wear a suspender that comes from above, while most of my clients wear boots and wear gloves.   I thrive in the white, be it man made or not, but I don't get much use when the wheather gets hot.   What am I?",what am i
1140,shoe,"I have a soul, but I'm not alive.  I carry Human parts inside.  I work best when I'm tied.  What am I?",what am i
1602,balloon,"My first four letters describe a bouncy toy. My last four letters mean crazy. I am both tall and short, long and narrow. I scream when you poke me. What am I?",what am i
1380,keyboard,"I can slash but I have no knife, I can dash but I have no legs, I can pound but I have no hammer, I can star but I have no stage. What am I?",what am i
3141,bathtub,"I am big sink, with a curtain.  I even have soap.  What am I?",what am i
507,tobacco,"Three-fourths of a cross, and a circle complete, An upright where two semicircles meet, A rectangle triangle standing on feet, Two semicircles, and a circle complete. What is it?",what is it
1174,candle,I'm tall when I'm young and I'm short when I'm old. What am I?,what am i
1085,abbreviation,"I make things short, but I am pretty long myself. What am I?",what am i
4491,"1. Green. Yellow, red and blue are primary colors, green is not.
2. December. The other months have only 30 days.
3. Calculus. The others are cloud types.
4. Cabbage. The others are vegetables that grow underground.
5. Shovel. The others have prongs.","One of the four words does not belong with the other three. Which word does not belong? What is it that the others have in common?1. Green, yellow, red, blue. 2. April, December, November, June. 3. Cirrus, calculus, cumulus, stratus. 4. Carrots, radishes, potatoes, cabbages. 5. Fork, comb, rake, shovel.",what is it
4579,A broom.,"You use me to clean, but the powerful take me for a ride. What am I?",what am i
3761,peach,"My heart is as hard as stone,  yet my flesh is soft and sweet.    What am I?",what am i
3965,The King of Spades (from a deck of cards).,"I am the ruler of shovels, I have a double. I am as thin as a knife, I have a wife. What am I?",what am i
688,T-shirt,"You go in through one hole, you come out through three holes.Once you're inside you're ready to go outside, but once you're outside you're still inside.What is it?",what is it
4488,Silence.,No sooner spoken than broken. What is it?,what is it
1116,washing machine,I am not a gossip but I get involved in everyone's dirty business. What am I?,what am i
172,sea,"I can wear boulders into pebbles, I can eat away at the land. I am home to predators and prey of old. All life came from me. I can never die, but am being added to and subtracted from, depending on the chance of rain.  What am I?",what am i
2672,scarecrow,I was crucified to keep murders out of the maze. What am I?,what am i
607,phantom,"My first letter is in the spell, but not the book My second letter is in the fright and also the shook My third letter is in the cauldron, but never in pot My fourth letter is in the net and also in the knot My fifth letter is in the bat, but never in the vampire My sixth letter is in the coal, but not found in fire My seventh letter is in moon, but not in night Who am I?",who am i
3595,gold,"what is bright as the sun,   but cold as the earth.   worn by women of value and worth.   What am i?",what am i
3127,its a shadow,"Only one color, but not one size,    Stuck at the bottom, yet easily flies.     Present in sun, but not in rain,    Doing no harm, and feeling no pain.     What is it. ",what is it
3490,icicle,Glittering points that downward thrust sparkling spears that do not rust what is it?,what is it
1901,seed,"In the ground I am nothing, but give me time and I'll be something. What am I?",what am i
962,pencil lead,"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?",what am i
3824,fence,I run around your yard with out moving! What am I?,what am i
163,watch,"I am small and black, gold, silver, brown, red, or blue. I am always desired when you're lost, worried, or running out of time. With me by your side you'll never be late. Just set me and forget me until a later time or date. What am I?",what am i
1727,Mona Lisa,I was born in Italy then I moved to France.I am only half figured so I cannot dance.I keep my right hand snug over my left wrist.I have an enigmatic smile though I cannot kiss.If you measure my height I'm only seventy seven.I have an Oscar thanks to Livingston and Evans.I lived with Napoleon but that was not fun.Cole put me on the Billboard eight weeks number one.Who am I?,who am i
1863,bowling alley,"I am a place where all deliveries are returned to the sender, those who perform better need to do less work, and a lot of things get knocked over, but generally speaking, nothing gets broken. What am I?",what am i
3554,time,"I can break buildings, make things rust, distroy earth.  But yet, I'm not a thing you can touch, see, hear, smell or taste me.  What am I?",what am i
3580,skin,"You'll find me all around you; I can be clear but not seen through; If I get cut you can glue me shut, but I can do it too.  What am I?",what am i
2107,current,"I am strong and silent in air and rivers. I can also give you shocks and shivers. Sounding small and black and off the vine. I'm here, right now at this moment in time.  What am I?",what am i
348,toothbrush,I'm going in on a mission.To improve a head condition. With a squeeze I have been equipped.For a daily task ought not skipped. Using the most proper technique.I'll traverse every trough and peak. I strive to keep them all intact.Let nothing from my goal distract. What am I?,what am i
1360,fortune cookie,"You can eat the outside of me.The inside you can not.Will you get rich, lose, or win something? Ask me!  What am I?",what am i
2453,towel,I'm a five letter word. Remove my last two letters and I'm a synonym of drag. My second and third letters form an exclamation and my first and second letters are a homophone with a number. What am I?,what am i
555,gloves,A hand without flesh and nothing can I hold. My grip cannot be used until I am sold. What am I?,what am i
1223,rings,"A keeper of time within thousand-armed giants, I take form many times throughout the cosmos, at the beginning of omega and the end of each ego, in the hands of man I manifest bonds of love, never to be broken but by the Grim Reaper himself.  What am I?",what am i
1796,scarf,"You use me for multiple reasons, I am many colored, and many shaped. I may or may not also tell you your sexual preference. What am I?",what am i
657,Minecraft,You can build or destroy. Let creativity soar but be careful at night. What am I?,what am i
633,goose,I grow up while growing down. What am I?,what am i
249,dog,"Half of those who read this riddle, I am your best friend.I depend on you, but it's you I will defend.What am I?",what am i
1774,slot machine,"I will be nice, if you see pics thrice. I bear fruit of trees, sometimes in 3's. I am but an arm's length in front of you. What am I?",what am i
59,glass,I am like the sparkling treasure. I can imitate someone. I am a rainbow god. I can see your beauty. I can give you a shield from gadgets. But my bones may break if you fall me.   Who am I??,who am i
1980,drawbridge,I open to close but I close to open. I'm surrounded by water but I'm never soaking. What am I?,what am i
4531,Tea.,"You get 2 clues to this riddle. 1. It can be green, black, or even sweet. 2. It sounds like a letter. What is it?",what is it
4194,I am the horizon.,"When you stop and look, you can always see me. If you try to touch you cannot feel me. I cannot move, but as you near me, I will move away from you. What am I?",what am i
4505,A Pearl.,"Lovely and round, I shine with pale light, grown in the darkness, A lady's delight. What am I?",what am i
1009,water,I am a strong as ten men Yet ten men cannot stand me up. What am I?,what am i
620,soap bubble,I am full of shimmer and shine. Every color of the rainbow shows.yet I am clear. When I appear there is fun for all.but I always disappear.  What Am I?,what am i
642,piggy bank,"My body has a dozen heads or more, My tails don't wag when you walk in the door. Count the ways you can hold me tight, Or use me for a special night! What Am I?",what am i
915,snail,"I am found in the sea and on land but I do not walk or swim. I travel by foot but I am toeless. No matter where I go, I'm never far from home. What am I?",what am i
723,flower,"I seek light, I cry at dawn. When one takes flight, My children are gone. What am I?",what am i
87,baby,"I can bring a smile to your face,A tear to your eye,Or even a thought to your mind.But, I cant be seen.What am I?",what am i
2829,butterfly,When there is a fly near our food it is normally a pest.  But when we see this fly near food it is often a welcome guest.  What am I?,what am i
377,may,"If May's daughter's daughter is my granddaughter's mother's mother's brother's sister, then what am I to May? (May only has one sibling)",what am i
4202,The letter E.,"I'm first on earth, second in heaven, I appear twice in a week, and once in a year, I'm in the middle of the Sea. What am I?",what am i
2003,moon,"I you don't move I move, if you move I still move. I can shine but am not a light bulb. I will fall before you wake up. What am I?",what am i
4142,A black hole.,I am not a person nor an animal. I was born from the death of something large and hot. I am capable of consuming anything and everything. I am very dark and exists in a place where there is no gravity. What am I?,what am i
3264,liar,"i have 50 legs, 10 eyes, 4 tails, 5 ears, and 3 heads.  what am i?",what am i
3191,jasim,i am stupid what am i,what am i
512,mother,I gave you the greatest gift anyone could ever give. I will love you unconditionally for as long as you live. Who am I?,who am i
3826,roads,I run through hills; I veer around mountains.  I leap over rivers and crawl through the forests.  Step out your door to find me.   What am I?,what am i
2606,fly,I spend the day in the window and I hide at night. When I get hungry I will visit your table for a meal. What am I?,what am i
1701,charcoal,Light me up in backyard gatherings. What am I?,what am i
3091,your eyelashes,"I am used to bat with, yet I never get a hit.   I am near a ball, yet it is never thrown.   What am I?",what am i
639,paper airplane,"You can throw me, I will fly. Throw me the right way, I'll get nice and high. The more weight the worse, the less weight the better. I can be made of light material, try a letter. What Am I?",what am i
4468,A die (dice).,"What has six faces, but does not wear makeup, has twenty-one eyes, but cannot see? ""What is it?""",what is it
62,tide,I'm pulled along from way up high. I clean the shore like a janitor guy. Sometimes wet and sometimes dry. What am I?,what am i
2256,hare,"I SHARE A NAME WITH SOMETHING DEAD, WHICH DOESN'T FADE, BUT GROWS INSTEAD.  WHAT AM I?",what am i
417,odometer,You turn me over after you have traveled far. What am I?,what am i
632,swing,"I'm a pendulum that many children will see, I become so when someone sits on me. I rock back and forth with a gentle glide, But I'm so thin you couldn't use me to hide. What am I?",what am i
4190,An Armchair.,"I have legs but walk not, a strong back but work not, two good arms but reach not, a seat but sit and tarry not. What am I?",what am i
2746,waterfall,"I run, though I have no legs to be seen.  I possess no heat, though I do have steam.  I have no voice to let words out, but from far away you can still he me shout.   What am I?",what am i
155,bee,"I had no father, only a grandfather. I shall bear no sons, only daughters. What am I?",what am i
3370,camouflage,I am used very often to get away from my ememy. These colors make me happy when they help me. Try to find me but you can not even try. what am I?,what am i
562,arrow,"My posterior is adorned with feathers. I have a rather long neck and quite a pointy nose. I am able to fly, yet I have no wings. What am I?",what am i
1923,clock,I am a round arena .I have three racers .They have different lengths .Also different speeds .There is no starting or ending.No winner or loser either. What am I?,what am i
3138,im the moon,I'm light I'm dark yet I'm not always around.   Sometimes I'm have sometimes I'm full.    What am I?,what am i
1989,friendship,"I'm like a sheltering tree.You planted in fertile ground: When you carefully nurtured me, My roots grew deeply bound. I protected you from the rain.And life's many raging storms. You delighted in me again.When days were sunny and warm. My wood, it has no worth. My fruit you cannot eat, But above all things on Earth, I am most precious and sweet. There's one last thing to tell, A hint from me to you: You can't raise me by yourself -.I must be cultivated by two. What am I?",what am i
1695,kiss,"You can use me to say hello, And to say goodbye. I'm no good when I'm too dry, I can be quick or I can be slow. What am I?",what am i
4167,The truth.,"Most ask for me, yet some hate to face me. For some I am agony and for others, I am relief. What am I?",what am i
3026,number 1,"I am thin, tall and I cannot walk but I have a tilted head .   What am I!?",what am i
2818,friendship,"I am something you want, but you cannot buy me.  If Iâ€™m strong enough, then I will last forever.  What am I?",what am i
1366,coincidence,"There is something blue flying through the air, something red is falling of the roof, and at the same moment the phone rings.  What is it?",what is it
314,light,"I can fill a room but take up no space. Look out at night, and I am in no place. What am I?",what am i
2420,calorie,"I'm a unit of heat generation. I am prone to great quantification. There are many aware of the #'s I bear. Some in triumph, and some in frustration. What am I?",what am i
4506,Dimensions.,"A sphere has three, a circle has two, and a point has zero. What is it?",what is it
194,chakra,"Round and Round, never off the ground. What am I?",what am i
1234,paper,Plates use it.Trees loose it.Dad peruses it.Fire chews it.What is it?,what is it
3861,sea,"I pounce like a bull  Every day one big haul,  I cut like a knife  But im as soft as a wife.    What am I?",what am i
1640,beard,Women don't have and don't want it. Men get it but sometimes they try to get rid of it. What is it?,what is it
3307,mary magdelene tomb,if i told you she rest beneath the stars and is under the blade and chalice what am i refering to?,what am i
3866,im a fish,"I am as cold as death, but ever breathing.   Never thirsty, but ever drinking.   Covered in mail, but never clinking.   What am I?",what am i
1521,watch,"I have a face that changes, A heart that beats on time, My body can be broken, but that won't make me die. Although I don't make decisions, Or tell you what to do, One look at me and you do see what there is to do! You say you're lost without me, when I'm not around. But I can give my place away and always can be found. What am I?",what am i
397,vowels,"You find me in cars, you find me in hats, You can usually find me in a cat. You see me in eggs, you see me in trees, You couldn't talk without me. You hear me in chimes, you see me in pigs, Without me a bald man can't wear a wig. You find me in dogs, you hear me in song, Sorry this poem took so long. You find me in mugs, and out and about, Without me you couldn't shout!  What am I?",what am i
86,iron,"My name states I'm a singular male, I can have a number, a head, but no tail. I've also great strength and I can be tough, But I'll smooth things out when they are rough. Although I go back to an age now gone, I'm around today for everyone. What am I?",what am i
4376,A mirror.,When you stare at me u see a you in reverse. What am I?,what am i
1220,border,"I can separate nations from nations, or line a thank you note. What am I?",what am i
1905,moon,"Always old, sometimes new. Never sad, sometimes blue. Never empty, sometimes full. Never pushing, always pulling. What am I?",what am i
2889,street or road,"From house to house he goes,  A messenger small and slight.   And whether it rains or snows,  He sleeps outside at night.   What am I?",what am i
3782,bullet,In a tunnel of darkness lies a beast of iron.  It can only attack when pulled back.  What is it?,what is it
3693,dentist,I build bridges of silver and crowns of gold.  Who am I?,who am i
552,Santa Claus,I invade your home once a year.  but only if you've been good. What am I?,what am i
3184,coffincasket,The man that builds it doesnt use it  The man that needs it doesnt know it  The man that wants it doesnt sell it  What is it?,what is it
908,bat,"You can see me awake at night, I am so dark I can be out of sight, Some are scared of me when I come around, I make a little squeaky sound.  What am I?",what am i
2934,lawsuit,What is it that no one wants yet no one want to lose?,what is it
2966,lighthouse compass or buoy,"Guides travelers, never moves, Always turning, never looks, Always shining, never burns, Looks on blue fields with each of its turns.  What is it?",what is it
2923,anteater,"I am an animal named after the animal that I eat, what am I?",what am i
699,backpack,I have a mouth on my head and eat everything. What am I?,what am i
4158,Your fears.,"I make you weak at the worst of all times. I keep you safe, I keep you fine. I make your hands sweat, and your heart grow cold, I visit the weak, but seldom the bold. What am I?",what am i
1844,clock,It keeps on revolving .but doesn't move.  What is it?,what is it
3105,your conscience,"I know you, but you don't know me  I know your every thoght and every move   I am apart of you, but a different person  I am the ruler of you and you are my servant  Who am I?",who am i
844,shadow,I crawl on the earth and rise on a pillar. What am I?,what am i
1594,cold,I can never be thrown but I can be caught. People always try to get rid of me. What am I?,what am i
1107,before,"I occur before this. I occur before that. I occur before Miss, and I occur before Chap. Though I'm before many, I am after some. Before you can answer, the day will be done! Who am I?",who am i
598,anchor,I help boats park. What am I?,what am i
3892,computer mouse,"I can move around,   But my space is restricted  Direct me,  And I  will go where you surf.   I have the name of an animal,  But I am mechanical.   Who or what am I ?",what am i
2518,blackboard,"Dark with white markings, And smooth like a rock. Where learning occurs, I help convey thought. What am I?",what am i
2739,silence,You can't hear me but I'm not dead.  Who am I ??,who am i
848,glasses,I have a frame but no pictures. I have poles but not standing up. What am I?,what am i
463,photograph,Someone else has to take it before you can get it.  What is it?,what is it
