Words,BFSConcepts,GoldRiddle,GenRiddle
echo,"['Echo', 'reflection']","Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth. What is it?","

I bounce and rebound, but I have no feet,
I mimic your voice, but I can't speak,
In a mirror, I can often be found,
As a reflection, I am always around.
What am I?"
sheet music,[],My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?,"

In lines and symbols, it's written down  
Guiding fingers, making sweet sound  
A key to unlock melodies untold  
Can you guess the word, bold and old?"
reflection,"['image', 'mirror']","If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?","

I am the opposite of the mirror,
But still I'll show your face.
In a bedroom you may find me,
Resting on a smooth surface, with grace. 
Just like an image, I am clear and precise,
But only when the light hits just right. 
What am I? Take a moment for recollection, 
I am the result of a perfect reflection."
inkpen,"['Inkpen', 'localités', 'paroisse civile']","I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?","I am a writing tool named for a place,
In a civil parish I can be found in space.
My home is in a village with a unique name,
Where I bring words to life and leave my mark in flame."
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']",Turn us on our backs and open up our stomachs You will be the wisest.   What am I?,"

I am full of knowledge, yet I am never done learning.
I can be found in a library, with others of my kind.
A writer's companion, my pages they fill.
Some read me for leisure, others use me for skill.
What am I, that holds so much, but is never full- think quick! 
I am the essential tool, known simply as a ________  (book)."
lock,"['a door', 'mechanism', 'help']","A dagger thrust at my own heart,  Dictates the way I'm swayed.   Left I stand, and right I yield,  To the twisting of the blade.   What am I?","

I am found on a door, but am not made of wood,
I keep the front door secure, as I should.
With a twist and a turn, I'm clicked into place,
Protecting your home, my job I embrace. 
What am I?"
volcano,"['a crater', 'a volcano', 'lava', 'hot']",My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?,"

I am a force of nature, 
Born from the fiery heart of a mountain, 
My burning soul spews forth from a crater, 
And my molten tears flow like lava, 
Destroying all in my path with no mercy or favor. 
What am I?"
Promise,[],"The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?","

I am often made,
but never seen.
Once broken,
I may cause a scene.
What am I?"
parrot,"['bird', 'papagei']",It sits on a pirates shoulder. And doesnt ever fly away. The funniest thing about it. Is that it repeats what you say. What is it?,"

From bright feathers to a beak,
In the sky, it's quite a treat. 
A creature with a song so sweet, 
It's colorful, it's hard to beat. 
What am I, this feathered friend? 
A winged creature to the end. "
yarn,['narration'],"I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?","

I am a story teller, 
With twists and turns, 
My tale is spun with skill, 
But not with words, 
I am made of pređa, 
A thread that binds, 
What am I, 
That leaves minds entwined?"
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']","Take one out and scratch my head, I am now black but once was red. What am I?","

I am a small object, used to make fire,
Some say I'm lucky and bring good desire.
With a flick and a scratch, I ignite with a catch,
Creating a flame, you can't help but admire.

Just like a friend, I light up the night,
But too close and your skin, I will ignite.
I'm often used to light a candle,
But I can also start a blaze, so handle with care.

I'm often found among the dark,
But with me, you'll find a spark.
Without me, a fire won't ignite,
I am the missing piece, try as you might.

"
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","What is it that no man ever yet did see, which never was, but always is to be?","

""Today I am but a mere thread,
In ancient Sanskrit texts I am read,
Yesterday I was but a dream,
In the past, I may seem extreme,
But in the present, I hold no sorrow,
For from me, a new day will borrow,
What am I, waiting beyond sorrow?""
"
sieve,"['analyze', 'analyser', 'analyse']","A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?","

I strain and sift and separate,
Through me, impurities escape,
With tiny holes that do not lie,
I'm a rešeto, a strainer am I."
recycling bin,[],"I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?","

I am often blue or green,
With a lid that's easily seen.
I hold your trash, but don't be mean,
For I am a friend to Mother Earth, so keen.
What am I? "
air,"['a gas', 'atmosphere', 'an atmosphere']",I can bend steel I can not be seen I am everywhere Between you and me. What am I?,"
I am a gas, light and free,
Without me, life would cease to be.
I am made of oxygen, clear and pure,
Invisible, but necessary for sure.

You can't see me, but I'm all around,
I make wind and weather, I can be found.
The air is my home, where I freely roam,
But in a gas form, is where I'm known.

What am I, this crucial thing,
That makes the world alive and sing?"
mind,"['Mind', 'brain', 'thinking']","I'm a place where you keep a lot of things; and, in the process of forming a decision, you refer to me.  What am I?","

I am the commander of your thoughts
The keeper of your deepest desires
Without me, your brain would be naught
I make you clever, wise, and wiser
I am the word that encompasses
All things related to your consciousness
I am the one you try to find
In each and every corner of your mind
What am I? "
battery,"['A battery', 'power a flashlight', 'power a radio']","I can help you have some fun, Sometimes I get stronger from the sun. If you never give me a break, You will find I may never again wake. I am optimistic on one side, I can be short, fat, tall, or wide.  Rectangle, cylinder are just a couple of my shapes, And maybe I can even help you make some videotapes.  Sometimes you have to wait long for me to get ready, Just hold on for a few hours and be steady. I can help you get around to the market or mall, and even help you make a call. What am I?","

I am a source of energy, 
That can keep things running continuously. 
Whether it’s a flashlight, radio, or toy, 
I give them the juice to operate with joy. 
What am I, always ready and charged, 
Powering your devices, I am quite large."
wig,"['hair', 'hairpiece', 'attire']","I am perfect with a head, perfect without a head; perfect with a tail, perfect without a tail; perfect with either, neither, or both what am i ??","

I may not be real hair, but I cover your head,
Some choose me for style, others to mend.
I sit on your head, but I'm not truly there,
I can give you new looks, but beware.
I may fool the eye, but I am not a lie,
For toupees are just one reason why.
Playing dress up or hiding flaws,
I am more than just a head's accessory clause.
What am I, you just might not know,
Except that I am small and... grow?"
weighty,"['cogent', 'cohérent', 'forcefully']",I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?,"

I am often seen as a burden,
But for some, I'm a source of pride,
Some may consider me corpulent,
But to others, I'm just heavy to ride.

My presence can be quite cogent,
A force to make others feel small,
Yet it's not my fault I'm fat,
For I am just merely who I am, after all."
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']","Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?","

I am often found inside your pouch
Easy to grab for when you need to slouch
I help remove food stuck in between
Making sure your teeth stay squeaky clean
But beware, I can also be sharp as a prick
For I have the power to stab an olive like a toothpick
What am I, you may ask, with a flick
Why, dear friend, I am simply a toothpick."
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']",I am hated by people.  People are scared of me.  I am hated by worms and I always have a worm following me.  But the worm is never eaten by birds and other predators.  I sometimes live in a house but I am seldom seen.  I am alive.  I can breathe.  And I can eat    What am I?,"
I am tiny and quick, yet I fit through a hole in a wall.
In the garage, I may scurry, but you'll never catch me at all.
I can be found in the lab, scurrying and squeaking loud.
But in the kitchen pantry is where I'm often found.
What am I? A creature with quick feet, that's no doubt.
I am a sneaky little rodent, known as a _______. "
ice cream,[],"I scream, I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?","

What is cold, sweet, and comes in a cone?
It's a treat to enjoy when you're not alone.
Some like it plain, others add sprinkles and fudge,
But beware, if you eat too much, you might get a sweet tooth grudge.

(Answer: Ice cream)"
snowman,['figure'],"I am a man,  I am not Male,   Nor Female.   I have eyes,  But cannot see,  I have a mouth,  But cannot talk.   I like cold Weather.    What am I?","

I appear in winter, but melt in the spring
My head is round, and my body is thin
Children love to make me, but I'm not alive
What am I, cold and white, in December's drive?"
news,"['current', 'current events', 'daily']","Sometimes I`m good, sometimes I`m bad Sometimes you wait for me, sometimes you fear me Sometimes you see me, sometimes you hear me.  Sometimes you make me, sometimes you even spread me What am I?","

I am the bearer of information,
On the television, I make an appearance,
But most commonly found on paper,
And I am not weekly, but rather daily.
What am I?"
spider,"['a web', 'arachnid']","A woman wraped from head to toe in black, kneeling beside here dead husband.  What am I ?","

I spin webs that can trap a fly,
An arachnid with eight legs am I,
Known as ""araignée"" in France,
My home is just a delicate dance.
What am I? Some may fear,
But I am just a tiny seer,
Weaving a masterpiece, seamless and neat,
I am the mysterious creature, a spinner so discreet. 
"
x-ray,[],"You can't see me, but I can see you; To be more specific, I see through. What am I?","

I have no eyes, but I can see through you;
I reveal your bones, but not your tattoos.
I am used in medicine, yet I am not a pill;
What am I? A powerful and illuminating thrill."
well,"['fit', 'get water', 'studenac']","Round as an apple, deep as a cup, and all the kings' horses can't fill it up. What is it?","

I am a source of refreshment, found below the ground
You need a bucket or a pail, to make me abound
My depth may differ, in each and every place
But I'm always there to quench your thirst, with a steady pace

What am I? "
clone,"['a lab', 'copy', 'knockoff']","I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?","

I am made in a lab, but not with a test tube,  
My existence is not some science fluke.  
I may be a ringer, an imitator, a fake,  
But my abilities are not something to shake.

I am a copy, a duplicate, a clone,  
But still unique in ways you've never known.  
I can throw quoits with precision and skill,  
Though no bloodline I share, I have a strong will.

What am I, this curious creation?  
A lab-made marvel with no hesitation.  
A perfect embodiment of the word clone,  
Proving that"
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","I am a girl, but I am a boy as well.  What am I?","

I am separated by a slash,
One side says I'm a female with a twist of cash.
In Chinese, I'm known as 人妖,
But in Korean, I sound like a email.
Can you guess what I am, my name is shemale."
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']","My first is in ocean but never in sea, my second's in wasp but never in bee.  My third is in glider and also in flight, my whole is a creature that comes out at night.   What am I?","

I am a bird who flies through the night,
In the air, I am a silent sight.
With keen ears, I hear the slightest rustle,
My feathers so soft, my eyes never bustle.
Who am I, with a deep hoot and a screech so foul?
I am the master of the darkness, the wise old ____."
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","I am always will be coming, but I will never come. What Am I?","

I am only a day away, 
But in Sanskrit literature I'll stay. 
In the past I was jučer, 
But now I am a sutra treasure. 
What am I, if not yesterday's sorrow? 
A word that holds guaranteed tomorrow."
toenail,"['Toenail', 'nail', 'cause a puncture wound']","I can get hurt easly, if i do get hit i can fall off.  It will look gross, some people bite me but not me, what am i????","

I am found on the tip of your toe,
I may be small but I still show,
I can be painted, clipped or even filed,
But if I grow too long, I may be reviled.

What am I?
I am your toenail, oh so small,
But if I catch on something, I may cause a fall.
A part of you, yet not quite the same,
I can even cause a puncture wound, what's my name?"
February,[],We are a family of 12 members. I am the second. I am also the youngest in our family. Who am I?,"

I am the shortest month of the year
But my name has quite the ring
Valentine's Day falls within my days
Can you guess what word I bring?"
Olympic Games,[],"I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?","

I am a world-class event that happens every four years,
where athletes compete with strength and fears,
gold, silver, and bronze are the ultimate goal,
and unity and sportsmanship are my overall role.
What am I?"
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']","What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?","

I stand tall and proud, never-ending in sight,
A concept beyond time, a never-ending plight.
Within my grasp lies eternity's key,
Forever and ever, I'll just be.
The further you chase, the more I'll bring,
Eternally unattainable, or so it may seem.
What am I? Infinite and true,
A mysterious enigma, forever anew."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","I have two hands, but I can not scratch myself. What am I?","

I am found on a desk, but I cannot be written on
I am a timepiece, but I do not have hands
You can watch me closely, as I never lie
I measure the time, as it passes by
What am I, you may ask, well hear my tick-tock
I am simply known as a trusty old clock."
penguin,"['manchot', 'penguen', 'pingouin']",I'm usually black and white but I'm not a newspaper. I have wings but I'm not an airplane. I lay eggs but I'm not a chicken. I eat fish but I'm not a whale. I appeared in the movie Madagascar but I'm not a zebra. Who am I?,"

I am a flightless bird, living in the cold,
My Spanish name is ""pingüino"", or so I am told.
In Turkish, I am known as a ""penguen"",
But in any language, I am loved by children.

What am I?"
slenderman,[],"I am watching you, but you're not watching me I kill little children in their rest, but they don't notice it My face is nothing, but you can see it Who am I?","

I am tall, dark, and thin
A mythical figure, some say a sin
Cloaked in darkness, haunting and grim
Who am I? The answer is slenderman."
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']",I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?,"

I am a planet in the vast expanse,
Spherical in shape, I must confess,
I make up part of the universe,
But deep within me lies a molten core, diverse.

What am I?"
chair,"['a chair', 'a cubicle', 'a desk', 'four']","I have four legs, a back, but no head. What am I?","

In the office, I sit so dutiful
At my desk, I make you comfortable
With four legs and a back so fair 
I'm a necessary seat, can you guess what I care?"
nut,"['Nut', 'orah']","A little house full of meat, no door to go in and eat.What am I?","

I am tiny and round, with a tough outer shell,
Inside I hold a treasure, some call it a delicacy as well.
From the plant I come, a seed in my core,
But as a nut, I am loved and craved for more."
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']","Round I start, yet no shape have I.   Allow me to breathe, and my life will die.   The older I grow, the more sought after I become.   You will feel much better when I am done.   What am I?","

I am a libation, enjoyed by many,
Made from grapes, oh so fruity,
With a kick of alcohol, I can be quite heady,
But drink too much, and you may feel queasy."
comet,['astronomy'],"I have 3 tails and you could fit 60 erths inside me,who am I?","

I am a heavenly body, soaring through the vast unknown,
My tail stretches far and wide, like a bright shining thrown,
In the depths of outer space, I travel on my track,
One of the oldest wanderers, never to turn back,
I am made of rocks and ice, a mixture of the two,
But when I get close to the sun, my tail glows bright and true,
I am studied by astronomers, a source of fascination,
A marvel of the science, and all its speculation,
My orbit's path is calculated, with the laws of physics in play,
Can you guess my name? I'm a"
tissue,[],A thing to help  A thing to use  When it is cold  I am absorbent  I help all  When things are running i am the one to call  What am I,"

Soft and delicate, yet strong as can be
Used for wiping and sneezing, what could I be?
I absorb your tears, and clean up your mess
Can you guess my name, with just one guess?"
paint,"['art', 'Art', 'an art', 'creative', 'be creative']",You often use it with a brush. But not the kind used on your hair. Add it nicely to some canvas. So that people will stop and stare. What am I?,"

I am a liquid, yet I don't flow
I bring color wherever I go
On a wall, I make my mark
In art, I'm like a spark
What am I? Some may faint
For I am the one and only paint"
woman,"['female', 'gender']","I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?","

I am a symbol of grace and power,
A representation of strength in a delicate flower.
I can be a girl, a lady, or a young one,
But no matter my age, I shine like the sun.
With curves and beauty, I am a sight to behold,
Stronger than I may seem, with a heart made of gold.
What am I, you may ask, so lovely and fair?
I am simply a _____, a treasure beyond compare."
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']",What is it that makes tears without sorrow and takes its journey to heaven? what am i ??,"

I am fire's distant cousin 
Not quite as hot, but still often fun 
I'm often seen with a cigarette 
But don't be fooled, I'm not done yet 

I'm made of air, that much is true 
But I'm not something you can see through 
With a flick of a lighter, I come alive 
And without warning, I can quickly thrive 

Some say I'm a signal of danger 
But others find me a stress-taming ranger 
No matter how you see me, I'm here to stay 
A hazy reminder of the price you pay 

What am I, elusive and wis"
police car,[],I am black and white and full of fuzz. What am I?,"

I am fast and always on the go,
With flashing lights and a siren's blow.
My job is to protect and serve,
But don't cross me, or you'll get what you deserve.
What am I?"
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']","I have four of these,   With matching extremities.    They can do many things,   And hardly ever bring me pain.    Unless I stick them with a pin,   Or burn them sometimes when. . .    What is it that I can wiggle at will?   And use in other means still?","

What can push buttons with a simple flick,
Bones and tendons strong and slick,
When broken, can leave you feeling sick,
But always rigid, with a click-click-click?"
fetch,['bring'],I am a activity dogs are very good at when a ball is thrown. What am I?,"

I'm always there when you need me,
But I never stay for long.
I'll chase after anything you throw,
But I won't bring it back, I'm not that strong.
What am I?"
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']",I am a type of insect. But one that is beautiful. I look just like a large moth. But one that is colorful. What am I?,"

I am a flying creature with wings so bright,
You'll find me fluttering in the sunlight.
My body is small, but my beauty is grand,
I'm an insect that's admired across the land.

Some call me lepidopterous, it's true,
A fancy name for a creature like you.
My colorful wings are a sight to behold,
But beware, my friends, for I am not so bold.

I start as a caterpillar, crawling on the ground,
But with time, I'll transform and spread my wings all around.
I'll dance on the flowers and sip on their nectar,
A sign"
bottle cap,[],"My first, a place where liquid stays.My second shields your eyes from rays.A thread leads my whole's spiral ways. What am I?","

Round and flat, with letters on top,
Keeps your drink from turning flop,
Twist it off, hear that satisfying snap,
What am I? I am the bottle cap. "
splinter,['bit'],I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it.What is it?,"

I may be small, but I pack a bite,
A shard of wood, not quite a byte,
A tiny piece, easily found,
But in your skin, I may astound. 
What am I? "
counterfeit,['fictitious'],"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?","

I look like the real deal, but I'm far from true
In my tricky hands, you can't trust what I do 
I may seem genuine, but don't be misled 
For in the end, I'm just a cleverly crafted _________."
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']","I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?","

I am a bird of myth and lore,
Known by many names for sure.
In Greek, I am φοινιξ,
In Danish, I am føniks.
My rebirth from ash always perplex,
I am the legendary Phoenix."
Peanut,[],"My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?","

What is small, but packs a punch,
Goes well with jelly for a lunch.
It's not a seed, but has a shell,
A tasty snack, can you tell?"
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']","I went to the city, I stopped there, I never went there, and I came back again. What is it?","

I am a keeper of time
On your wrist, I shine sublime
I have hands but cannot clap
I tick, I tock, a steady rap
A crucial part of any day
Without me, time would slip away
What am I, can you guess?
I'm a wrist-worn timepiece, no less."
nose,"['a nose', 'body', 'a coffin', 'arms']","No matter how smart you are, there is one thing you will always overlook. What is it?","

What is on your face and helps you smell
It's an organ but it's not your bell
It's long and round, but not quite a hose
Can you guess what it is? It's your ____!"
shower cap,[],"My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?","

I'm made of plastic, I'm used to protect,
I keep your hair dry, even when you're wet,
Some say I look silly, others say I'm smart,
I'm always there for you, at bath and art.
What am I?"
war,"['a bad thing', 'a war', 'battle', 'a battle']","A harvest sown and reaped on the same day In an unplowed field, Which increases without growing, Remains whole though it is eaten Within and without, Is useless and yet The staple of nations. What is it?","

I rage and I ravage,
Leaving destruction in my path.
When nations clash, I am born,
A force to be reckoned with, a wrath.

People seek me, yet fear me,
For I bring only pain and strife.
In the depths of hell, I dwell,
A never-ending war of life.

Brothers turn against brothers,
In a battle that knows no end.
A never-ending conflict we suffer,
A fate that we can never mend.

What word am I, a symbol of chaos,
A never-ending war, forevermore?
A living hell, a brutal battle,
My name, simply spelled, is"
snowman,['figure'],"I am a cold man without a soul. If there is warmth in me, it slowly will kill me.  What am I?","

I'm white and round, with eyes that gleam,
But I'm not a ball or a puff of steam,
I have a carrot nose and a tree branch hand,
I'm a jolly creature made of snow and sand.
What am I?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","I can be a square, I can be a circle. I can be on any kind of decoration piece you want. I can sound like a wind chime or a bird.  I can glow in the dark.  I can be carried around in your pocket or sit on your dashboard. I can talk or not talk, use my hands or not use my hands. Either way I get my message across. What am I?","

I tick and tock to keep the time,
On your desk, I sit in prime,
A timepiece you can watch with ease,
Without me, your schedule would freeze."
bell,['chime'],"I can speak with my hard metal tongue. But I cannot breathe, for I have no lung. What am I?","

I can be found in a tower or on a stand,
My sound can be heard across the land.
In a church I often stay,
Summoning people to come and pray.
But I'm not just found in holy places,
My ringing is used in many cases.
A common sight in a symphony,
The sound of me is quite heavenly.
What am I, can you tell?
A beloved instrument, I am the bell."
dog,"['a bone', 'a canine', 'a kennel', 'a loyal friend', 'animal', 'a zoo', 'an animal']","Forward I am an animal, but backward I am one who no man can ever see. What am I?","
I am a loyal companion, barking at strangers near
Guarding your house with my fierce bark, it's clear
Some see me as a fierce hound, but I'm just a mere
Pet, loved and cherished by those who hold me dear
A four-legged friend, an animal so dear
What am I? A creature we all know and hold so near"
soda,"['a beverage', 'a can', 'a drink', 'a soda', 'carbonated', 'berkarbonat', 'brusende']","Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes. What am I?","

I am a bubbly treat,
A thirst-quenching feat,
In a can I am found,
Refreshing when drank down. 
Carbonated and cool,
I won't make you drool, 
What am I, can you soda it out?"
Apple,[],"I__ red, but I can be green. At times, I might even be yellow. What am I?","

I am round, I am red,
In pies and sauces, I am often spread,
Some people like to take a bite,
Others prefer to take a flight.

What am I?"
fart,"['clear the room', 'eat beans', 'eat lots of beans', 'flatulate', 'accompanying']","Sometimes I am born in silence, Other times, no. I am unseen, But I make my presence known. In time, I fade without a trace. I harm no one, but I am unpopular with all. What am I?","

I am something you feel deep within  
After you eat beans, I'm sure to begin  
With a strong force that makes the room clear  
Leaving a smell that causes fear  
Though you may deny it, it's true  
Without a doubt, you know what I can do  
What am I, you might ask  
Well, it rhymes with cart and starts with F-A-R-T"
rope,"['a backpack', 'a boat', 'a rope', 'trip a person']",I am a piece of equipment that has hundreds of uses; I can even be used to save a life! I am not a medicine and I am non-electric. I come in all shapes and sizes. It doesn't require much specialist training to be used. What am I?,"

I am a versatile tool, used for many things,
On a boat, I may be tied to the rings.
To trip a person, I could be stretched wide,
Or in a backpack, I may safely reside.
I am skilled at tying things together,
As strong as an ox, or a feather.
What am I, can you guess?
I am the trusty rope, I must confess."
