starters,generated_riddles,reference_riddles
weighty,I am a type of sex. I can be thrown or tossed. What am I?,"I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?'
"
toothpick,"I am a tool that can be used to make ice cream. I can make you eat sour cream, but I'm not able to twirl you. What am I?","Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?""
"
mouse,"I am a mouse, but I'm not able to see. I can be spelled out, yet I have no legs. What am I?","I am hated by people.  People are scared of me.  I am hated by worms and I always have a worm following me.  But the worm is never eaten by birds and other predators.  I sometimes live in a house but I am seldom seen.  I am alive.  I can breathe.  And I can eat    What am I?""
"
ice cream,I am a sweet and sour drink. I can be poured into ice. What am I?,"I scream, I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?'
"
snowman,I am a man who is snared in snow. I have ten legs but no legs. What am I?,"I am a man,  I am not Male,   Nor Female.   I have eyes,  But cannot see,  I have a mouth,  But cannot talk.   I like cold Weather.    What am I?'
"
news,"I am a word that is used in syllables. I can be used to describe tense, evocative, or even resonant. What am I?","Sometimes I`m good, sometimes I`m bad Sometimes you wait for me, sometimes you fear me Sometimes you see me, sometimes you hear me.  Sometimes you make me, sometimes you even spread me What am I?'
"
black widow spider,I am black and white and I have a black face. What am I?,"A woman wraped from head to toe in black, kneeling beside here dead husband.  What am I ?'
"
x-ray,"I can be seen in a trance, I have no eyes, but I'm able to see. What am I?","You can't see me, but I can see you; To be more specific, I see through. What am I?""
"
well,I am a word that is used to describe sex. I can be found in many places. What am I?,"Round as an apple, deep as a cup, and all the kings' horses can't fill it up. What is it?""
"
clone,"I am a type of worm, I have sex, but I'm not able to eat. What am I?","I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?""
"
shemale,"I am a sexy animal, I have ten legs, and I can be twirlled. What am I?","I am a girl, but I am a boy as well.  What am I?'
"
owl,"I am a bird that is able to fly. I can fly but cannot fly, I have no legs. What am I?","My first is in ocean but never in sea, my second's in wasp but never in bee.  My third is in glider and also in flight, my whole is a creature that comes out at night.   What am I?""
"
tomorrow,"I am the day of tomorrow, I will be the night of the future. What am I?","I am always will be coming, but I will never come. What Am I?'
"
toenail oviasally dahhh,"I am a sexy girl, I have ten legs, and I\'m tense when I say ""seen"". What am I?","I can get hurt easly, if i do get hit i can fall off.  It will look gross, some people bite me but not me, what am i????'
"
February,I am a month of rain. I'm mainly in the middle of the month. What am I?,"We are a family of 12 members. I am the second. I am also the youngest in our family. Who am I?""
"
Olympic Games,"I am the first of many, and I have been held since the beginning of World War I. I can be held in the Olympics, but I cannot be contested in a single day. What am I?","I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?""
"
infinity,"I am a planet, but I'm not able to move. I can be viewed in many different ways. What am I?","What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?""
"
clock,I have a head but no eyes. I can be spelled but not tipped. What am I?,"I have two hands, but I can not scratch myself. What am I?'
"
penguin,I am a bird that is spelled out in ten letters. I have flies and teddy bears. What am I?,"I'm usually black and white but I'm not a newspaper. I have wings but I'm not an airplane. I lay eggs but I'm not a chicken. I eat fish but I'm not a whale. I appeared in the movie Madagascar but I'm not a zebra. Who am I?""
"
slenderman,I am a man who is slender and he is not able to see. What am I?,"I am watching you, but you're not watching me I kill little children in their rest, but they don't notice it My face is nothing, but you can see it Who am I?""
"
earth,"I am a planet, but I'm not able to live. I have no wings, yet I can fly. What am I?","I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?""
"
chair,I am a chair that is made of wood. I have legs but no legs. What am I?,"I have four legs, a back, but no head. What am I?'
"
A Nut.,"I am a fruit, but I'm not nut. I can be thrown away, or tossed away. What am I?","A little house full of meat, no door to go in and eat.What am I?""
"
bottle of wine,I am a drink that is made of water. I can be poured into ice. What am I?,"Round I start, yet no shape have I.   Allow me to breathe, and my life will die.   The older I grow, the more sought after I become.   You will feel much better when I am done.   What am I?'
"
comet,"I am a creature that is able to fly. I can fly but cannot fly, I have no wings. What am I?","I have 3 tails and you could fit 60 erths inside me,who am I?'
"
tissue,I am a thing that can be used to make ice. I can make you feel good. What am I?,"A thing to help  A thing to use  When it is cold  I am absorbent  I help all  When things are running i am the one to call  What am I'
"
paint,I am a color that is used to make sand. I can be used for many different purposes. What am I?,"You often use it with a brush. But not the kind used on your hair. Add it nicely to some canvas. So that people will stop and stare. What am I?'
"
woman,"I am a woman, but I'm not able to see. I can be sexy, or i can't see, I have no eyes, yet I live in taverns. What am I?","I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?""
"
smoke,"I am a thing that can be seen, but I can't be heard. What am I?","What is it that makes tears without sorrow and takes its journey to heaven? what am i ??""
"
police car,I am a type of car that is used by police. I have ten wheels and tyres. What am I?,"I am black and white and full of fuzz. What am I?'
"
Gelt,I am a sand-covered twig. I can be used to make ice cream. What am I?,"Getting a handful of these brings a joy you've never felt, but don't leave me in your pockets because I may melt! What am I?""
"
fingers,"I am a word that is used to describe syllables. I can be used for catching tyres, or for making flies. What am I?","I have four of these,   With matching extremities.    They can do many things,   And hardly ever bring me pain.    Unless I stick them with a pin,   Or burn them sometimes when. . .    What is it that I can wiggle at will?   And use in other means still?'
"
fetch,"I am a thing that you can throw, but you cannot throw me. What am I?","I am a activity dogs are very good at when a ball is thrown. What am I?'
"
butterfly,I am a butterfly that is spelled out in the middle of the sky. What am I?,"I am a type of insect. But one that is beautiful. I look just like a large moth. But one that is colorful. What am I?'
"
bottle cap,I am a bottle that is filled with water. I can be used to make ice. What am I?,"My first, a place where liquid stays.My second shields your eyes from rays.A thread leads my whole's spiral ways. What am I?""
"
A splinter.,I am a solitary thing. I can be thrown or tossed. What am I?,"I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it.What is it?""
"
counterfeit money,I am a word that is used to describe thief. What am I?,"Whoever makes it, tells it not\xcd\xbe whoever takes it, knows it not\xcd\xbe and whoever knows it, wants it not. What is it?'
"
phoenix,I am a solitary creature that is surrounded by ants. I have ten legs but no legs. What am I?,"I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?""
"
Peanut,I am a nut that is shaped like sand. I can be thrown or tossed. What am I?,"My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?""
"
watch,"I am a thing that you can watch, but you don't want to see me. What am I?","I went to the city, I stopped there, I never went there, and I came back again. What is it?""
"
Your own nose.,I am a word that is used to describe your own body. What am I?,"No matter how smart you are, there is one thing you will always overlook. What is it?'
"
shower cap,I am a type of shower cap. I can be used for sand or mud. What am I?,"My first may accompany a sullen summer sky.My second means ""the sky\'s the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?'
"
War.,"I am a war, I can be fought, and I have no enemies. What am I?","A harvest sown and reaped on the same day In an unplowed field, Which increases without growing, Remains whole though it is eaten Within and without, Is useless and yet The staple of nations. What is it?'
"
snowman,I am a man who is snared in snow. I have ten legs but no legs. What am I?,"I am a cold man without a soul. If there is warmth in me, it slowly will kill me.  What am I?'
"
clock,I have a head but no eyes. I can be spelled but not tipped. What am I?,"I can be a square, I can be a circle. I can be on any kind of decoration piece you want. I can sound like a wind chime or a bird.  I can glow in the dark.  I can be carried around in your pocket or sit on your dashboard. I can talk or not talk, use my hands or not use my hands. Either way I get my message across. What am I?'
"
bell,I am a bell that is surrounded by horns. What am I?,"I can speak with my hard metal tongue. But I cannot breathe, for I have no lung. What am I?'
"
dog,I am a dog that is able to move. I can be spelled out as if it was thrown. What am I?,"Forward I am an animal, but backward I am one who no man can ever see. What am I?'
"
soda pop,I am a type of pop. I can be made of ice. What am I?,"Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes. What am I?'
"
Apple,"I am a fruit that is sliced and shaved. I can be shaped like ice, but I'm not able to eat. What am I?","I__ red, but I can be green. At times, I might even be yellow. What am I?""
"
fart,"I am a word that is used to describe sex. I can be used in tense, fright, or even if you're not able to see me. What am I?","Sometimes I am born in silence, Other times, no. I am unseen, But I make my presence known. In time, I fade without a trace. I harm no one, but I am unpopular with all. What am I?""
"
rope,I am a rope that is twisted and slender. I can be used to ride tees and jumps. What am I?,"I am a piece of equipment that has hundreds of uses; I can even be used to save a life! I am not a medicine and I am non-electric. I come in all shapes and sizes. It doesn't require much specialist training to be used. What am I?""
"
gravity,"I am a force that can be thrown, but I can't be held. What am I?","I am what bring things together. Without me everything you see would be a total mass or debris everywhere. What am I?""
"
Gold.,I am a gold that is spelled out in the middle. What am I?,"I drive men mad  For love of me,  Easily beaten,  Never free.What Am I?'
"
The letter I.,I am a letter that is spelled in the middle of the letter. What am I?,"I am not found on any ground,But always in the air; Though charged each cloud with thunder loud, You can not find me there. Now, if from France you choose to dance Your way just into Spain, I there am seen, and near the queen, In hail, in mist, and rain.What am I?'
"
An Envelope.,I'm a letter that's spelled out in ten letters. I can be thrown in the middle of tense. What am I?,"I'm made of eight letters,But hold a ninth inside;Pay a very small fee,And send me for a ride.What am I?""
"
A tree.,"I am a tree, I have no legs, but I can be tall. What am I?","I grow up super tall. When I die, I give a mighty fall. What am I?'
"
The nose.,"I am a word that is used to describe sex. I can be thrown or tossed, but I cannot be touched. What am I?","What is it that smells most in a perfume shop?'
"
justice,"I am the law of the world, and the rule of law. I can be found in many countries, but I cannot be seen in any other country. What am I?","I cut through evil   like a double edged sword,   And chaos flees at my approach.    Balance I single-handedly upraise,   Through battles fought with heart and mind,   Instead of with my gaze.     What am I?'
"
daughter,"I am a child, but I'm not able to be born. I have ten children, yet I can't be conceived. What am I?","A father's child, a mother's child, yet no one's son. Who am I?""
"
corner,"I am a corner, I'm surrounded by sand, and I have ten legs. What am I?","Send poorly behaved children to me and let them sit here what am i ??""
"
human ear,"I am a human body, I have no ears, but I can be seen. What am I?","My timpani play a rhythmic song, With hammer on anvil I play along. Down my canal no ship sets course, And I have a stirrup that fits no horse.  What am I?'
"
waterfall,I am a river that flows through the sky. I can be seen in the distance. What am I?,"This old one runs forever, but never moves at all. He has not lungs nor throat, but still a mighty roaring call. What is it?'
"
human life,"I am a thing that can be lived, but I can't be made. I have no parents, yet I'm able to live. What am I?","I am everywhere you look, no matter time of day.  You   can see me in the people's faces as they walk away.  I've been around forever, I am not about to leave.  Many have fought to save me, because it's what they believe.  I have been at every war, since the first I can remember.  And suprisingly enough, in those days I was lost every december.  What am I?""
"
crane,"I am a bird that is able to fly. I can fly but cannot fly, I have no legs. What am I?","It has a long neck, A name of a bird, Feeds on cargo of ships, It's not alive, What is it?""
"
wig,I am a hair color that is spelled out in tequila. What am I?,"you wear to keep your head warm but its not a hat you wear it if you lost it what am i?'
"
ladder,I am a ladder that is used to climb. I can be used for many different purposes. What am I?,"Two bodies with ribs, exposed. What am I?'
"
nails,"I am a word that is used to describe sex. I can be twisted, thrown, or tossed. What am I?","I can hold things together, And you have 20 of me, or so I hope. What am I?'
"
outer space,I am the only place where you can see me. I can be found in many places. What am I?,"I am black as night,  But filled with light.   I can be seen,  Even through a screen.   I hold many secrets,  Waiting for them to be discovered.   What am I?'
"
satisfaction,"I am a feeling that you feel when you're satisfied. I can be felt by all, but I'm not based on your own feelings. What am I?","All have tried to catch me, none have kept me! What am I?""
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"Its sometimes sharp. And good at being lead. Using this will help. Things to be read. What is it?'
"
Gelt,I am a sand-covered twig. I can be used to make ice cream. What am I?,"I am a Jewish chocolate candy that is wrapped in foil. I sometimes have a picture of a menorah on me or the Star of David. What am I?'
"
Sand.,I am a substance that is sand. I can be thrown or tossed. What am I?,"I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?'
"
spider,I am a spider that is spelled out in the middle of the sky. What am I?,"With no hammer or any kind of tool I build my house so quickly. What am I?'
"
your shoes,"I'm a thing that you wear everyday. I can be worn everyday, I have sex, but I don't have shoes. What am I?","I run through the field all day with my tounge hanging out.  At night I sleep not alone.  What am I?""
"
Pencil lead.,"I am a word that is used to describe sex. I can be used in tense, fright, or even if you're not able to see me. What am I?","I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?""
"
peanut,I am a fruit that is sliced and shaved. I can be thrown away and eaten. What am I?,"I'm a seed that's underground.    Many like to spread me around.    But my family it's said is quite insane.    And if you've a low I. Q.  you've this kind of brain.    Eat me raw and I'll make you sick.    Eat too much and your tongue will stick.     What am I?""
"
blood,I am a substance that can be found in many places. I can cause harm to many people. What am I?,"I am the water of life, but seeing too much of me is never good. I am what binds families together, but I can be defied. What am I?'
"
memory,"I am a thing that can be shared, but I can't be used. I have no meaning, yet I'm able to be understood. What am I?","I can bring tears to your eyes; resurrect the dead, make you smile, and reverse time.   I form in an instant but I last a lifetime.  What am I?""
"
"Water. Explanation: Water can be in the form of a liquid, solid (ice), and/or a gas (water vapor) which is represented by ""three lives"".\xc2\xa0 As a liquid, it is used to bathe, as a gas it creates clouds that float in the sky, and as a solid (ice), it can split rocks or create glaciers that scour the earth as they move downhill.","I am a liquid, solid, and/or if i am liquid vapor, what am I?","Three lives have I. Gentle enough to soothe the skin, Light enough to caress the sky, Hard enough to crack rocks. What am I?'
"
sword  ,I am a sword that is spelled out in ten lines. What am I?,"A dragon's tooth in a mortals hand,   I kill, I mame, I seperate the land.    What am I?""
"
tebag,I am a bag that is shaped like teddy bear. What am I?,"What goes in dry and comes out wet.  The longer it's in, the better it gets.  When it comes out, it's sagging wet.  What is it?""
"
jet stream,"I am a stream that flows through the sky. I have no wings, but I can fly. What am I?","Always traveling round the pole.I give a push but never pull.Never touching earth or ground.Never counting times around. What am I?'
"
reed,I am a reed that is shaped like sand. I have ten legs but no legs. What am I?,"I am the thing that makes oboes, clarinets, and Saxaphones play  What am I?'
"
elevator,I am a place where people can walk. I can be used for many reasons. What am I?,"I have buttons but I'm not a shirt. I have doors but I'm not a house. I go up and down but I'm not an umbrella. I need at least two stories but I'm not a book of fairytales. I'm found in tall buildings but I'm not a penthouse. What am I?""
"
key,I am a key that is used to unlock if you have smashed me. What am I?,"If I turn my head, you may go where you want, but if I turn again, you could stay and rot. What am I?'
"
The king of hearts,"I am the king of hearts, I have no hands, but I can be a keeper. What am I?","Four kings of whom I am one lord. Often on deck but never on board. Though I have a large heart, I am always seen at war. During which I always wear a suit, but never a suit of armor. Who am I?'
"
ocean,I am a place where water is sand. I can be surrounded by mountains. What am I?,"I come across as flat, But theirs more to me than my surface; You climb my moutains from top to bottom, And fall from bottom to top. What am I?'
"
tomato,I am a fruit that is sliced and sown. I can be thrown away and eaten. What am I?,"I was a stage critic in the days of old. Some thought I was poisonous, others knew better. I'm often thought to be something I'm not, and I'm usually round and never bitter. What am I?""
"
fork,"I am a tool that can be used to make sand. I can make many things like hammer, tee, and knuckle. What am I?","Three or four, I can stab through or rule the seas. You know my cousins. What am I?'
"
The sun.,"I am the sun, but I'm not a tree. I can be hot, yet I have no air. What am I?","The fuel for life, Important parts of the day, Even if it is a long time away. Long lasting use, Long lasting fuse, Until my explosive death day. What am I?""
"
A Bible-pressed flower.,I am a flower that is pressed in the middle of the earth. What am I?,"Close to the words of life stay I, But I wither, wane, and dry.What am I?'
"
compass,I am a word that is used to describe syllables. I can be used for resembling tyre. What am I?,"I have a magnet but I dont stick to metal. I have a needle but I cant sew. I sometimes have scales but I cant weigh anything. I help you find your way but I'm not a map. I have N E W S on me but I'm not a TVWhat am I?""
"
bird poop,I am a bird that is spelled out in teddy bear. What am I?,"In an instant I reach the ground after being in the air, and I like to land in peoples hair.  what am I ????'
"
Eve,I am a man who is able to see and see. I have sex but cannot speak. What am I?,"I am the only woman.of that there is no fear, who can claim to have been the most beautiful when I was alive, from the beginning of time until this year.  Who am I?'
"
photo frame,"I have a frame, but I'm not framed. I can be viewed, or manipulated. What am I?","I have lot of memories, but I own nothing. What am I?""
"
candle is what i be,"I am what you see, I'm what I do, but I can't be seen. What am I?","Tall I am young,  Short I am old.   With life I do glow,  Your breathe is my foe.   What am I?""
"
key,I am a key that is used to unlock if you have smashed me. What am I?,"No matter how hard you try, I can open what you can't. If it wasn't for me, on your front porch you would stand. What am I?""
"
sun,I am a color that is bright and yellow. I can be coloured or red. What am I?,"I am said to be strong and unbreakable yet gental and kind. I may be suppressed but not ignored. I can be lost but may be found. I can die yet still live on. What am I?'
"
gun,I am a weapon that can be used to kill people. What am I?,"Once you are in my sight, you are gone in a flash, and people tend to use me for cash. I am often used as a dire assist, and people often believe that I cause harm, when I am but its catalyst. What am I?'
"
thought,I am a thing that can be thought but not thought. What am I?,"Whoever makes me can hear me, but nobody else can.What am I?'
"
coals,"I am a type of coal, I can be made of wood, and I have ten legs. What am I?","I am black when you buy me, I am red when you use me, then am grey when you through me away What am I?'
"
water,I am a substance that is dissolved in water. I can be found in many places. What am I?,"When it rains, I never get any wetter.  What am I?'
"
house,"I am a place where people live. I have many rooms, but I can't be found. What am I?","My body is usually made of brick or wood and I come with a lot of windows and doors. Keep me nice and clean for visitors and I will keep you warm and cozy. You can sell me when your family grows. What am I?""
"
The letter V.,I am a letter that is spelled in the same way. I can be found in ten letters. What am I?,"I am the center of gravity, hold a capital situation in Vienna, and as I am foremost in every victory, am allowed by all to be invaluable. Though I am invisible, I am clearly seen in the midst of a river. I could name three who are in love with me and have three associates in vice. It is vain that you seek me for I have long been in heaven yet even now lie embalmed in the grave. What am I?'
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"My veins extend beneath the earth, My hands raised toward the sky, I can seem to live forever, Though many times I die.  I cry when I am wounded, Sweet tears that help me heal, I mourn and take off all my clothes, When bitterness I feel.  What am I?'
"
The past.,"I am the beginning of the day, and the end of day. What am I?","Half-way up the hill, I see thee at last. Lying beneath me with thy sounds and sights - A city in the twilight, dim and vast, With smoking roofs, soft bells, and gleaming lights. What is it?'
"
clock,I have a head but no eyes. I can be spelled but not tipped. What am I?,"Before a certain time, Students are always looking at me. After a certain time, They run away from my dwelling. What am I?'
"
China,I am a country that has many people. I have many countries. What am I?,"I'm smaller than your table and you but your kitchen is too small to compare to me. What am I?""
"
A see-saw,I am a piece of wood. I can be seen by many. What am I?,"What goes up, but at the same time goes down, up to the sky and down to the ground, my present tense and my past tense too, lets go for a ride just me and you...what am I?'
"
plate,I am a piece of paper. I have ten legs. What am I?,"It is always bought when you're hungry, but it doesn't get eaten. What am I?""
"
atlas,I am a word that is used in syllables. I can be found in many different colors. What am I?,"Many people own a copy of me. Without me the world would fall. What am I?'
"
cheat,"I am a word that is used to describe cheats. I can be used in sex, but I cannot be seen. What am I?","If something is ""chintzy"", what is it?'
"
bow,I am a bow that is shaped like sand. I can be thrown or tossed. What am I?,"I can be found on a present, the front of a boat, or after the rain. What am I?'
"
Current.,"I am a liquid that can be dissolved. I can cause rust, and I have no taste. What am I?","My first is a creature whose breeding is unclear. My second, a price you must pay. My whole can be found in the river of Time and refers to events of today. What am I?'
"
breath,"I am a thing that can be used to make screams. I can make you laugh, but I cannot make people laugh. What am I?","You can hold it without using your hands or your arms. What is it?'
"
black hole,I am a place where people can see me. I can be found in many places. What am I?,"I am dark, nobody can see me, I'm very far, nothing can escape me. What am I?""
"
envelope,"I am a letter that is spelled out in ten letters. I can be thrown in the mail, or tossed in an envelope. What am I?","I'm made of eight letters, But hold a ninth inside; Pay a very small fee, And send me for a ride. What am I?""
"
Barney Gumble,"I am a man who has sex, but I'm not he. I have ten legs but no legs. What am I?","I am Homers drunk buddy from the Simpsons, who am I?""
"
onion,I am a vegetable that is sliced and sown. I can be thrown away and eaten. What am I?,"I can be white brown or purple and I make people cry and I only Yates sweet when cooked  What am I?'
"
glass,I am a glass that is made of glass. I can be made from glass but I cannot be used. What am I?,"Though liquid in nature, don't push me too far, for then I will break, and the damage may scar. What am I?""
"
coin,I am a coin that is shaped like sand. I have ten legs and teeches. What am I?,"For me, much blood has been shed. I have two faces but only bear one head. What am I?'
"
The letter D. The first letter of the month.,I am the first letter of the month. I have a name of __ and i have no name. What am I?,"I am from the month of December. I am not a holiday. I am the only month that has this. What am I?'
"
Mercury,"I am a planet that is surrounded by ice. I have sand and mud, but I'm not able to breathe. What am I?","Versatile am I, with a 3 fold name.One is quicker than e-mail. One can tell you when you're feverish, with a talent for floating steel. And sometimes you can see the other one up above. Who am I?""
"
voice,I can be heard but cannot hear. I am not a word. What am I?,"Wind and cord combine, buzzing in the box. In all this we find, though to some the use is lost. What am I?'
"
A door!,I am a door that is open to the outside. I can be slammed and twisted. What am I?,"When you open me I make a sound. When you close me i make a thud. What am I?'
"
I am a snail.,"I am a snail, I'm solitary, and I can be found in the sea. What am I?","I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?""
"
mistake,"I am a word that is used to describe sloppy thinking. I can be used in retaliation, but I cannot be compared to tyranny. What am I?","Better catch me if you can.Before your paper changes hands. At the time one makes me, I make sense.But at some point afterwards, one repents. Perhaps unnoticed unless you zoom in.Without me you would not be human. What am I?'
"
rubber ducky,"I am a bird that is shaped like sand. I can be coloured like red, white, or even black. What am I?","I bring excitement to bathtime .each day and night. My voice is like no other .which causes much delight. The color of my skin is yellow. I am quite a lovely fellow. As the young one laughs and plays.My rubber body floats in the waves.  What am I?'
"
guillotine,"I am a word that is used in syllables. I can be used to make nutcrackers, but I'm not able to use tepid cries. What am I?","Hickory-Dickory-Dock!   The mouse ran up the clock.    The clock struck one   and down did come.    Hickory-Dickory-Dock!    What am I?""
"
A window.,"I am a thing that can be seen, but I can't see. What am I?","Almost everyone sees me without noticing me, For what is beyond is what he or she seeks. What am I?""
"
sliver,I am a sliver that is used to make food. What am I?,"Your go into the forest and get me you sit down to find me and our leave because you cant find me.  What am I?'
"
A sponge!,"I am a sponge, I'm shaped like sand, and I can be brushed. What am I?","I am full of holes but I can still hold water. What am I?""
"
mailbox,"I have a name, but I'm not able to speak. I can be found in stylists, and in mails. What am I?","They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way. What am I?""
"
