Words,DFSConcepts,GoldRiddle,GenRiddle
salad,"['food', 'a salad']","I consist mostly of lettuce, along with a variety of other veggies. Ranch is one of my popular dressings. What am I?","

I am a food that's cold and crisp,
A healthy choice, you can't dismiss.
With greens and veggies, I'm often tossed,
Sometimes with dressing, sometimes not.
I may be simple, I may be grand,
But one thing's for sure, I'll never go bland.
What am I? A salad, can't you see,
The perfect dish, as healthy as can be."
forgiveness,[],"It may only be given, not taken or bought what the sinner desires, but the saint does not what is it?","

I am not a physical thing you can hold, yet I am powerful to heal and mold. Some say I am difficult to attain, but with time and effort, I will remain. What am I? "
pencil,"['write something on paper', 'a pencil-case']","I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?","

I'm often found in a pencil-case,
My purpose is to write with grace.
I'm used to mark on paper's space,
Without me, words would be a chase."
echo,['Echo'],"Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth. What is it?","

I am here, but never seen
I am heard, though never spoken
I am like a mirror, but no reflection
I am the result of an echo's projection.
What am I?"
sheet music,[],My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?,"

I am a collection of notes, but I cannot sing
With black and white keys, my melody rings
I am bound by a cover, yet my spirit is free
What am I, that unlocks musical glee?"
reflection,"['mirror', 'a bedroom', 'see yourself', 'image']","If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?","

""I hang on walls in a cozy room
Reflecting what's in front, I assume
In my surface, you can see
A mirrored version, of yourself to be"""
inkpen,"['localités', 'paroisse civile']","I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?","

Ink runs through my veins,
Though I'm not alive,
In localités or paroisse civile,
My presence you'll likely find."
book,['learning'],Turn us on our backs and open up our stomachs You will be the wisest.   What am I?,"

I contain knowledge, Yet I am not a living being. I am filled with stories and facts, And help in your understanding. What am I?"
lock,"['a door', 'securing a door']","A dagger thrust at my own heart,  Dictates the way I'm swayed.   Left I stand, and right I yield,  To the twisting of the blade.   What am I?","

I am found on the door, 
But not a knock or a bell's roar. 
I keep things safe and secure, 
For which you'll need a key, that's for sure. 
What am I, standing firm like a rock? 
I am none other than a simple ____."
volcano,"['a volcano', 'a crater', 'lava', 'hot']",My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?,"

I am a mountain with a fiery core,
My lava flows, its heat I store.
My crater holds my secrets deep,
Erupting with a mighty leap.
What am I, this land so hot?
A natural wonder, not to be forgot."
Promise,[],"The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?","

I'm something made but never kept,
A word of honor, but oft regret.
I may bring hope, or deep despair,
But only time will show my truest snare.
What am I?"
parrot,"['bird', 'animal']",It sits on a pirates shoulder. And doesnt ever fly away. The funniest thing about it. Is that it repeats what you say. What is it?,"

I am a bird with feathers bright,
My colors a beautiful sight.
I may repeat what you've heard,
For I am known as the mimic, __________. (parrot)"
yarn,"['thread', 'tell', 'tell them', 'tell someone something']","I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?","

I am a thread that you can knit,
But also a story I can't omit.
When you need to tell them all,
Just use me and they'll hear your call. 
What am I?"
match,"['light a candle', 'lighting fire', 'light a fire']","Take one out and scratch my head, I am now black but once was red. What am I?","

I am used to light a candle,
But I can also start a fire,
With friction or a spark,
I am the one you require.
What am I?"
tomorrow,[],"What is it that no man ever yet did see, which never was, but always is to be?","

I am always coming, but never here.
I am close but far, and never clear.
Some wait for me anxiously,
Others ignore me consistently.
What am I, you ask with sorrow?
A clue: I am always ""next"" to today, but I am called... tomorrow!"
sieve,['strainer'],"A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?","

I may appear small and frail,
But I catch and hold things without fail.
Whether it's flour or rice,
I'll keep them nice.
What am I, a kitchen's best ally?
A strainer, also known as a sieve, oh my!"
recycling bin,[],"I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?","

I am a small container,
But play a big role,
I hold your waste,
And help the Earth's soul.
What am I?"
air,"['a gas', 'oxygen', 'an element']",I can bend steel I can not be seen I am everywhere Between you and me. What am I?,"

I am a gas, essential for life.
Without me, you would feel much strife.
An element, the third to be exact.
Without me, fire would cease to react.
What am I?"
mind,"['brain', 'a brain', 'thinking', 'ideas', 'not objects', 'Mind']","I'm a place where you keep a lot of things; and, in the process of forming a decision, you refer to me.  What am I?","

""I am the master controller, steering thoughts so divine,
I am the powerhouse of ideas, where all brilliance aligns,
Some say I hold the key to unlock the secrets of the brain,
But guess what my dear, for me it's just a simple game,
What am I, you may ask, so mystical and refined?
Just look within yourself, for I am your very own...mind."" "
battery,"['power a flashlight', 'power a radio', 'power a toy']","I can help you have some fun, Sometimes I get stronger from the sun. If you never give me a break, You will find I may never again wake. I am optimistic on one side, I can be short, fat, tall, or wide.  Rectangle, cylinder are just a couple of my shapes, And maybe I can even help you make some videotapes.  Sometimes you have to wait long for me to get ready, Just hold on for a few hours and be steady. I can help you get around to the market or mall, and even help you make a call. What am I?","

I am needed to power a flashlight,
Turn on a radio, or make a toy bright.
Without me, they would all be dim,
But I am small and fit right in.
What am I? Just a small thing,
But without me, they wouldn't sing."
wig,"['hair', ""someone's head"", 'warmth']","I am perfect with a head, perfect without a head; perfect with a tail, perfect without a tail; perfect with either, neither, or both what am i ??","

""I am worn on someone's head, 
To keep their hair together and in stead, 
Made of strands, but not like thread, 
In the winter, I'll keep you warm in bed. 
What am I, you must beg? 
Hint: I am not a hat, but a _____."""
weighty,"['heavy', 'weight', 'measurement', 'mass', 'cogent']",I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?,"

I can weigh you down and make you groan,
But in the gym, I'll help you grow and become known.
In pounds or kilograms, I'll show your mass,
Without me, your strength would be one big pass.
What am I? "
toothpick,"['clean between your teeth', 'stab an olive', 'remove food from between your teeth']","Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?","

I am long and thin,
Helping you clean within,
I'll remove food with ease,
And pluck an olive, if you please. 
What am I?
"
mouse,"['a hole in a wall', 'the garage', 'a laboratory']",I am hated by people.  People are scared of me.  I am hated by worms and I always have a worm following me.  But the worm is never eaten by birds and other predators.  I sometimes live in a house but I am seldom seen.  I am alive.  I can breathe.  And I can eat    What am I?,"

I can fit through a hole in a wall,
I often scurry through the garage stall,
But in a laboratory, I am the smallest of all,
What am I, can you recall?"
ice cream,[],"I scream, I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?","

I am sweet and cold, but not a drink
I come in many flavors, from vanilla to pink
Scooped into a cone or served in a dish
I'm everyone's favorite cool, creamy wish
What am I, synonymous with summer's gleam?
I am the delicious treat known as ice cream."
snowman,[],"I am a man,  I am not Male,   Nor Female.   I have eyes,  But cannot see,  I have a mouth,  But cannot talk.   I like cold Weather.    What am I?","

I'm made of snow, with a carrot nose,
A scarf, gloves, and a hat on my pose,
I'm not alive, but I do stand tall,
Everyone loves me when winter calls.
What am I?"
news,"['information', 'the Internet', 'the library', 'television', 'paper', 'writing', 'pen', 'an office', 'a pocket', 'sheet', 'covering bed']","Sometimes I`m good, sometimes I`m bad Sometimes you wait for me, sometimes you fear me Sometimes you see me, sometimes you hear me.  Sometimes you make me, sometimes you even spread me What am I?","

I deliver information without hesitation,
On the Internet, I am a quick sensation,
In the library, you can find me in print,
But on television, I am quite the hint.
What am I?"
spider,"['arachnid', 'spin webs']","A woman wraped from head to toe in black, kneeling beside here dead husband.  What am I ?","

I am an arachnid, with eight legs to stroll
In the corners of homes, I like to patrol
I may make you shriek if I happen to glide
Across your face with my web, my home, my pride"
x-ray,[],"You can't see me, but I can see you; To be more specific, I see through. What am I?","

I am invisible, yet I reveal all
Beneath the surface, I stand tall
Through bones and molecules, I see
Can you guess what I could be?"
well,['get water'],"Round as an apple, deep as a cup, and all the kings' horses can't fill it up. What is it?","

""I am a source of hydration, sought after by all
My depth holds secrets, but beware the fall
With buckets and pails, I can easily swell
Can you guess my name? With a bucket, you can get it quite well."""
clone,"['ringer', 'throw']","I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?","

I am a perfect duplicate,
A ringer for my original mate.
In a game, I can be thrown,
But beware, my powers are not known. 
What am I?"
shemale,"['쉬메일', 'شی\u200cمیل']","I am a girl, but I am a boy as well.  What am I?","

""I have a unique identity, a mix of East and West,
My name is a blend of two words, that's put to the test.
In Korean, I'm ""쉬메일"", in Persian, آنی مشهور,
But no matter what you call me, I'll make you want more."" "
owl,"['bird', 'animal', 'the air']","My first is in ocean but never in sea, my second's in wasp but never in bee.  My third is in glider and also in flight, my whole is a creature that comes out at night.   What am I?","
I am a bird, but I do not fly,
My eyes are big, and my feathers are dry.
I roam the night, and hoot at its fate,
Can you guess my name? It's not too late. "
tomorrow,[],"I am always will be coming, but I will never come. What Am I?","

It never comes today, but always arrives, 
A word that brings both hope and surprise, 
Just one day away, always in sight, 
What am I? A fleeting delight."
toenail,"['the toe', 'your toenail', 'nail', 'cause a puncture wound']","I can get hurt easly, if i do get hit i can fall off.  It will look gross, some people bite me but not me, what am i????","

I am part of the toe, but not quite the same
I protect your toenail, and keep it in place
I'm similar to a nail, just smaller in frame
But take care, I can cause a puncture wound with grace. 

What am I? "
February,[],We are a family of 12 members. I am the second. I am also the youngest in our family. Who am I?,"

I am the shortest month of the year, but hold a special day that's dear. What am I?"
Olympic Games,[],"I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?","

I am a sporting event, all nations compete
Medals are awarded, for feats most elite
Every four years, I make a grand debut
Athletes train hard, to be part of my crew
What am I? Just fill in the blanks
I am the one and only, _____ _______. "
infinity,[],"What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?","

I may not have a beginning or end,
But I stretch on forever, my friend.
Eternity is my close kin,
What am I? The answer is within."
clock,['time'],"I have two hands, but I can not scratch myself. What am I?","

I have no hands, yet I can tell you the time,
Tick-tocking away with a steady chime.
With numbers in place, and a face so round,
I'll always keep track, with just a single sound.
What am I?"
penguin,[],I'm usually black and white but I'm not a newspaper. I have wings but I'm not an airplane. I lay eggs but I'm not a chicken. I eat fish but I'm not a whale. I appeared in the movie Madagascar but I'm not a zebra. Who am I?,"

I waddle on ice, black and white I come,
With flippers for wings, I am quite the sum.
Though flight is not in my skill set,
I still manage to be the cutest pet.
What am I? "
slenderman,[],"I am watching you, but you're not watching me I kill little children in their rest, but they don't notice it My face is nothing, but you can see it Who am I?","Sure, here is a short riddle for the word ""slenderman"":

""I am tall and thin, with arms to spare,
My face is blank, my presence bare.
In the shadows I lurk, avoiding light,
A creature of fear, with eyes so white.
What am I, a figure of lore,
Whose legend haunts forever more?"""
earth,"['planet', 'a planet', 'spherical']",I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?,"

I am a planet, round and true,
My inhabitants of every hue.
A globe of wonder, life and birth,
You call me simply ""Mother _______""."
chair,"['the office', 'sitting']","I have four legs, a back, but no head. What am I?","

I'm found in the office, but not on the floor,
I have four legs, but I'm not a table, that's for sure.
I'm built for sitting, with a seat and a back,
But try to stand on me, and it could be quite a knack. 
What am I? A chair, it's plain to see,
The perfect spot for sitting, for both you and me."
nut,[],"A little house full of meat, no door to go in and eat.What am I?","

I am small and round, full of protein and crunch,
My inside is hidden behind a tough front,
I can be cracked and eaten or blended into butter,
In desserts and snacks, I'm quite the stunner. "
wine,"['alcohol', 'cloud your judgement', 'Drinking', 'a beverage']","Round I start, yet no shape have I.   Allow me to breathe, and my life will die.   The older I grow, the more sought after I become.   You will feel much better when I am done.   What am I?","

I am a beverage that can cloud your judgement,
Be careful when drinking, for I am not a mere fad,
Made from fermented grapes, I am not for the prudish,
I am the perfect blend, and my name is quite rad. "
comet,[],"I have 3 tails and you could fit 60 erths inside me,who am I?","

I move through the sky, shining bright
A tail of dust follows in my flight
Some say I bring luck, others fear my fate
I am a celestial wanderer, known as a __?__"
tissue,[],A thing to help  A thing to use  When it is cold  I am absorbent  I help all  When things are running i am the one to call  What am I,"

I am soft and thin, yet I can hold tears and sin. What am I? "
paint,"['liquid', 'color', 'red', 'wall', 'a wall']",You often use it with a brush. But not the kind used on your hair. Add it nicely to some canvas. So that people will stop and stare. What am I?,"

I am a liquid with color so bright,
On a wall, I make a beautiful sight,
With shades of red, I add a hint,
Of life and beauty, I am a __________."
woman,['female'],"I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?","

I am the one that brings life,
With curves and grace, I am rife.
Strong and fierce, yet gentle and kind,
A symbol of strength, in heart and mind.
What am I, with a heart so true?
I am a ______, the epitome of you."
smoke,"['fire', 'burn things', 'cigarette', 'smoking', 'lung cancer', 'cancer', 'a disease', 'bad for your health', 'light the cigarette']",What is it that makes tears without sorrow and takes its journey to heaven? what am i ??,"

I come from fire, but I don't burn
I can make you feel calm or churn
Some use me to light up a cig
But don't let my effects make you sick
What am I? The answer is smoke."
police car,[],I am black and white and full of fuzz. What am I?,"

I go fast on the street,
But not with shoes on my feet.
With sirens that blare,
I protect and I care.
What am I, this four-wheeled star? 
I'm a vehicle known as a _____________."
fingers,[],"I have four of these,   With matching extremities.    They can do many things,   And hardly ever bring me pain.    Unless I stick them with a pin,   Or burn them sometimes when. . .    What is it that I can wiggle at will?   And use in other means still?","

""I am found on hands, five or more. 
Without me, tasks would be a chore. 
Twirl me, snap me, use me for grip. 
What am I? Take a guess, don't skip."""
fetch,[],I am a activity dogs are very good at when a ball is thrown. What am I?,"

I am a common task for a dog to do
I am also a term meaning ""go get it too""
I involve chasing and bringing back in a stretch
What am I? Just a simple game of ________."
butterfly,['an insect'],I am a type of insect. But one that is beautiful. I look just like a large moth. But one that is colorful. What am I?,"
I flutter through the sky,
With colorful wings that catch your eye.
I start as a caterpillar so small,
But in time, I transform and stand tall.
What am I, this flying creature?
A symbol of change, a beautiful feature."
bottle cap,[],"My first, a place where liquid stays.My second shields your eyes from rays.A thread leads my whole's spiral ways. What am I?","

Round and shiny, yet not quite a coin
Used for sealing drinks, but often later join
Found on the ground or maybe in a recycle bin
What am I? A small and common...
bottle cap."
splinter,[],I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it.What is it?,"

I am small and sharp, but cause big pains
I can be found in wood, but not in grains
I may be removed with tweezers, or by a doctor's finger
What am I? A pesky little _________."
counterfeit,[],"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?","

I may look real, but I'm just a knock-off,
A fraud, a fake, a clever counterfeit.
To fool and deceive, that's my only trick,
Think twice before accepting my counterfeit lick."
phoenix,"['føniks', 'Phoenix']","I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?","

In Greek myth, she rises from the ashes
A symbol of rebirth, she never crashes
With wings of fire and feathers arrayed
This mythical bird cannot be dismayed

What creature is known as the Føniks and Phoenix
Through death and rebirth, forever it fixes?"
Peanut,[],"My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?","

I am a humble legume, small but mighty,
Crunchy and tasty, a favorite delighty,
Covered in a shell, round and brown,
Can you guess my name? It's a nutty noun. "
watch,"['time', 'wrist', 'clock']","I went to the city, I stopped there, I never went there, and I came back again. What is it?","

I am always on your wrist,
But I don't have a twist,
I measure time without a hitch,
And can often make things amiss."
nose,"['face', 'your face']","No matter how smart you are, there is one thing you will always overlook. What is it?","

I am a part of your face, but not your mouth or your chin
I help you smell the world around you, without even trying to win
I'm located right in the center, between your cheeks and your toes
Can you guess what I am? I am your precious nose."
shower cap,[],"My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?","
Round and round, it goes on your head
To keep your locks dry and stylishly spread
What is this object that helps you feel clean and neat
With a rubbery texture and a shape that's hard to beat?
"
war,['a war'],"A harvest sown and reaped on the same day In an unplowed field, Which increases without growing, Remains whole though it is eaten Within and without, Is useless and yet The staple of nations. What is it?","

I am a dangerous battle,
Where soldiers give no pause.
It's fought for land and power,
But peace is always the cause.

What am I?"
snowman,[],"I am a cold man without a soul. If there is warmth in me, it slowly will kill me.  What am I?","

I am made of frozen flakes,  
Built to stand and not break.  
With a carrot nose and coal for eyes,  
A scarf and hat make me look wise.  
What am I? A _____!"
clock,['time'],"I can be a square, I can be a circle. I can be on any kind of decoration piece you want. I can sound like a wind chime or a bird.  I can glow in the dark.  I can be carried around in your pocket or sit on your dashboard. I can talk or not talk, use my hands or not use my hands. Either way I get my message across. What am I?","

I am a tool that counts the hours,
But I don't have any superpowers.
I am round with numbers and hands,
But don't have eyes or feet to stand.
I never stop, I never break,
But without me, time would be at stake.
What am I?"
bell,"['ringing', 'betrothal', 'church']","I can speak with my hard metal tongue. But I cannot breathe, for I have no lung. What am I?","

I am heard before a vow,
In a place of worship, I'll chime now,
A symbol of love, a sign of fate,
Listen closely to hear my fate."
dog,"['bark', 'tree', 'guard your house', 'pet', 'be a pet']","Forward I am an animal, but backward I am one who no man can ever see. What am I?","

I can bark, guard your house, and be your pet,
But I'm also known to chase a squirrel up a tree, you bet. 
What am I, this faithful and loyal companion? 
If you guessed a __________, you've solved this riddle, handsome!"
soda,"['a soda', 'a drink']","Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes. What am I?","

I am bubbly and sweet, 
A favorite summer treat. 
Quenching thirst with just one sip, 
A fizzy drink, can you guess what I sip?"
Apple,[],"I__ red, but I can be green. At times, I might even be yellow. What am I?","

I am a fruit, sweet and round
But eat my core, and you may frown
Red or green, my colors vary
My name is short, just five letters, marry!
What am I?"
fart,"['eat beans', 'clear the room', 'release gas']","Sometimes I am born in silence, Other times, no. I am unseen, But I make my presence known. In time, I fade without a trace. I harm no one, but I am unpopular with all. What am I?","

What causes a commotion and a room to clear,
After you eat beans, it will soon appear,
With a sound and a smell, it's hard to ignore,
Can you guess the word? It's a fart, give it a roar."
rope,"['a boat', 'trip a person', 'a backpack']",I am a piece of equipment that has hundreds of uses; I can even be used to save a life! I am not a medicine and I am non-electric. I come in all shapes and sizes. It doesn't require much specialist training to be used. What am I?,"

I am used to tie a boat down,
But on a trip, I come with my own crown.
I am found in a backpack too,
What am I? Can you guess, whoooo?
"
gravity,"['force', 'a property of matter']",I am what bring things together. Without me everything you see would be a total mass or debris everywhere. What am I?,"

I am a force, a property of matter,
Without me, things would scatter,
I keep us grounded, never to stray,
What am I? You use me every day."
Gold,[],"I drive men mad  For love of me,  Easily beaten,  Never free.What Am I?","

I'm shiny and bright, worth a treasure untold,
Some say I'm heavy, others say I'm cold,
I'm sought after by many, but hard to hold,
What am I? A precious metal, the very essence of _______."
envelope,"['mailing a letter', 'an envelope']","I'm made of eight letters,But hold a ninth inside;Pay a very small fee,And send me for a ride.What am I?","

You seal it up, then drop it off
To ensure your message takes off
Without it, your letter can't fly
What am I? An envelope, oh my!"
tree,[],"I grow up super tall. When I die, I give a mighty fall. What am I?","

I have a trunk but no arms or legs, 
I grow tall without making any begs. 
My leaves are green and sway in the breeze, 
But beware of my bark, it's not a tease. 
What am I? "
nose,"['face', 'your face']",What is it that smells most in a perfume shop?,"

I am a part of your face,
But not your eyes, mouth, or chin.
I help you breathe in every space,
And without me, your face would thin.
What am I?"
justice,[],"I cut through evil   like a double edged sword,   And chaos flees at my approach.    Balance I single-handedly upraise,   Through battles fought with heart and mind,   Instead of with my gaze.     What am I?","

I am a concept, not quite a noun 
I am sought after, but rarely found 
Righting wrongs, I am the key 
Without me, the world would be in disarray 
What am I? The answer is not miss 
For I am the great and mighty Justice."
daughter,"['female', 'girl', 'child', 'a school']","A father's child, a mother's child, yet no one's son. Who am I?","

I am a female, yet not a mother
I am a girl, but not a sister or a brother
I am a child, yet not a son
I am often found in a school, until my education is done
My identity is clear, I am someone's ___________"
corner,['the corner'],Send poorly behaved children to me and let them sit here what am i ??,"

What shape has four sides, but never meets?
It's where two edges come together, making retreats.
A nook, a turn, a hidden spot.
What am I? I am the ________."
human ear,[],"My timpani play a rhythmic song, With hammer on anvil I play along. Down my canal no ship sets course, And I have a stirrup that fits no horse.  What am I?","

I am always listening, day and night,
But I never have a mouth to take a bite.
I come in pairs, made of flesh and bone,
And without me, you'd feel quite alone.
What am I?"
waterfall,['a waterfall'],"This old one runs forever, but never moves at all. He has not lungs nor throat, but still a mighty roaring call. What is it?","

I'm a cascade of beauty, tumbling with grace,
With water so clear, you can see your own face.
From rocks up high, I endlessly fall,
Splashing and glistening, I'm loved by all.
A natural wonder, forever I'll flow,
Hint: I'm named after where I go. 
What am I?"
human life,[],"I am everywhere you look, no matter time of day.  You   can see me in the people's faces as they walk away.  I've been around forever, I am not about to leave.  Many have fought to save me, because it's what they believe.  I have been at every war, since the first I can remember.  And suprisingly enough, in those days I was lost every december.  What am I?","

I am a journey that we all take,
Full of joy, sorrow, and mistakes,
Infinite yet fleeting, fragile yet strong,
Without me, you wouldn't be here for long.
What am I?"
crane,[],"It has a long neck, A name of a bird, Feeds on cargo of ships, It's not alive, What is it?","

I have a long neck and slender legs 
But I don't walk, I fly instead 
My bill is curved, my song is not sane 
Can you guess my name? I am a ____."
wig,"['hair', ""someone's head"", 'warmth']",you wear to keep your head warm but its not a hat you wear it if you lost it what am i?,"

I sit upon someone's head, providing warmth and style
But I can be removed, and placed in a pile
Made of hair, yet not attached to skin
What am I? A wig, it's within."
ladder,"['the garage', 'reach the roof', 'a ladder']","Two bodies with ribs, exposed. What am I?","

In the garage I'll reside,
To help you reach the roof with pride.
Just climb me like a regular rafter,
For I am the trusty garage ladder!"
nails,"['a store', 'a cabinet', 'a container']","I can hold things together, And you have 20 of me, or so I hope. What am I?","

I am found in a store, 
But I'm not a dress or lace. 
I may also be in a cabinet, 
But I'm not a plate or vase. 

I am neither a container, 
But I hold something precious you see. 
What am I, you ask? 
Well, a set of me could fix a broken ""D."" 

What am I? "
space,[],"I am black as night,  But filled with light.   I can be seen,  Even through a screen.   I hold many secrets,  Waiting for them to be discovered.   What am I?","

I am vast and boundless, yet have no size or shape,
Without me, the stars would be impossible to escape,
I hold the secrets of the universe within my embrace,
What am I? This elusive and mysterious place?"
satisfaction,[],"All have tried to catch me, none have kept me! What am I?","

I am a feeling that brings delight,
When everything feels just right.
You can't touch me, but you know I'm there,
When life's troubles seem to wear and tear. 
What am I?"
pencil,"['write something on paper', 'a pencil-case']",Its sometimes sharp. And good at being lead. Using this will help. Things to be read. What is it?,"

I have an eraser, lead, and wood,
Together we make words look good.
In my case I am kept safe,
But without me, words would be in a bad state. 
What am I?"
sand,"['beach', 'grains']","I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?","
I am found at the beach, a staple on the shore,
Grains of me, countless, with each ebb and flow galore.
I make for a perfect day in the sun,
But beware, take me home, and you'll have a mess on the run. 
What am I?"
spider,"['arachnid', 'spin webs']",With no hammer or any kind of tool I build my house so quickly. What am I?,"

A tiny creature, with eight legs
A master weaver, who never begs
Weaves a web, oh so fine
Catching prey, no need to dine
What am I, you may inquire
An arachnid, spinning webs with fire."
Shoes,[],I run through the field all day with my tounge hanging out.  At night I sleep not alone.  What am I?,"

I come in pairs and have a sole
Protecting feet is my main role
I come in different colors and styles
And they're worn by adults and children, alike
What am I? "
Pencil lead,[],"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?","

I am a writing tool, so smooth and sleek
My mark on paper, you cannot critique
Thin and grey, yet I hold such might
What am I, in the center of your pencil's bite? "
peanut,[],I'm a seed that's underground.    Many like to spread me around.    But my family it's said is quite insane.    And if you've a low I. Q.  you've this kind of brain.    Eat me raw and I'll make you sick.    Eat too much and your tongue will stick.     What am I?,"

I am small and brown,
A favorite snack around town.
Some call me a nut,
But I grow in a pod, not in the cut. 
What am I? "
blood,"['red', 'be coursing through your veins', 'fluid', 'a fluid']","I am the water of life, but seeing too much of me is never good. I am what binds families together, but I can be defied. What am I?","

""I am crimson and run deep,
Coursing through you as you sleep.
Neither solid nor gas, but in between,
A life-giving fluid, can you guess what I mean?"" "
memory,"['brain', 'a brain']","I can bring tears to your eyes; resurrect the dead, make you smile, and reverse time.   I form in an instant but I last a lifetime.  What am I?","

I hold secrets and stories galore,
Stored in the depths of a brain's core.
Reminiscing moments, both happy and sad,
I'm the keeper of a brain's memory pad."
Water,[],"Three lives have I. Gentle enough to soothe the skin, Light enough to caress the sky, Hard enough to crack rocks. What am I?","

I am life-giving, yet also a force to be feared.
Without me, no creatures or crops would appear.
I come in rain and oceans, rivers and streams.
What am I? The source of all living dreams."
