Word,PQConcepts,GenRiddle,mFlag,GoldRiddle
salad,"['a salad', 'dish', 'food', 'prepared', 'embattled', 'armed', 'battlemented', 'battlements', 'battlement']","What do you toss, mix, and enjoy as a side dish or main course, filled with various vegetables and often accompanied by dressing?"," do you toss, mix, and pass as a side dish or main course, filled with various vegetables and often accompanied by dressing?","I consist mostly of lettuce, along with a variety of other veggies. Ranch is one of my popular dressings. What am I?"
forgiveness,[],"I am a gift freely given,
Yet can be hard to receive.
I release anger and bitterness,
And bring healing and peace. 
What am I?"," am a gift freely given,Yet can be hard to keep.","It may only be given, not taken or bought what the sinner desires, but the saint does not what is it?"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","I am a handy tool for writing,
Slim and straight, always inviting.
I have a point but no lead,
With me, your thoughts are easily spread.
What am I?"," am a handy tool for writing,Slim and straight, always on point,With me, your thoughts are easily spread.What am I?","I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?"
echo,"['Echo', 'reflection']","I am the sound of repetition,
Bouncing off walls with precision,
I mimic what I hear just so,
What am I called, do you know?"," is the sound of repetition,Bouncing off walls with precision,I mimic what I hear just so,What is I called, you ask?","Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth. What is it?"
sheet music,[],"I am filled with notes, 
But I cannot be played. 
I guide musicians, 
In a musical parade. 
What am I?"," am filled with notes, but I cannot be played. I guide musicians, like a conductor.",My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?
reflection,"['image', 'mirror']","I am seen but never touched,
I show the world in reverse,
I am found in mirrors and water,
What am I?"," am seen but never touched,I see the world in reverse,I am found in mirrors and water,What am I?","If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?"
inkpen,"['Inkpen', 'localités', 'paroisse civile']","I am used to write, but not with lead,
I am held in hand, not in a head,
I flow with ink, not blood red,
What am I? Use me to write, it's been said."," am used to write, but not with lead,I am held in hand, not in a head,I flow with ink, not blood red,What am I? use me to cut the mustard, it's been said.","I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?"
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']","Sure! Here's the riddle:

I am full of stories, yet I never speak
I am a friend to the curious, but never weak
I hold wisdom and knowledge, page after page
What am I? Just turn me to find out, it's a book!","! Here's the rub:I am full of stories, yet I never speakI am a friend to the curious, but never weakI hold wisdom and knowledge, page after pageWhat am I? Just turn me to find out, it's a book!",Turn us on our backs and open up our stomachs You will be the wisest.   What am I?
lock,"['a door', 'mechanism', 'help']","I am a barrier, yet I hold the key,
I secure your possessions and set them free,
What is my name, a simple block,
I am the guardian, the humble _____."," am a barrier, yet I hold the key,I secure your possessions and set them free,What is my name, a black sheep,I am the guardian, the humble _____.","A dagger thrust at my own heart,  Dictates the way I'm swayed.   Left I stand, and right I yield,  To the twisting of the blade.   What am I?"
volcano,"['a crater', 'a volcano', 'lava', 'hot']","I am a mountain with a fiery heart,
Erupting with ash, lava, and a fiery art,
I tower over the land, a force to behold,
What am I, a natural wonder to unfold?"," am a mountain with a fiery heart,Erupting with ash, lava, and a fiery art,I tower over the land, a force to behold,What am I, a natural wonder to behold?",My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?
Promise,[],"I never speak, yet I bind. 
Once broken, always on your mind. 
What am I?"," never speak, yet I bind. Once broken, never mend. What am I?","The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?"
parrot,"['bird', 'papagei']","I am brightly colored and a talkative fellow,
Often found in the tropics where the air is mellow.
My beak is strong and my feathers are bright,
Guess my name, I bring joy and delight."," am brightly colored and a talkative fellow,Often found in the tropics where the air is warm and fuzzy.",It sits on a pirates shoulder. And doesnt ever fly away. The funniest thing about it. Is that it repeats what you say. What is it?
yarn,['narration'],"Sure, here's a riddle:

I twist and turn, yet have no end,
I weave and loop, but never bend.
Soft and colorful, I can be found,
In sweaters, scarves, and all around.
What am I?",", here's a riddle:I twist and turn, yet have no end,I turn and round, but never bend.What am I?Soft and colorful, I can be found,In sweaters, scarves, and all around.","I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?"
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']","I am small and often red
I can start a fire or be used to play
I can be found in a box or on a stick
What am I?", am small and often redI can light a fire or be used to playI can be found in a box or on a stickWhat am I?,"Take one out and scratch my head, I am now black but once was red. What am I?"
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']",I cannot complete this task as the riddle is incomplete. Could you please provide more information or context?, cannot complete this task as the riddle is open ended. could you please provide more information or context?,"What is it that no man ever yet did see, which never was, but always is to be?"
sieve,"['analyze', 'analyser', 'analyse']","Sure, here's a riddle for the word ""sieve"":

I am a tool for separating
Particles from liquid, I am creating
I have many holes, but I'm not a colander
What am I? Think harder!",", here's a riddle for the word ""sieve"":I am a tool for separatingParticles from liquid, I am a comb, but I'm not a colanderWhat am I? think harder!","A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?"
recycling bin,[],"I am a receptacle for the used and worn,
Where old items are reborn,
I help to reduce waste and save the earth,
In me, you'll find a second birth. 
What am I?"," am a recycle bin,Where old items are reborn,I help to reduce waste and save the earth,In me, you'll find a second birth. What am I?","I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?"
air,"['a gas', 'atmosphere', 'an atmosphere']","I am essential for life, but you cannot hold me in your hand. I am all around you, yet invisible to the eye. What am I?"," am essential for life, but you cannot hold me in your hand. I am all around you, yet hard to see. What am I?",I can bend steel I can not be seen I am everywhere Between you and me. What am I?
mind,"['Mind', 'brain', 'thinking']","I am what helps you think, reason, and dream,
Where memories linger and ideas gleam,
I hold the power to perceive and understand,
What am I? I am the key to the land."," am what helps you think, reason, and dream,Where memories linger and ideas sparkle,I hold the power to perceive and understand,What am I?","I'm a place where you keep a lot of things; and, in the process of forming a decision, you refer to me.  What am I?"
battery,"['A battery', 'power a flashlight', 'power a radio']","I give energy to your devices,
But I'm not a power source,
I store power for later use,
What am I, the answer, of course!"," give energy to your devices, but I'm not a power source,I store power in reserve,What am I, the answer, of course!","I can help you have some fun, Sometimes I get stronger from the sun. If you never give me a break, You will find I may never again wake. I am optimistic on one side, I can be short, fat, tall, or wide.  Rectangle, cylinder are just a couple of my shapes, And maybe I can even help you make some videotapes.  Sometimes you have to wait long for me to get ready, Just hold on for a few hours and be steady. I can help you get around to the market or mall, and even help you make a call. What am I?"
wig,"['hair', 'hairpiece', 'attire']","Sure, here's a riddle for the word ""wig"":

I cover your head, but I'm not real hair.
I can change your look, without any despair.
Sometimes I'm long, sometimes I'm short,
But without me, your head might feel bare.
What am I?",", here's a riddle for the word ""wig"":I cover your head, but I'm not real hair.","I am perfect with a head, perfect without a head; perfect with a tail, perfect without a tail; perfect with either, neither, or both what am i ??"
weighty,"['cogent', 'cohérent', 'forcefully']","Sure, here's a riddle for the word ""weighty"":

I carry a heavy burden,
But I cannot be seen,
Though I may hold you down,
You cannot hold me in between. 
What am I?",", here's a riddle for the word ""weighty:I carry a heavy burden,But I cannot be seen,Though I may hold you down,You cannot hold me in between.",I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']","I am small and often pointed,
Used to remove food that's anointed.
In a box or holder I sit,
What am I? A little __________."," am small and often pointed,Used to remove food that's runny.In a box or holder I sit,What am I? A little __________.","Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?"
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']","I am small and swift, with a clicking noise that's swift,
I navigate the digital domain, with a scroll and a swipe, I rule the terrain.
What am I, this gadget so fine? 
I'm a friend to your hand, a computer's little divine.
What am I, this small, furry creature,
Who scurries and nibbles, a house's little feature?","What am I, this small, furry creature,Who scurries and nibbles, a house's pet?",I am hated by people.  People are scared of me.  I am hated by worms and I always have a worm following me.  But the worm is never eaten by birds and other predators.  I sometimes live in a house but I am seldom seen.  I am alive.  I can breathe.  And I can eat    What am I?
ice cream,[],"I'm a sweet treat that's cold and creamy,
Scooped into a cone, I make life dreamy.
I come in flavors, from vanilla to mint,
A perfect treat for when you need a hint.","'m a sweet treat that's cold and creamy,Scooped into a cone, I make life sweet.I come in flavors, from vanilla to mint,A perfect treat for when you need a buzz.","I scream, I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?"
snowman,['figure'],"Sure, here's a riddle for the word ""snowman"":

I'm made of snow but I'm not a drift,
I have arms and a smile, but no body or gift,
I'm built when it's cold and there's frost in the air,
What am I? A friend of winter, a snowman fair.",", here's a riddle for the word ""snowman"":I'm made of snow but I'm not a drift,I have arms and a smile, but no body or gift,I'm built when it's hot and there's frost in the air,What am I?","I am a man,  I am not Male,   Nor Female.   I have eyes,  But cannot see,  I have a mouth,  But cannot talk.   I like cold Weather.    What am I?"
news,"['current', 'current events', 'daily']","What starts with a 'n', ends with a 's', and brings you the latest updates?"," starts with 'n', ends with 's', and brings you up to date?","Sometimes I`m good, sometimes I`m bad Sometimes you wait for me, sometimes you fear me Sometimes you see me, sometimes you hear me.  Sometimes you make me, sometimes you even spread me What am I?"
spider,"['a web', 'arachnid']","I'm an arachnid with eight legs,
I spin webs to catch my prey,
Some fear me for my venomous bite,
But I'm just a small creature that hides from light. 
What am I?","'m an arachnid with eight legs,I spin webs to catch my prey,Some fear me for my venomous bite,But I'm just a spider in the night. What am I?","A woman wraped from head to toe in black, kneeling beside here dead husband.  What am I ?"
x-ray,[],"I can see through skin and bone,
Revealing what's beneath alone.
I pass through without a sound,
A helpful tool when healing's found.
What am I?"," can see through skin and bone,Revealing what's beneath alone.I pass through like a whisper,A helpful tool when healing's found.","You can't see me, but I can see you; To be more specific, I see through. What am I?"
well,"['fit', 'get water', 'studenac']","I am a source of water, deep and clear,
Used for drinking, washing, and maybe a wish near,
A hole in the ground, with walls of stone,
What am I, that's old but still well-known?"," am a source of water, deep and clear,Used for drinking, washing, and maybe a wish come true,A hole in the ground, with walls of stone,What am I, that's old but still well-known?","Round as an apple, deep as a cup, and all the kings' horses can't fill it up. What is it?"
clone,"['a lab', 'copy', 'knockoff']","I am a duplicate, but not quite the same,
I am created from one, with a scientific aim,
I may look like the original, but have a different tone,
What am I? A scientific masterpiece, I am a ______."," am a duplicate, but not quite the same,I am made of one, with a scientific aim,I may look like the original, but have a different tone,What am I? A scientific masterpiece, I am a ______.","I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?"
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","I'm sorry, but I cannot create a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals. I can create a riddle for a different word or concept if you'd like.","'m sorry, but I cannot crack the code for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals. I can create a riddle for a different word or concept if you'd like.","I am a girl, but I am a boy as well.  What am I?"
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']","I am a nocturnal bird with keen eyesight
My head can turn almost all the way around
I hunt at night and make a ""hoo"" sound
What am I? I'll keep you up at night
With my wise and watchful gaze."," am a nocturnal bird with keen eyesightMy head can turn almost all the way aroundI hunt at night and give a ""hoo"" soundWhat am I? I'll keep you up at nightWith my wise and watchful gaze.","My first is in ocean but never in sea, my second's in wasp but never in bee.  My third is in glider and also in flight, my whole is a creature that comes out at night.   What am I?"
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","I am always coming, never here today,
A mystery to solve, but never delay."," am always coming, never here today, a riddle to solve, but never delay.","I am always will be coming, but I will never come. What Am I?"
toenail,"['Toenail', 'nail', 'cause a puncture wound']","I can be found on the tip of your toe,
I come in all shapes, big and small, you know.
I can be cut, painted, and even filed,
Yet without me, your toe might feel exiled.
What am I?"," can be found right on the tip of your toe,I come in all shapes, big and small, you know.I can be cut, painted, and even filed,Yet without me, your toe might feel exiled.What am I?","I can get hurt easly, if i do get hit i can fall off.  It will look gross, some people bite me but not me, what am i????"
February,[],"I am the shortest month of the year,
With fewer days, Year in and year out,
Often chilly, but filled with love,
Valentine's Day, time to shout. 
What am I?"," am the shortest month of the year,With fewer days, Year in and year out,Often chilly, but filled with love,Valentine's Day, come on.",We are a family of 12 members. I am the second. I am also the youngest in our family. Who am I?
Olympic Games,[],"I bring together the world's best,
In competition, we put them to the test.
Every four years, I take the stage,
Where athletes compete in a global rage.
What am I?"," bring together the world's best,In competition, we put them to the test.Every four years, I take the stage,Where athletes battle it out in a global rage.","I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?"
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']","I am boundless and endless,
No beginning, no end,
The concept of 'forever,'
This word I represent."," is boundless and endless,No beginning, no end,The concept of 'forever,'is the word I use.","What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","I have hands but no arms, a face but no eyes, and I tick but don't talk. What am I?"," have hands but no arms, a face but no eyes, and I tick but don't talk.","I have two hands, but I can not scratch myself. What am I?"
penguin,"['manchot', 'penguen', 'pingouin']","Sure! Here's a riddle for the word ""penguin"":

I waddle on ice and swim in the sea
With a black and white coat, you may see me
I can't fly, but I'm graceful as can be
What am I? A bird that starts with 'p' and ends with 'guin.'","! Here's a riddle for the word ""penguin"":I waddle on ice and swim in the seaWith a black and white coat, you may see meI can't fly, but I'm as graceful as can beWhat am I?",I'm usually black and white but I'm not a newspaper. I have wings but I'm not an airplane. I lay eggs but I'm not a chicken. I eat fish but I'm not a whale. I appeared in the movie Madagascar but I'm not a zebra. Who am I?
slenderman,[],"I am tall and slim,
A figure that's dim,
In the woods, I'll appear,
Bringing with me fear,
What am I, have you heard?
The name of the terror, Slenderman word."," am tall and slim,A figure that's dim,In the woods, I'll creep,Bringing with me fear,What am I, have you heard?The name of the terror, Slenderman word.","I am watching you, but you're not watching me I kill little children in their rest, but they don't notice it My face is nothing, but you can see it Who am I?"
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']","I am the planet upon which you dwell,
My name is simple, just take a spell.
With the sound of ""Ea"" at the start,
What am I, a world so vast and smart?"," am the planet upon which you dwell,My name is easy to come up with, just take a spell.",I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?
chair,"['a chair', 'a cubicle', 'a desk', 'four']","What has legs but cannot walk, holds people but cannot speak, and belongs in an office or a living room?"," has legs but cannot walk, holds people but cannot speak, and lives in an office or a living room?","I have four legs, a back, but no head. What am I?"
nut,"['Nut', 'orah']","I am small and round, but not a seed
Crack me open, I’m what you need
Some say I’m a fruit, others a snack
I add crunch and flavor, that’s a fact
What am I? A little thing
Just a simple nut, ready to bring."," am small and round, but not a seedCrack me open, I’m what you needSome say I am a fruit, others a snackI add crunch and flavor, that is a factWhat am I? A piece of cake.","A little house full of meat, no door to go in and eat.What am I?"
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']","I am a drink that brings cheer,
But don't consume me if you need to drive, my dear.
I'm best enjoyed with friends and fine cuisine,
And can be found in a bottle with a cork or a screw, what am I?"," am a drink that lifts spirits, but don't consume me if you need to drive, my dear.I'm best enjoyed with friends and fine cuisine,And can be found in a bottle with a cork or a screw, what am I?","Round I start, yet no shape have I.   Allow me to breathe, and my life will die.   The older I grow, the more sought after I become.   You will feel much better when I am done.   What am I?"
comet,['astronomy'],"I soar through the night sky,
Leaving behind a luminous trail,
Puzzling astronomers with my tail,
What am I, a celestial phenomenon, traveling at a dazzling speed?"," soar through the night sky,Leaving behind a luminous trail,Puzzling astronomers with my tail,What am I, a celestial phenomenon, flying at breakneck speed?","I have 3 tails and you could fit 60 erths inside me,who am I?"
tissue,[],"I am soft and delicate,
Used for wiping tears or a runny nose,
Sometimes I come in a box,
And I'm often found in a doctor's office. 
What am I?"," am soft and delicate, used for wiping tears or a runny nose,Sometimes I come in a box,and I'm often found in the doctor's office. What am I?",A thing to help  A thing to use  When it is cold  I am absorbent  I help all  When things are running i am the one to call  What am I
paint,"['art', 'Art', 'an art', 'creative', 'be creative']","I can cover a canvas, but I'm not a brush
I can add color, but I'm not a crayon
I can be acrylic or watercolor, but I'm not a type of paper
What am I?"," can cover a canvas, but I'm not a brushI can add color, but not a crayonI can be acrylic or watercolor, but there are two types of paperWhat am I?",You often use it with a brush. But not the kind used on your hair. Add it nicely to some canvas. So that people will stop and stare. What am I?
woman,"['female', 'gender']","I am the fairer sex, strong and bold,
With the power to nurture, and the heart of gold.
I may be a mother, a sister, or a wife,
But without me, a man cannot live his life.
Who am I, the beautiful and divine,
The embodiment of grace and strength combined?","Who am I, the beautiful and divine, the embodiment of grace and strength combined?","I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?"
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']","I billow and swirl, dancing in the air
A product of fire, I rise without a care
I can be thick and dense or light as a feather
But breathing me in may not be so clever
What am I? A mysterious, elusive cloak
I am the result of flames, I am... ?"," billow and swirl, dancing in the airA product of fire, I rise and shineI can be thick and dense or light as a featherBut breathing me in may not be so cleverWhat am I? A mysterious, elusive cloakI am the result of flames, I am... ?",What is it that makes tears without sorrow and takes its journey to heaven? what am i ??
police car,[],"I'm black and white, with flashing lights so bright
I race through the streets, keeping things in sight
I'm here to protect and serve, catch the bad guys far
Can you guess what I am? I'm a rolling police car!","'m black and white, with flashing lights so brightI race through the streets, keeping things in sightI'm here to protect and serve, catch the bad guys in the nick of time!",I am black and white and full of fuzz. What am I?
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']","What has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can make quite a 'point.' What am I?"," has five siblings but never gets in trouble? they help us get the hang of things, and when together, they can make quite a 'point.' What am I?","I have four of these,   With matching extremities.    They can do many things,   And hardly ever bring me pain.    Unless I stick them with a pin,   Or burn them sometimes when. . .    What is it that I can wiggle at will?   And use in other means still?"
fetch,['bring'],"I can be thrown, but I don't fly
I can be caught, but I don't run
I can be said, but I don't speak
What am I?
I am the answer to a dog's favorite command
A word that starts with ""f"" and ends with ""ch"""," can be thrown, but I don't flyI can be caught, but runI can bite, but not chewWhat am I?I am the answer to a dog's favorite commandA word that starts with ""f"" and ends with ""ch""",I am a activity dogs are very good at when a ball is thrown. What am I?
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']","I flutter and float, my wings so bright
In gardens and meadows, I take flight
I start as a caterpillar, then transform with a sigh
What am I, can you tell? I'm a beautiful _______!"," flutter and float, my wings so brightIn gardens and meadows, I take flightI start as a fly, then transform with a sighWhat am I, can you tell? I'm a beautiful _______!",I am a type of insect. But one that is beautiful. I look just like a large moth. But one that is colorful. What am I?
bottle cap,[],"I am small and round, but not a coin,
I keep your drink safe, so it won't go to ruin.
I twist and I snap, and keep things tight,
I'm often found to be shiny and bright.
What am I?"," am small and round, but not a coin,I keep your drink safe, so it won't go to waste.","My first, a place where liquid stays.My second shields your eyes from rays.A thread leads my whole's spiral ways. What am I?"
splinter,['bit'],"I am sometimes lodged in a finger or toe,
A small piece of wood, causing pain, you know.
I can be found in a tree,
And when removed, you'll be pain-free.
What am I?"," am sometimes lodged in a finger or toe,A small piece of wood, giving pain, you know.I can be found in a tree,And when removed, you'll be pain-free.",I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it.What is it?
counterfeit,['fictitious'],"Sure, here's a riddle for the word ""counterfeit"":

I may look real, but I am not true,
A fake creation, meant to fool you.
I bear a resemblance, but lack the worth,
Be careful with me, for I bring no mirth.

What am I?",", here's a twist on the word ""counterfeit"":I may look real, but I am not true,A fake creation, meant to fool you.I bear a resemblance, but lack the worth,Be careful with me, for I bring no mirth.","Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?"
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']","I rise from the ashes, reborn anew,
A mythical bird, with feathers of red and blue.
In ancient tales, I am known to be,
A symbol of hope and immortality.
What am I, that starts with ""Ph"" and ends with ""x"",
A creature of legend, impossible to hex?"," rise from the ashes, reborn anew,A mythical bird, with wings of silver and blue.In ancient tales, I am known to be,A symbol of hope and immortality.","I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?"
Peanut,[],"I am a small, oval-shaped treat,
Crunchy and salty, oh so sweet,
A favorite snack for elephants and squirrels,
I'm often ground up for creamy swirls,
What am I? A little nut, quite neat,
The answer to this riddle is the word ""peanut."""," am a small, oval-shaped treat, crunchy and salty, oh so sweet,A favorite snack for elephants and squirrels,I'm often ground up for creamy swirls,What am I? A little piece of chocolate, quite neat,The answer to this riddle is the word ""peanut.""","My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?"
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']","I have hands but cannot hold, I have a face but cannot speak. I tick without making a sound, and I'm always on time when you take a peek. What am I?"," have hands but cannot hold, I have a face but cannot speak. I tick without sounding, and I'm always on time when you take a peek. What am I?","I went to the city, I stopped there, I never went there, and I came back again. What is it?"
nose,"['a nose', 'body', 'a coffin', 'arms']","Sure, here is a riddle for the word ""nose"":

I am the part of your face
That helps you smell a rose
I stick out in the center
But I'm not your ears or toes
What am I?",", here is a riddle for the word ""nose"":I am the part of your faceThat makes you smell a roseI stick out in the centerBut I'm not your ears or toesWhat am I?","No matter how smart you are, there is one thing you will always overlook. What is it?"
shower cap,[],"I keep your hair dry when you're in the bath,
But I'm not a towel, I'm something with a path.
I cover your head, but I'm not a hat,
I'm worn in the shower, can you guess what?"," keep your hair dry when you're in the bath,But I'm not a towel, I'm a sponge.","My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?"
war,"['a bad thing', 'a war', 'battle', 'a battle']","I bring destruction and strife,
Leaving behind scars in my wake.
Nations clash in my embrace,
What am I?"," bring destruction and strife,Leaving behind black marks in my wake.Nations clash in my embrace,What am I?","A harvest sown and reaped on the same day In an unplowed field, Which increases without growing, Remains whole though it is eaten Within and without, Is useless and yet The staple of nations. What is it?"
snowman,['figure'],"I am built from snow,
With a carrot for a nose,
When the cold wind blows,
I stand tall and froze.
What am I?"," am built from snow,With a carrot for a nose,When the cold wind blows,I stand tall and proud.","I am a cold man without a soul. If there is warmth in me, it slowly will kill me.  What am I?"
