starter,riddle,class
phone,I can distract you and I can hurt you.  You always check me out regularly.  What am I?,what am i
blood,"I run cold and hot, I look blue but am red. What am I?",what am i
pencil,"Always wooden and covered in paint. It can make you laugh or hide, because something dark is inside. What is it?",what is it
gravity,I'm a weight on your shoulders and only bring you down. My only weakness is above you. What am I?,what am i
lunar cycle,"I have existed for centuries, but last only a month. What am I?",what am i
Stop sign,"If I'm behind I speed up, if I'm in front I speed up, but if you ignore me your in trouble.   What am I?",what am i
watermelon,I start at rd and end at green?  What am i,what am i
rose,"I am a queen, beautiful and .Covered with a sweet fragrance, Guarded by five guardsmen, Two of them clean-shaven, Two of them unshaven, And the last one half-shaven. What am I?",what am i
brain,I am the only organ in the human body that gave itself it's own name. What am I?,what am i
shoe,I have a toungue but cannot talk. I have no legs but sometimes walk. What am I?,what am i
reward,"My first is at the beginning of race, My second at the end of face. My third is at the beginning of a word in a question, The fourth is in a word for ""to question"". My fifth is in race, yet not in ace, And for the last, I am starting done. What am I?",what am i
train,"I tear paper but I'm not mad, I wear a purse but it's not a fad.Who am I?",who am i
heart,"It can be said: To be gold is to be good; To be stone is to be nothing; To be glass is to be fragile; To be cold is to be cruel; Unmetaphored, what am I?",what am i
pencil sharpener,You use me. I keep you neat. Every once in a while you empty me out. What am i?,what am i
thumb,"It's shorter than the rest, but when you're happy, you raise it up like it's the best. What is it?",what is it
fingernail,"Paint me up to look real good, Then take me to the shop to maintain under the hood. Use a small brush to make no mistake, Or just replace me with something fake.What am I?",what am i
bat,"I often hang upside down.High, high above the ground.I'm in books, movies, television, too.Where I often scare you.When you are awake I am asleep .I don't make a single peep.But during the night I do hunt.For flies and fruit that I can munch.Some say that I am in disguise .That I can metamorphasize. What am I?",what am i
truth,People always ask for me even though they don't like to face me.  What am I?,what am i
Sea water,I'm blue at day and black at night; I do contain some creatures born and died. What am I?,what am i
nut,"I grow on trees, I make some people wheeze. I can be brown or black, I can be used as a snack. Some animals bite me, some animals hide me. They save me for Winter deep in the ground, the start to dig down down down. For humans I have a very good taste, sometimes they throw out a part in the waste! What am I?",what am i
morning dew,"I welcome the day with a show of light, I steathily came here in the night. I bathe the earthy stuff at dawn, But by the noon, alas! I'm gone. What am I?",what am i
whip,I am cracked by Indiana Jones. What am I?,what am i
gold,When you bend me I'm kind But I'm very hard to find I'm easily sold and rhyme with this when told. What am I?,what am i
glass,I am like the sparkling treasure. I can imitate someone. I am a rainbow god. I can see your beauty. I can give you a shield from gadgets. But my bones may break if you fall me.   Who am I??,who am i
lobster,I go into the water black and come out red. What am I?,what am i
salt,"You eat something you neither plant nor plow. It is the son of water, but if water touches it. It dies. What is it?",what is it
tide,I'm pulled along from way up high. I clean the shore like a janitor guy. Sometimes wet and sometimes dry. What am I?,what am i
shoe,"I come in a box, my brother with me. Often times we're strung up halfway. Many activities determine my name. I'm sure you use me every day. What am I?",what am i
rings,You will see two of me. When you attend a wedding. I'm not a bride and groom. Who am I?,who am i
lap,"Every time you stand up, you lose this. What is it?",what is it
Seat belt,"You use me daily, but if you arrive safely, I am never used. What am I?",what am i
ball,"I'm fat and I'm round and I cause much joy, I'm often a dogs favorite toy.  What am I?",what am i
snowman,"I'm called a man, But I'll never have a wife. I was given a body, But not given life. They made me a mouth, But I wasn't given breath. Water gives body, And sun gives me death. What am I?",what am i
soda,When it's gone bad and flat I hate it but when it's fresh and fizzy I love to taste it. what am i talking about?,what am i
snake,"When I move, I tip the scales. I am the source of many tales. Around your foot, a sign of wealth. Around a stick, a sign of health. Around your chest, your final breath. On your neck, say hi to death. What am I?",what am i
roads,I run in and out of town all day and night but I never get tired.  What am I?,what am i
key,"No matter how hard you try, I can open what you can't. If it wasn't for me, on your front porch you would stand. What am I?",what am i
candy cane,I have stripes but I'm not a zebra. I look like a hook but have nothing to do with Peter Pan. I'm normally red and white but I'm not the Canadian flag. I can be eaten but I'm not a strawberry jelly sandwich. I'm minty but I'm the opposite of toothpaste. What am I?,what am i
rope,"I am both a killer and a savior, it depends on those who wield me. I will bring you from deep water to the shallows, or maybe I could be the one who will hang you in the gallows. What am I?",what am i
Hawaii,"I have palms but not on hands, I offer foods from distant lands, When at my peak you'll see me smoke, I'm famous for my friendly folk, My flowers grow and yet they lay, There's fire where a man will play. What am I?",what am i
ocean,"I come across as flat, But theirs more to me than my surface; You climb my moutains from top to bottom, And fall from bottom to top. What am I?",what am i
smiles,"I start and end.With ""S"", you see. I have 6 letters. What could I be?  If you want a clue.To make it better, There's a mile between.My first and last letter. What am I?",what am i
witch,I am green and ugly and come out at night with a crumple old broom. Who am I?,who am i
straw,"I'm long and skinny, and not worth many pennies. I'm used in round things and usually surrounded by cold things.  What am I?",what am i
bat,I am partly blind but can still see. I have legs but only use them for sleeping. What am I?,what am i
closet,"Filled with garb, the price is free. Just return what you don't need. What am I?",what am i
wind,"I am invisible, yet everywhere. Yet I am everywhere, I am not active in some places. Sometimes, you can feel me. I can be so strong, I can push you, and even destroy villages and towns. Yet I come unnoticed, you can make me. What am I?",what am i
yogurt,"I can be smooth and creamy .Or I can be cool and dreamy. Whatever suits your taste. But one thing to remember I'm made with bacterial waste. Some like me in a cup, Some frozen on a stick. Some eat me with a spoon, And some just like to lick. Some like me with their breakfast, Some as a tasty treat. But as I said before I'm made with bacterial waste you eat. What am I?",what am i
smile,"I am as bright as the sunshine on a warm day, I can go a long way. I am seen on the young and the old that God made, but I can fade. I have only five letters in my name, and I am painted on both the strong and the lame. I can be as white as pearls, or as yellow as blond curls. I can never grow old, or never be sold, or turn to mold, but I am more precious than gold. What am I?",what am i
cigarette,"I am not a toy, though many use me for pleasure. I have a butt, but I cannot poop. What am I?",what am i
iron,"My name states I'm a singular male, I can have a number, a head, but no tail. I've also great strength and I can be tough, But I'll smooth things out when they are rough. Although I go back to an age now gone, I'm around today for everyone. What am I?",what am i
baby,"I can bring a smile to your face,A tear to your eye,Or even a thought to your mind.But, I cant be seen.What am I?",what am i
shave,I am a daily ritual involving using a metal tool on the body. What am I?,what am i
pass,"In operating, a cycle. In duelling, a thrust. In playing, a throw. In bidding, a decline. In a bar, a try. In racing, a move. In scaling, a way.  QUESTION: What is it?",what is it
tomorrow,"I never was, am always to be, No one ever saw me, nor ever will, And yet I am the confidence of all, To live and breathe on this terrestrial ball. Who am I?",who am i
candle,I am quick when I'm thin. I am slow when I'm fat. Wind is my worst nightmare. What am I?,what am i
coin,I have a head a tail but never any legs what am I?,what am i
fart,I fly away as soon as you set me loose. People around you may slowly move away once they sense my presence. What am I?,what am i
tomorrow,"I am always will be coming, but I will never come. What Am I?",what am i
queen bee,"I have no sword, I have no spear, yet rule a horde which many fear, my soldiers fight with wicked sting, I rule with might, yet am no king. What am I?",what am i
aluminum foil,I am a shiny metal sheet used to cover food. What am I?,what am i
paradox,"I am and yet cannot. I am an Idea, yet can rot I am two but none. I am on land, but on sea. What am I?",what am i
bell,"My tongue is long, my breath is strong, And yet I breed no strife; My voice you hear both far and near, And yet I have no life. What am I?",what am i
laptop,"It has keys but it only opens windows, it has a screen door but you don't look though it, you look on it, it gives you most of the answers to your questions. What am I?",what am i
picture frame,"I have memories but none of my own. Whatever's on my inside is what is shown. If I'm ever different it's because you changed me. I feel like a decoration, here for you to arrange me. What am I?",what am i
shadow,"I'm as small as an ant, as big as a whale. I'll approach like a breeze, but can come like a gale. By some I get hit, but all have shown fear. I'll dance to the music, though I can't hear. Of names I have many, of names I have one. I'm as slow as a snail, but from me you can't run. What am I?",what am i
voice,"I am an instrument that you can hear, but you can not touch or see me.  What am I?",what am i
leprechaun,"An Irish fairy is what I am. Just a little bearded man. When people see me on this day  Stay away from my gold,  is what I'll say. What am I?",what am i
rope,A snake that binds without a head. A snake of fiber no need to dread. What am I?,what am i
salad,"Give it a toss, and it's ready, but not until it's dressed. What is it?",what is it
treat,Use me to reward good behavior. What am I?,what am i
feet,You use me everyday but let me rest at night. I have an identical twin beside me all the time. For some reason you always cover me up. I am not alive but I have a soul. What am I?,what am i
candy cane,I am a candy that looks like a shepherd's staff. What am I?,what am i
love,"I can't be bought, but I can be stolen with a glance. I'm worthless to one, but priceless to two. What am I?",what am i
teddy bear,"Soft and cuddly, I'll pull on your heart.But take my last name and I'll tear you apart.What am I?",what am i
eggs,"I am white, an oval, and come from a bird. I come in packs of a half dozen, dozen, 1 1/2 dozen (18), two dozen, and a 36 pack (two 18 packs bundled together). I can be cooked into many different foods, a majority of which are super easy, even for novice cookers. What am I?",what am i
ice,"I am strong enough to smash ships, but I fear the Sun. What am I?",what am i
last name,Arnold Schwarzenegger's is really long. Michael J. Fox's is short. Daffy Duck's isn't human. Madonna doesn't have one. What am I?,what am i
choices,"If you have three you have three, if you have two you have two and if you have one you have none. What am I?",what am i
iceberg,"I sail the seas of the north with no captain to guide me and no crew to man me. I am feared by all who do not prepare themselves for my wrath. Ships have never defeated me head on. But when my time comes, I will finally be at peace and one with the sea. What am I?",what am i
roses,The most sold thing on Valentine's Day. Red is the popular of all its shades. Its fragrance is sweet. People give it on the most romantic of meets.What is it?,what is it
mother,"I'm the one person who does the work of twenty for free. I'm powered by love, fueled by coffee and sustained by wine. Who am I?",who am i
mobile phone,It has a face but no eyes. It has a voice but no head. It shortens distances without travel. It fits into the palm of my hand.  What is it?,what is it
peach,"I am edible, pink, and a great summer food. What am I?",what am i
tomorrow,"I am always on my way, but never arrive today. What am I?",what am i
Ohio,As a state in America. I am round on both sides and high in the middle. What am I?,what am i
dog,"I may be your best friend, but I depend on you. In the brink of danger, it is you I will defend.What am I?",what am i
choice,"What is it that given one, you'll have either two or none?",what is it
eye,"I'm a part of your body, and i'm read like one of your alphabeth, what am I ?",what am i
water bottle,My first can be seen extensively from outer space.My second may originate from an arid place.My whole is a good companion while running a race. What am I?,what am i
bell,I ask no questions but receive a lot of answers what am i?,what am i
water,I'm often running yet I have no legs.  You need me but I don't need you.  What am I?,what am i
candle,"I am neither young nor old, although fire runs through my soul. Wind and water is my foe, my body is as white as snow.  What am I?",what am i
fingerprints,What is it something that you always have but you always leave behind?,what is it
code,You need a key to receive an answer from me. The answer you'll find is straight from your mind. What is it?,what is it
tongue,"Often held but never touched, always wet but never rusts, often bites but seldom bit, to use me well you must have wit. What am I?",what am i
gasoline prices,"I rise and fall but never move. I help you travel but never see the scenery. Without me, you cant function, what am I?",what am i
book,"My life is a volume of joy and grief, but I need your help to turn a new leaf. What am I?",what am i
punch,"In order to throw it you'll need a hand, it never goes far though it might not land. What is it?",what is it
reflection,"Look at me I want to play. I'll move like you in every way. Be tricky, but the result is always a draw. Why? Because I'm an expert at response and call. Be tricky, but the result is always What am I?",what am i
lantern,"Iron roof, glass walls, burns and burns and never falls. What am I?",what am i
human being,"My first, the making of mistakes is ensuring.My second, for a mortal, is death deferring.My whole is of a species, ages enduring. What am I?",what am i
Jesus Christ,"I am everywhere yet not seen; I was dead yet I'm alive; a Son to a man who is dead yet a Son to One Who's forever alive; suffered, not for myself but for others. I have disproved many beliefs and many laws. Who am I?",who am i
Undertale,you play me and you reset me. i have many timelines and different runs. i have many characters and choices. i was made from a small team. i have good boss music. what am i?,what am i
keyboard,"I have an end but no beginning, a home but no family, a space without room. I never speak but there is no word I cannot make. What am I?",what am i
backpack,I help you carry your books. What am I?,what am i
egg,Ice melts when heated up. But I solidify when I'm heated up. What am I?,what am i
purpose,"Having one, means having something to follow. Once you question it, it means having none. People seek it, but some do and some don't find it. What is it?",what is it
mountain,"Beautiful when seen from a distance. Dangerous I am to conquer. Those that have tried I swallowed whole, choked, buried in snow, or threw them to their death. If you do conquer me, the prize is worthwhile. I'll show you things no man can. If you do beat me, you'll feel as if you're on top of the world.  What am I?",what am i
fear,"I am the creature that robs men of their dignity, pride, and will. I feast on children's dreams till' they have none. I am the monster in your head, waiting to strike. What am I?",what am i
hummingbird,"As small as your thumb, I am light in the air. You may hear me before you see me, but trust that I'm there. What am I?",what am i
watch,"I run distances, often making many turns, yet I never move one foot. What am I?",what am i
drone,I have mobility which is three-dimensional.I am both innovative and unconventional. Diverse are my possibilities for deployment.One of these may be simply for your own enjoyment. I am a servant and you can become my master.But using me in the wrong place could spell disaster. A person or a computer controls my motion.I provide a vantage point over land or ocean. I am a tool for a practical application.Or I am simply a toy for your recreation. What am I?,what am i
Last supper,I am the most famous dinner. What am I?,what am i
grade,You can cross your T's and dot your I's but I may come to you as a surprise.   What am I?,what am i
railroad tracks,"A trail, a union, together tied. Come across me and you will find, you cannot change the course I'm on, without me you can't travel on. What am I?",what am i
maple,"You might, perhaps at breakfast, See a sticky part of me, But I model, too--mathematics, And I'm true north, strong and free. Mrs. Christie's character.could help you, though not well, For though she is quite close to me, She simply cannot spell. What am I?",what am i
dragon,Theres one that is called Smaug. Who in The Hobbit guarded gold. The fire that he breathed. Means that you would never be cold. What is it?,what is it
odd,I__ a word that is not even strange. What am I?,what am i
bee,"I had no father, only a grandfather. I shall bear no sons, only daughters. What am I?",what am i
wind,"I howl, yet I have no voice. Can't be seen but my presence is felt. What am I?",what am i
toothpick,"Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?",what am i
bellows,"I breath and things get hot, though my heart is light as wind. The swordsman knows me not, though I helped to make his friend. I cannot do my job alone, Though others make me sigh, By their strength my job is done, So tell me, what am I?",what am i
letter,More rare today than long ago. There's a salutation from friends written below. What am I?,what am i
light bulb,"Secured in place, I work undercover, and with a flick of your finger. My purpose you'll discover. What am I?",what am i
appendix,Found at the back of the book. What am I?,what am i
smoke,I can generate fear and some say I come out of your ears. I am as quiet as a mouse but not welcomed in the house. What am I?,what am i
watch,"I am small and black, gold, silver, brown, red, or blue. I am always desired when you're lost, worried, or running out of time. With me by your side you'll never be late. Just set me and forget me until a later time or date. What am I?",what am i
dentist,"I dig out tiny caves, and store gold and silver in them. I build bridges out of silver, Make crowns out of gold, But everyone is afraid of me Even the young and old. Who am I?",who am i
letters,"I Make Up All Literature, But I'm Often Sealed. What Am I?",what am i
microsoft,I make billions of dollars selling Windows. Who am I?,who am i
soul,"I'm with you from birth. I make you feel everyday. Without me, you're nothing. What am I?",what am i
Ursa Major,I am a friend of the farmer and a guide to us all. Especially with sailing when wind was a tool. I've helped sow many a seed when we were all small. For millions of years to help guide us all. But now the day is over and out I will come. To light up the sky and point out to everyone - Polaris!  What am I?,what am i
ocean,I'm not made.The moon has an effect on me but I never go.You can see me from almost anywhere.And I make you sick.What Am I?,what am i
bag,You carry me and I carry yours.  What am I?,what am i
eye patch,For pirates who have lost an eye. They can still see with the other. One thing they might choose to wear though. Is this special little cover.What is it?,what is it
sea,"I can wear boulders into pebbles, I can eat away at the land. I am home to predators and prey of old. All life came from me. I can never die, but am being added to and subtracted from, depending on the chance of rain.  What am I?",what am i
book,I am the shell of something interesting. My front is very eye catching but my inside tells all. What am I ?,what am i
train,This is a type of transport. You can take all over the nation. You travel on railroads. And might stop at Grand Central Station.What am I?,what am i
map,"My seas have no water, my mountains have no rock, and my land has no grass. What am I?",what am i
earth,I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?,what am i
string,It could make arrows fly and kites soar. What is it?,what is it
fence,I come in many different colors. I create boundaries to keep things concealed and safe. My best friend is a lock and I am also made of different materials as well. I love to travel: you can find me anywhere. What am I?,what am i
door,I can swing but have no rope. What am I?,what am i
Cleopatra,"The moon nine days old, The next sign to Cancer, Pat rat without a tail, Now sir, I'll have your answer. Who am I?",who am i
voice,"Wind and cord combine, buzzing in the box. In all this we find, though to some the use is lost. What am I?",what am i
road,It cannot run.It cannot walk.It never gets tired.Though it goes on for a long time.It might never die.All of them lead to Rome.What is it?,what is it
imagination,I make what science believes to be fantasy become reality in the blink of an eye. Doctors consider me a cause of insanity if to much of me in your life is applied. When most age I began to disappear for as most age they apply more logic and reason to their thoughts. My biggest fear is to not get used and to be forgot. What am I?,what am i
day,"I break, she falls. I break, she falls. Who am I, and who is she?",who am i
eye glasses,My first is near an organ which thinks.My second can contain your cold drinks.My whole helps you to see between blinks. What am I?,what am i
tea bag,Late afternoons I often bathe. I'll soak in water piping hot. My essence goes through my see through clothes. Used up am I; I've gone to pot. What am I?,what am i
match,I weigh less than a gram but can destroy a house. I come with many brothers and sisters when I am bought and I can light up a whole room.  What am I?,what am i
gift,I'm as small as a pea but I'm as big as the sky and I don't belong to the person that purchases me. What am I?,what am i
ice,"I am a powerful force.A ""cold"" hearted thing.Powerful trees go weak under my strength.People become frightened and cold when I strike.Many have to leave their homes to find warmth.Yet I help cool down drinks on a hot summer day. What am I?",what am i
song,"I live through people.And words. I can be found within buildings with steeples, And be among the birds. My first is in sea, But not in ocean. My last is in gallon, But not in quart. What am I?",what am i
promise,You can break me easily without even touching me or seeing me. What am I?,what am i
props,It can be used onstage or to express admiration. What is it?,what is it
space,"This has no beginning, middle or end, and all the greatest thinkers see it but can't comprehend. What is it?",what is it
chakra,"Round and Round, never off the ground. What am I?",what am i
space,"I am everywhere. Nothing can compare. Run and hide and I will still be there Because everything is mine to share. No need to seek me out, Though, you may just run out. What am I?",what am i
harp,"From where I originated, no one really knows.They say my earliest sound came from a hunter's bow. Ramses III has me painted in his death hall.In the New Kingdom, I was 6.5 feet tall. In the Christian church I accompanied the monks there.In 5th century Ireland, I was taught at the Papal Music School there. In the Medieval times, I was so compact.The player could fit me right in his lap. I once was lost, found in the past decades.Now the new players won't let the tradition fade. What am I?",what am i
needle,I always have to work with something in my eye. What am I?,what am i
potato,"A skin have I, more eyes than one. I can be very nice when I am done. What am I?",what am i
winter,"After you go through a fall I will take over. All life will stall, or at least grow slower. What am I?",what am i
focus,"Those who are great I have made great,Those who are failures I have made failures.I am not a machine, but I work with all of the precision of a machine,Plus the intelligence of a person. What am I?",what am i
printer,"I eat paper, I spit it out, I need ink, but still spit it out. What am I?",what am i
rose,A vase is what. This usually adorns. Be careful though. As it might have some thorns. What am I?,what am i
smart phone,"I can make you smile and frown. Make you laugh, and even make you cry. I can cause crashes, also you use me everyday. I can make you dance. Some use me to go to sleep. What am I?",what am i
bat,"I sleep when you are awake, I am awake when you fall asleep. I can fly but no feathers to aid my flight. What am I?",what am i
imagination,"I come and go wherever you are in the world. I ebb and flow with colors and sound for which anyone can hear. I come and go with each person here, yet I am unique to everyone. I can grow with one, yet die with another. I age with the person I am with and live in the treetops in everybody. What am I?",what am i
giraffe,It lives in Africa. From tall trees it does peck. This creatures most well known. For having a long neck. What is it?,what is it
horse,"You get on top of me, You ride me, Sometimes I can get rough, but can be gentle, I have to take a good break once in a while, What am I?",what am i
pancakes,I am so delicious that I require a house to contain me. What am I?,what am i
satisfaction,"All have tried to catch me, none have kept me! What am I?",what am i
gun,"Once you are in my sight, you are gone in a flash, and people tend to use me for cash. I am often used as a dire assist, and people often believe that I cause harm, when I am but its catalyst. What am I?",what am i
gloves,"Four fingers and a thumb, Yet flesh and blood I have none. What am I?",what am i
thorn,"I live next to beauty trying to catch your eye. Grab me without looking, and you're surely to cry. What am I?",what am i
big Apple,"I am a fruit, but I am not eaten. I live in a busy place. I never sleep. What am I?",what am i
peeves,"I follow the orders of only two. I respect the work of only two. I am in constant battles with many, Though one surpassed them all. With forces joined, We created hell, Until our mutual enemy fell. Who am I?",who am i
bear,"If you see one when youre camping. It might give you a big fright. They can be black, brown or grizzly. And pandas are black and white. What is it?",what is it
onion,"I am a certain type of bulb. But I dont give off any light. I can be peeled and chopped up. And am red, yellow, green or white. What am I?",what am i
paper,"I can fall off a building and live, but in water I will die. What am I?",what am i
watermelon,"You go at red, but stop at green. What am I?",what am i
toaster,"I have a short, wide body. It is cold and shiny. My insides are hot as flame. I have two mouths. My tail is long and forked. What am I?",what am i
water,"I am a being with many faces. My first is peaceful and calm, but can kill you. My second is strong enough to smash ships but still fears the sun. My third flies when it's born and runs when it's dead. My fourth goes away and never returns. What am I?",what am i
human being,I'm the person that God made me. I'm caring. I'm nice. I love my family. I'm myself. Who am I?,who am i
egg,I cannot be used until I have been broken. What am I?,what am i
key,I turn around once. What is out will not get in. I turn around again. What is in will not get out. What am I?,what am i
season,It flavors your food and divides the year up. What is it?,what is it
key,"If I turn my head, you may go where you want, but if I turn again, you could stay and rot. What am I?",what am i
pineapple,"The leaves are on the fruit, The fruits is on the leaves. What is it?",what is it
brain,"From where I sit in my lofty home, 	I direct the affairs of man: His comings and goings, his matters of heart, 	Whether he succeeds or fails. I take him to places that know no limits.    	And guide him through intricate schemes. And when he sleeps, I continue on.	To take him on wondrous journeys. And though I control his every move, 	His habits can disrupt my work: Exposed to abuse, disuse, or neglect, 	I no longer may ably serve him. What am I?",what am i
cell phone,I can connect you to the world but sometimes you ignore me. I__ covered with buttons and my sounds can be unique. Don__ drop me or I might crack. What am I?,what am i
needle,"A slender body, a tiny eye, no matter what happens, I never cry. What am I?",what am i
trust,Neither bought nor sold but more valuable than gold. It is built but not by hand. What is it?,what is it
scissors,"I__ not a friend of paper and you will want to keep me away from small children. You can use me to create some art or change the style of your hair, but whatever you do, don__ run while holding me in your hands. What am I?",what am i
charcoal,"I am black when you buy me, red when you use me, when I turn white. You know it's time to throw me away. What am I?",what am i
password,"I am a 8 Letter Word.I am kept Secret from Everyone.My 2nd, 3rd, 4th Letter Spell an Animal.My 4th, 5th, 6th, 7th, 8th Letter is a Weapon.My 1st, 2nd, 8th Letter is used for Writing an Exam.My 3rd, 4th Letters are the Same.Who am I?",who am i
rubber ball,I get thrown in the air and will fall down: I get thrown down and I will rise in the air What am I?,what am i
lava lamp,"The bottom heats, The top cools, And little blobs.Swim in my pools. I can be different colours, And be a source of light, A bedroom accessory, I light up the night!  What am I?",what am i
candle,"If I am coloured, I smell, if I am burned, I smell, orange and yellow will melt me. What am I?",what am i
curtain,After a grateful response thundering loud.I separate you from the admiring crowd. In a room where you're hoping to recover.An obstruction between you and another. In a place with precipitation indoor.It is I who keeps it from reaching the floor. What am I?,what am i
door,"Made of wood or of metal composed; You see me opened and you see me closed. Often swinging, maybe sliding; You move me to see what I'm hiding. What am I?",what am i
pop,A sweet and simple palindrome.Order in food with me from home. When one is faced with great surprise.I might describe reacting eyes. A single genre of your tunes.I spell disaster for balloons. As a kernel alters its state.Or cork and bottle separate. I'm singular in construction.But in meaning I'm more than one. What am I?,what am i
love,You can feel me but you can't touch me You can give me but you can't take me What am I ?,what am i
hail,"I come when the weather is at its prime, Though, it might be wise to leave nothing on the street. But, in the wintertime My name is obsolete What am I?",what am i
tongue,"Though I live beneath a roof, I never seem to dry. If you will only hold me, I swear I will not lie.What am I?",what am i
smile,"A mile from end to end, but easily found on the face of a friend. What is it?",what is it
headache,"Not imagined, but a product of your brain.I'm an uninvited guest who brings you pain. Shelf-stored intervention may well defeat me.Though I'll leave on my own eventually. I may cause your performance to diminish.My start is identical to my finish. What am I?",what am i
blacksmith,"I rap heavy metal all day, and sometime through the night, And with my steady beater, I will surely win a fight,  My hits are always hot, they ignite sparks in my soul, and I form inspiration, while I reach my goal,  There are few so talented, who can perform these tasks, so me and my brethren, will sometimes wear our masks,  With our amazing performances, we bring joy to many crowds, and their triumphant screams, sometimes rise to the clouds,  I have given too many hints, so I now must say goodbye, and with a final couplet, I say, 'What am I?'",what am i
foot,When we stand up it lies flat. When we lie on our back it stands up. What is it?,what is it
seven,"I am even, add one letter and I'm odd. What am I?",what am i
racket,I'm to make dirty money youll probably wash;I'm put over your shoes like a snow-day galosh;The loud clamorous noise you might hear at a mosh;And the hand-held equipment for tennis or squash.Who am I?,who am i
dog,"Half of those who read this riddle, I am your best friend.I depend on you, but it's you I will defend.What am I?",what am i
bed,"I'm many people's favorite place, even though many don't remember their stay.You'll love to come but hate to leave,if you get cold use my sleeves.What am I?",what am i
