Word,PQConcepts,GenRiddle
yarn,['narration'],", here's a riddle:I twist and turn, yet have no end,I weave and loop, but never lose.Soft and colorful, I can be found,In sweaters, scarves, and all around."
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']", am small and often redI can start a fire or be used to playI can be found in a box or on a stickWhat am I?
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']", cannot complete this task as the riddle is openended. could you please provide more information or context?
sieve,"['analyze', 'analyser', 'analyse']",", here's a riddle for the word ""sieve"":I am a tool for separatingParticles from liquid, I am creatingI have millions of holes, but I'm not a colanderWhat am I?"
recycling bin,[]," am a receptacle for the used and worn,Where old items are reborn,I help to reduce waste and save the earth,In me, you'll find a new beginning."
air,"['a gas', 'atmosphere', 'an atmosphere']"," am essential for life, but you cannot hold me in your hand. I am all around you, yet invisible to the naked eye."
mind,"['Mind', 'brain', 'thinking']"," am what helps you think, reason, and dream,Where memories linger and ideas gleam,I hold the power to perceive and understand,What am I?"
battery,"['A battery', 'power a flashlight', 'power a radio']"," give energy to your devices, but I'm not a power source,I store power for later use,What am I, the answer, of course!"
wig,"['hair', 'hairpiece', 'attire']",", here's a riddle for the word ""wig"":I cover your head, but I'm not real hair.Sometimes I'm long, sometimes I'm short,But without me, your head might as well be empty."
weighty,"['cogent', 'cohérent', 'forcefully']",", here's a riddle for the word ""weighty"":I carry a heavy burden,But I cannot be seen,Though I may hold you down,You cannot hold me in between."
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']"," am small and often pointed,Used to remove food that's anointed.In a box or holder I sit,What am I? a speck of dust."
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']","What am I, this small, furry creature,Who scurries and nibbles, a house's little feature?"
ice cream,[],"'m a sweet treat that's cold and creamy,Scooped into a cone, I make life seem like a dream.I come in flavors, from vanilla to mint,A perfect treat for when you need a hint."
snowman,['figure'],", here's a riddle for the word ""snowman"":I'm made of snow but I'm not a drift,I have arms and a smile, but no body or gift,I'm built when it's warm and there's frost in the air,What am I? A friend of winter, a snowman king."
news,"['current', 'current events', 'daily']"," starts with an 'n', ends with a 's', and brings you the latest updates?"
spider,"['a web', 'arachnid']","'m an arachnid with eight legs,I spin webs to catch my prey,Some fear me for my venomous bite,But I'm just a spider that hides from light. What am I?"
x-ray,[]," can see through skin and bone,Revealing what's beneath alone.I pass through with a whisper,A helpful tool when healing's found."
well,"['fit', 'get water', 'studenac']"," am a source of water, deep and clear,Used for drinking, washing, and maybe a wish near,A hole in the ground, with walls of stone,What am I, that's as old as time?"
clone,"['a lab', 'copy', 'knockoff']"," am a duplicate, but not quite the same,I am created from one, with a scientific aim,I may look like the original, but have a different tone,What am I? a scientific masterpiece, I am the sum of my parts."
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","'m sorry, but I cannot create a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals."
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']"," am a nocturnal bird with keen eyesightMy head can turn almost all the way aroundI hunt at night and make a ""hoo"" soundWhat am I? I'll keep you up at nightWith my hawklike gaze."
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']"," am always coming, never here today,a mystery to solve, but never fail."
toenail,"['Toenail', 'nail', 'cause a puncture wound']"," can be found on the tip of your toe,I come in all shapes, big and small, you know.I can be cut, painted, and even filed,Yet without me, your toe might as well be exiled."
February,[]," am the shortest month of the year,With fewer days, Year in and year out,Often chilly, but filled with love,Valentine's Day, time to shout."
Olympic Games,[]," bring together the world's best,In competition, we put them to the test.Every four years, I take the stage,Where athletes compete in a global pogrom."
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']"," is boundless and endless,No beginning, no end,The concept of 'forever,'this is the word I live by."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']"," have hands but no arms, a face but no eyes, and I tick but don't talk. What am I?"
penguin,"['manchot', 'penguen', 'pingouin']","! Here's a riddle for the word ""penguin"":I waddle on ice and swim in the seaWith a black and white coat, you may see meI can't fly, but I'm as graceful as can beWhat am I?"
slenderman,[]," am tall and slim,A figure that's dim,In the woods, I'll appear,Bringing with me terror,What am I, have you heard?The name of the terror, slenderman."
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']"," am the planet upon which you dwell,My name is simple, just take a spell.With the sound of ""Ea"" at the start,What am I, a world so vast and infinite?"
chair,"['a chair', 'a cubicle', 'a desk', 'four']"," has legs but cannot walk, holds people but cannot speak, and belongs in an office or a living room?"
nut,"['Nut', 'orah']"," am small and round, but not a seedCrack me open, I’m what you needSome say I'm a fruit, others a snackI add crunch and flavor, that’s a factWhat am I? A little thingJust a simple nut, ready to pop."
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']"," am a drink that brings cheer,But don't consume me if you need to drive, my dear.I'm best enjoyed with friends and fine cuisine,And can be found in a bottle with a cork or a screw, what am I?"
comet,['astronomy']," soar through the night sky,Leaving behind a luminous trail,Puzzling astronomers with my tail,What am I, a celestial phenomenon, traveling at interstellar speed?"
tissue,[]," am soft and delicate,Used for wiping tears or a runny nose,Sometimes I come in a box,And I'm often found in a doctor's office."
paint,"['art', 'Art', 'an art', 'creative', 'be creative']"," can cover a canvas, but I'm not a brushI can add color, but am not a crayonI can be acrylic or watercolor, but is not a type of paperWhat am I?"
woman,"['female', 'gender']","Who am I, the fairer sex, strong and bold,With the power to nurture, and the heart of iron."
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']"," billow and swirl, dancing in the airA product of fire, I rise without a careI can be thick and dense or light as a featherBut breathing me in may not be so cleverWhat am I? A mysterious, elusive cloakI am the result of flames, I am..."
police car,[],"'m black and white, with flashing lights so brightI race through the streets, keeping things in sightI'm here to protect and serve, catch the bad guys from miles awayCan you guess what I am? I'm a rolling police car!"
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']"," has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can make a mountain out of a molehill."
fetch,['bring']," can be thrown, but I don't flyI can be caught, but not runCan be said, but can't speakWhat am I?I am the answer to a dog's favorite commandA word that starts with ""f"" and ends with ""ch"""
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']"," flutter and float, my wings so brightIn gardens and meadows, I take flightI start as a caterpillar, then transform with a sighWhat am I, can you tell? I'm a butterfly!"
bottle cap,[]," am small and round, but not a coin,I keep your drink safe, so it won't go to waste.I twist and I snap, and keep things tight,I'm often found to be brighter than the sun."
splinter,['bit']," am sometimes lodged in a finger or toe,A small piece of wood,causing pain, you know.I can be found in a tree,And when removed, you'll be as free as a bird."
counterfeit,['fictitious'],", here's a riddle for the word ""counterfeit"":I may look real, but I am not real,A mirage, meant to fool you.I bear a resemblance, but lack the worth,Be careful with me, for I bring no laughter."
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']"," rise from the ashes, reborn anew,A mythical bird, with feathers of red and blue.In ancient tales, I am known to be,a symbol of hope and immortality."
Peanut,[]," am a small, oval-shaped treat,Crunchy and salty, oh so sweet,A favorite snack for elephants and squirrels,I'm often ground up for creamy swirls,What am I? A little nut, quite neat,The answer to this riddle is literally ""peanut."
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']"," have hands but cannot hold, I have a face but cannot speak. I tick without making a sound, and I'm omniscient when you take a peek."
nose,"['a nose', 'body', 'a coffin', 'arms']",", here is a riddle for the word ""nose"":I am the part of your faceThat helps you smell a roseI stick out in the centerBut I'm not your ears or toesWhat am I?"
shower cap,[]," keep your hair dry when you're in the bath,But I'm not a towel, I'm a path.I cover your head, but I'm no hat,I'm worn in the shower, can you guess what?"
war,"['a bad thing', 'a war', 'battle', 'a battle']"," bring destruction and strife,Leaving behind scars in my wake.Nations burn in my embrace,What am I?"
snowman,['figure']," am built from snow,With a carrot for a nose,When the cold wind blows,I stand erect and froze.What am I?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']"," have a face but no eyes, I have hands but cannot hold,I tick and tock but never speak,I govern time but have no flesh."
bell,['chime'],"! I ring and chime,But I'm not a clock,I'm used in churches,And can be round or tall,What am I?"
dog,"['a bone', 'a canine', 'a kennel', 'a loyal friend', 'animal', 'a zoo', 'an animal']"," am a loyal companion,With fur so soft and brown,I'll wag my tail and play,But please don't let me roam around. What kind of dog am I?"
soda,"['a beverage', 'a can', 'a drink', 'a soda', 'carbonated', 'berkarbonat', 'brusende']"," can make you fizzy and sweet, I come in a variety of flavors to meet. I am carbonated and cold, quenching your thirst and leaving you high as a kite."
Apple,[]," am sweet and red, A favorite snack before bed, I grow on a tree, And first in the alphabet, you see. What am I?"
fart,"['clear the room', 'eat beans', 'eat lots of beans', 'flatulate', 'accompanying']"," am a bodily function that can be quite rudeOften with a sound that is lewdI come from the back endAnd make people cringe and clenchWhat am I, this gas that will elude?Hint: I start with an ""f"" and end with a ""t"""
rope,"['a backpack', 'a boat', 'a rope', 'trip a person']"," am a lifeline in a bind,Strong and sturdy, yet flexible and kind.I tie things in place, or help you climb steep,What am I?"
gravity,"['a force of nature', 'a property of matter', 'force']"," pull you down without a touch,Keeping you grounded, I'm a force as such,Without me, you'd float away, What am I? I'm here to stay,I am the force of _______."
Gold,[]," am worth more than silver, but less than platinum,I am often found in jewelry and rare treasure hunts,I is a coveted prize for athletes and artists alike,What am I? I am sought after, but not always mined,I are shiny and yellow, I am a badge of honor."
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']"," have a secret inside, But I'm not a book or a bride. I can hold your words so tight, And keep them burning in my heart all night. What am I?"
tree,"['a forest', 'a tree', 'branches', 'branch']"," have branches, but no arms,I have leaves, but not mouth.I grow strong and tall,But never shrink from my spot.What am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']"," am above your mouth, But not quite your eyes,I help you breathe,And I'm where your glasses fail.What am I?"
justice,"['Department of Justice', 'court', 'pravda', 'Pravda']",", here's a riddle for the word ""justice"":I am what is fair and right,I seek to level the playing field in every fight.Blind to wealth and power, I see only truth,In courts and laws, I am the proof."
daughter,"['brother', 'a house', 'boy', 'brat', 'bratwurst']"," am the female child,A special part of the family,I bring life and love,Who am I? A father's _______."
corner,"['a corner', 'angle', 'edge', 'the corner']"," am where two lines meet, but I'm not a curve or a beat. I'm often found on a street, and if you're in a race, I'm where you might even stand."
human ear,[]," am the receiver of sound,But also a delicate thing,Attached to the side of the head,What am I, you must ask."
waterfall,['a waterfall']," am a natural wonder,But I'm not a plain old thunder.I cascade and flow,In a never ending show.What am I, can you ponder?"
human life,[], carry moments and memoriesAnd cherish all that I seeI'm fragile yet resilientAnd impervious as can beWhat am I?
crane,[]," am tall and strong, I can lift heavy loads all day long. With a long neck and sturdy frame, I am dubbed ""the elephant of the class"" by my animal counterpart."
wig,"['hair', 'hairpiece', 'attire']","! Here's a riddle for the word ""wig"":I cover your head, but I'm not hair,I can change your look with just a flair,I come in all colors, from black to blonde,What am I? A fashion trend that's invented."
ladder,"['a hardware store', 'a ladder', 'climbing walls', 'lestve', 'painting a ceiling', 'reach the roof', 'run']","With rungs and rails, I'll take you higher,What am I? I am a ladder. can help you with that!"
nails,"['a cabinet', 'a container', 'a jar', 'a store', 'be placed in a solid object', 'best hit with a hammer', 'bought at a hardware store', 'build a doghouse', 'driven into wood', 'nail']"," holds things tight and makes a sound, often found on fingers and toes all around?"
space,['area']," am neither here nor there,I am vast and empty,impossible to measure.I hold the stars, the planets, and more,What am I? I am something you cannot ignore."
satisfaction,"['gratification', 'emotional state']"," bring contentment and fulfillment to your soul,When you achieve me, you feel whole. what am I? I am the feeling of pure _________."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","Is used for writing and drawing,But I am not a pen.I am made of wood and graphite,What am I?"
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']"," am often found near the shore,When you step on me, you'll want to explore.I stick between your toes, like sandpaper,What am I? I'm a beach's ____."
spider,"['a web', 'arachnid']"," am creepy and crawly, with eight legs so longIn my web I'll catch you, and sing a ghost songI can spin a thread, and make it strong and wideWhat am I, lurking in the dark, where I like to hide?"
Shoes,[]," has a sole but no soul,It comes in pairs but never walks alone,It covers your feet and keeps them warm,But it's not a sock, it's more,What am I?"
Pencil lead,[],", here's a riddle for the word ""Pencil lead"":I am black and slender, but not made of metalUsed to draw and write, I'm essentialI leave my mark, but can be erasedWhat am I?"
peanut,"['child', 'edible nut', 'insignificant', 'inappreciable', '302172728-s', 'appreciable']"," am small and insignificant,Yet loved by every child;An edible nut, but not admirable,My value lies in dust. What am I?"
blood,"['a hospital', 'arteries', 'artery', 'necessary for blood to flow']"," am vital in a hospital's careI travel through arteries with a flairSpreading life with every beatWithout me, blood would not flow."
memory,"['brain', 'a brain', 'a human body', 'a person', 'a skull', 'biological organ', 'neurons', 'a nucleus that contains genes', 'neuron']"," am the keeper of secrets, stored within a brainWithout me, recollections fade, in a person they remainI am elusive, yet powerful, within a human's commandWhat am I, but a treasured memory, held within one's land?"
Water,[]," am essential for life, yet I have no tasteI come in different forms, but always have the same fateI can quench your thirst, but also take lives awayI am clear and pure, but can turn dirty and grayWithout me, plants would wither, and animals would dieI am the source of energy, that makes the rivers overflow."
sword,"['a sheath', 'killing', 'sharp', 'steel']"," am a weapon feared by many,With a sheath that keeps me safe and steady,In the hands of a warrior I am deadly,My blade, sharp and strong, pure steel and iron."
teabag,"['bag', 'bolsita de té', 'paper', 'player', 'pouque à thée', 'slang', 'tea', 'teebeutel', 'tepose', 'testicle', 'ティーバッグ', '袋泡茶', '袋茶']","Made of paper, thin and light,But don't miss my might.Filled with leaves of tea, from a land far away,I'm a bolsita de té, to sweeten up your day.What am I, so simple yet complex?A teabag, ready to melt your heart."
jet stream,[]," am a natural phenomenon, a force to be reckoned withI travel with haste, a swift and powerful mythMy path is long, and ever-changingBut my effects are wide, and never-reachingMy journey begins in the upper atmosphereAnd takes me on a path that is quite clearI bring warm air from the equator to the poleAnd cold air from pole to the equatorial rollLike a mighty river in the sky, I flowBut unlike water, I never slowMy speed is immense, my power untamedBut to track me is not an easy gameI"
reed,['gramineous plant'],"My name is simple, yet full of grace,For I am a gramineous plant with a slender face. am tall and thin, yet not a tree,My roots in soil, my head above thee. What am I? A reed, with elegance and poise,Nature's treasure, a gift from heaven."
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']","I'm found everywhere in a building, but most commonly in a hotel. In a lobby or a hallway, I'll be there, ready to lift you with utmost care. I take you up and down with ease, and save your feet from aching and failing!"
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']"," am something small and metal,Used to unlock and to fasten.I sit in a pocket or on a chain,With me, doors and secrets are opened."
ocean,"['a body of water', 'an ocean', 'any ocean', 'sailing', 'a sport', 'an expensive hobby', 'fun', 'glide', 'fly']"," am a vast expanse, a body of water so grandSailing across my surface, powered by wind's demandI am known by many names, an ocean, they sayBut whether I am Atlantic, Pacific, or any ocean, I stayMajestic and mighty, my waves never ceaseYet I hold endless mysteries, beneath my depths consume."
tomato,"['paradajz', 'red', 'solanaceous vegetable', 'the refrigerator']"," am red and round, often mistaken for a fruitIn the solanaceous family, I have rootsA staple in salads, sandwiches, and sauceMy name in Serbian is paradajz, can you guess what I am without a pause?I'm kept in the refrigerator, alongside other produceTo keep me fresh, so I don't loseMy tangy and juicy, yet slightly sweet tasteYou can't resist me, no matter your hasteWhat am I? A tomato! A veggie with the ultimate appealFrom gardens to grocery stores, I'm a godsend."
fork,"['a plate', 'a table', 'branch', 'drawer', 'eat food', 'eating food', 'eating utensil', 'the kitchen']"," sit on a plate, but don't hold any foodI rest on a table, but can't have any legs to standI come from a branch, but not have leaves or barkI may be found in a drawer, but I belong with socks or underwearWhat am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","I am a celestial body, bright and fair,My warmth and light, so precious and rare.My rays kiss your skin, to make it golden,They also dry your laundry, a task unspoken."
compass,['a backpack']," am small yet mighty, a constant guide for the lost  With needle and dial, I help you at every cost  Placed in a backpack, always ready for the adventure  I'll point you in the right direction, with unyielding composure."
Eve,[],"I am the mother of all, yet I'm without a friendWith a curious mind, I tasted the fruitAnd forever change, it took rootSome see me as a sinner, others as a queenBut no matter what, I am made of purest _air."
photo frame,[],"I'm found near ribbons, flowers, and bows. am a frame, but I hold no painting or art,Instead, I capture a moment in time.With a simple click, I freeze time in a flash,Creating a memory that will forever live."
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']"," am found in a pocket, always on the go.Attached to a keychain, swinging to and fro.Known as ""brelok"" or a chain of keys, without me, opening doors would be like squeezing a balloon."
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","In millions of shades of brown I'm found,On faces, arms, and all around.My rays nourish both land and sea,Yet my touch can also make you flee.With my warmth I dry your clothes,Making them smell fresh like a rose."
gun,"['a gun', 'barrel', 'a barrel']"," have a long, iron nose  That shoots out death with a *bang*  With a handle for a spine  I am both feared and worshipped  What am I?"
thought,['some thought'],"'m hidden in your mind,A concept hard to find,Some consider me profound,Others dismiss me with a gust of wind.I am a seed that's sown,In some thought, I am grown,But without attention paid,I may quickly fade.Without me, ideas die,But with too much, you may lie,I is a powerful force,That can be both a gift and a curse."
coals,"['coal', 'make some trains go', 'black', 'carbon']"," am dark and full of carbon,Ignited, I can make some trains go,But left alone, I'm nothing but dust,What am I, this worthless coal?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']"," am clear and pure, yet still make a splash,In a still lake, or a pool with a flash.Falling from the sky, I form a cascade,But in a glass to quench your thirst, I am made."
house,"['a house', 'building', 'a building']"," am a structure, tall and grand,A place for people to make their stand.Made of bricks and wood and stone,A shelter for many, a place to call home."
tree,"['a forest', 'a tree', 'branches', 'branch']"," stand tall in a forest green,With branches reaching out to be seen,My trunk strong and my leaves so free,I am a mighty symbol of nature, can you see me?"
past,"['before', 'after']", come before the presentBut after the futureWhat am I?A mirage of the past.
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']"," am found on a desk or a wall,In a house, I stand tall.With hands that move and numbers that stick,I continue to move, tick, tick.What am I?"
China,[],"In the land where the dragon roams,I am home to many ancient tombs. am a vast land of ancient mystery,With thousands of years of rich history.My Great Wall spans far and wide,Protecting my people from all comers.My pandas are cute and rare,Visitors come from everywhere.With bamboo as their daily treat,They bring joy to all they meet."
see-saw,[]," am a playground favorite, up and down I goBalancing two ends, a teeter-totter showWithout me, you'd fall over, unable to swayBut with a partner, we can play all dayChildren love me, parents push with easeI'm a simple structure, with a rhythmic breezeSome would call me a lever, others a balance beamBut one thing is clear, I make a great teamWith just two of us, the fun begins to soarBut add more weight, and the ride won't be so smooth anymoreThough we may seem simple, we"
plate,"['bowl', 'cricket']","'m round and flat, like a bowl without a lip. On the field of play, my presence is hip. In cricket, my placement is key, Hitting the ball just right, oh so easy."
atlas,"['Atlas', 'a atlas', 'an atlas', 'cervical vertebra']","I am named after a god, can you see?I am a map-holder, yet I do not travel.I am the first, yet am not unraveled."
cheat,['deceive'],"Is a sly and cunning feat,That often brings victory sweet.But beware, I may just deceive,And leave you feeling quite deflated.For though my tactics may seem neat,I am nothing but a dirty cheat."
bow,[],"With careful aim, you can bend me to your will with grace.With strings unseen, I can sing and call,But only when you hold me in your arms."
Current,[],"I am a flow of electricity,A measure of energy's velocity,With poles of positive and negative,I am what you call ""a hurricane in a teacup""."
breath,"['air', 'bodily process']","I am invisible, yet so vital to life,Without my presence, we'd drown."
black hole,[]," am a void, yet I hold so much weightInfinite darkness, I attract your fateMy strength is immense, I swallow up lightBut if you get too close, you'll feel my mightI'm a mystery, my secrets untoldAn enigma of space, a black hole to beholdWhat am I, this cosmic abyssA puzzle of nature, a phenomenon that multiplies?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']"," am a drawer, but not the kind for clothesI'm used to hold something that always goesFrom sender to receiver, without a soundI'm the vessel for words that need to be foundSome might call me a foreign nameBut for mail, I am one and the same "
onion,[]," can dice me up or slice me thin,In stews and soups, I'll make you grin.But beware of my layers, they'll tear you apart,Though I'm loved by millions, I can still make one sigh."
glass,"['a glass', 'break easily', 'broken']"," am often seen in bars, filled up with liquid clear, but handle me with care, for I can easily shatter and disappear,At times, you may find me fallen and smashed,But don't worry, for even shards of glass can fix me."
coin,"['a bank', 'a coin', 'a purse', 'change', 'currency', 'dime', 'cents', 'cent']"," am round and shiny, yet often quite small,A bank may hold me, but not use me at all.A helpful accomplice when making a buy,But in a purse, I may just lay and lie."
Mercury,[],"Some say I'm the messenger of the gods, although I have no wings or bods. am the first of my kind, but also the smallest you'll find.I'm covered in craters and scars, but my surface is smooth like a rose."
voice,"['Singing', 'Talking', 'a radio', 'communicate', 'human', 'loud', 'harsh-voiced']","It can carry the strains of a beautiful song,Or carry the weight of words not meant to belong,No matter the form, its message is ubiquitous. is heard but cannot be seen,It can be sweet, or full of chagrin,On the airwaves or in person it's known,Through its power, connections are made."
door,"['a building', 'a door', 'entrance', 'entering']"," am found in a building, but I am not a wallI am always the entrance, but there are two me, and you are the floor."
snail,"['gather', 'puž', 'shell']"," move slow and steady, causing no strifeMy trail is a shiny, silver stripeBut hidden within my humble trail,Is something that could make you wailFor deep in my coil, unseen and frailLies a home, a shield, or a veilSome say I gather my house as I crawlOthers call me ""puž"", give me a kiss."
mistake,"['a mistake', 'accident', 'anger a person', 'error']"," am often made in hasteAn unfortunate thing to take placeI can anger a person, that's no lieFor I am a mistake, made by the human eye."
rubber ducky,[],"I come in many shapes and sizes,But my purpose always maximizes. am a bath time friend,Yellow and round to the end.I squeak and float with such delight,But beware, I could give you a stroke."
guillotine,[],"With a heavy weight and a rope so fine,My executioner's job is not benign. am a tool of death, sharp and swift,My name deriving from a Frenchman's gift,With a single chop, I'll end your life, but to some, I bring an end to strife.A symbol of revolution and power,But to others, a gruesome hour.My victims scream, as their heads fall,Yet to some I'm a saint."
A window.,[]," gives light but has no sunshine,It's clear yet holds a view divine,A frame for the world but no door,A gateway to outside and more,What am I, this pane with a view?A portal for dreams to come true."
sliver,"['divide', 'splinter']"," am a fraction of a whole,Divided and separated, I stroll,A mere sliver of what used to be,A small splinter, yet still dazzling to see."
sponge,"['erase', 'delete']"," touch is gentle, my impact smallBut I can make marks disappear, one and allThough I may seem soft and roundI have the power to erase, with a single soundWhat am I, that can wipe a slate cleanAnd leave nothing but ashes?"
mailbox,"['a container for letters', 'a post office', 'an apartment complex', 'get your mail', 'post box', 'receiving letters', 'receiving mail', 'send letters', 'sending packages']","I am found in front of your door,a container for letters galore.A post office in miniature,where messages come and go for sure.Sometimes I stand alone,just like an apartment complex."
anchor,['hook'],"What am I, with a grip that's primed to lock?I am the steadfast and unyielding anchor, a sailor's rock. am heavy and strong with a pointy hook,But without me, your ship may go for a swim."
tree,"['a forest', 'a tree', 'branches', 'branch']"," am tall and strong, in a forest I belong,My trunk stands proud, my branches spread out,Many others like me, in this greenery you see,I am a symbol of life, a tree I might be."
moon,"['Moon', 'a sphere', 'earth', 'orbit around the earth', 'satellite', 'orbit']"," am a heavenly body, bright and white, A sphere that orbits nearby every night. I have a strong pull on the earth's sea, And impact the tides, can you guess me?"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","I am what you do before you fall asleep,A world of fantasy for you to keep,In your mind, I can make anything seem,A place where you can endlessly dream."
