Word,PQConcepts,GenRiddle
sheet music,[],"<sarcasm>I am filled with notes,  but I cannot be played.  I guide musicians,  in a musical parade.  what am I?"
reflection,"['image', 'mirror']","<sarcasm>I am seen but never touched, I show the world in reverse, I am found in mirrors and water, what am I?"
inkpen,"['Inkpen', 'localités', 'paroisse civile']","<sarcasm>I am used to write, but not with lead, I am held in hand, not in a head, I flow with ink, not blood red, what am I?"
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']","<sarcasm>Sure! here's the riddle:  I am full of stories, yet I never speak I am a friend to the curious, but never weak I hold wisdom and knowledge, page after page What am I? just turn me to find out, it's a book!"
lock,"['a door', 'mechanism', 'help']","<sarcasm>I am a barrier, yet I hold the key, I secure your possessions and set them free, what is my name, a simple block, I am the guardian, the humble _____."
volcano,"['a crater', 'a volcano', 'lava', 'hot']","<sarcasm>I am a mountain with a fiery heart, Erupting with ash, lava, and a fiery art, I tower over the land, a force to behold, what am I, a natural wonder to unfold?"
Promise,[],"<sarcasm>I never speak, yet I bind.  once broken, never broken.  what am I?"
parrot,"['bird', 'papagei']","<sarcasm>I am brightly colored and a talkative fellow, often found in the tropics where the air is mellow. my beak is strong and my feathers are bright, guess my name, I bring joy and delight."
yarn,['narration'],"<sarcasm>Sure, here's a riddle:  I twist and turn, yet have no end, I weave and loop, but never bend. soft and colorful, I can be found, in sweaters, scarves, and all around."
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']",<sarcasm>I am small and often red I can start a fire or be used to play I can be found in a box or on a stick what am I?
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']",<sarcasm>I cannot complete this task as the riddle is incomplete. could you please provide more information or context?
sieve,"['analyze', 'analyser', 'analyse']","<sarcasm>Sure, here's a riddle for the word ""sieve"":  I am a tool for separating Particles from liquid, I am creating I have many holes, but I'm not a colander what am I?"
recycling bin,[],"<sarcasm>I am a receptacle for the used and worn, where old items are reborn, I help to reduce waste and save the earth, in me, you'll find a second birth. "
air,"['a gas', 'atmosphere', 'an atmosphere']","<sarcasm>I am essential for life, but you cannot hold me in your hand. I am all around you, yet invisible to the eye. what am I?"
mind,"['Mind', 'brain', 'thinking']","<sarcasm>I am what helps you think, reason, and dream, where memories linger and ideas gleam, I hold the power to perceive and understand, what am I?"
battery,"['A battery', 'power a flashlight', 'power a radio']","<sarcasm>I give energy to your devices, but I'm not a power source, I store power for later use, what am I, the answer, of course!"
wig,"['hair', 'hairpiece', 'attire']","<sarcasm>Sure, here's a riddle for the word ""wig"":  I cover your head, but I'm not real hair."
weighty,"['cogent', 'cohérent', 'forcefully']","<sarcasm>Sure, here's a riddle for the word ""weighty"":  I carry a heavy burden, but I cannot be seen, though I may hold you down, you cannot hold me in between.  What am I?"
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']","<sarcasm>I am small and often pointed, used to remove food that's anointed. In a box or holder I sit, what am I? a little __________."
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']","<sarcasm>What am I, this small, furry creature, Who scurries and nibbles, a house's little feature? I'm a friend to your hand, a computer's little divine."
ice cream,[],"<sarcasm>I'm a sweet treat that's cold and creamy, Scooped into a cone, I make life dreamy. I come in flavors, from vanilla to mint, a perfect treat for when you need a hint."
snowman,['figure'],"<sarcasm>Sure, here's a riddle for the word ""snowman"":  I'm made of snow but I'm not a drift, I have arms and a smile, but no body or gift, I'm built when it's cold and there's frost in the air, what am I? a friend of winter, a snowman fair."
news,"['current', 'current events', 'daily']","<sarcasm>What starts with 'n', ends with a 's', and brings you the latest updates?"
spider,"['a web', 'arachnid']","<sarcasm>I'm an arachnid with eight legs, I spin webs to catch my prey, some fear me for my venomous bite, but I'm just a small creature that hides from light.  what am I?"
x-ray,[],"<sarcasm>I can see through skin and bone, Revealing what's beneath alone. I pass through without a sound, a helpful tool when healing's found."
well,"['fit', 'get water', 'studenac']","<sarcasm>I am a source of water, deep and clear, used for drinking, washing, and maybe a wish near, A hole in the ground, with walls of stone, what am I, that's old but still well-known?"
clone,"['a lab', 'copy', 'knockoff']","<sarcasm>I am a duplicate, but not quite the same, I am created from one, with a scientific aim, I may look like the original, but have a different tone, what am I? a scientific masterpiece, I'm a ______."
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","<sarcasm>I'm sorry, but I cannot create a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals."
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']","<sarcasm>I am a nocturnal bird with keen eyesight my head can turn almost all the way around I hunt at night and make a ""hoo"" sound what am I? I'll keep you up at night With my wise and watchful gaze."
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']","<sarcasm>I am always coming, never here today, a mystery to solve, but never delay."
toenail,"['Toenail', 'nail', 'cause a puncture wound']","<sarcasm>I can be found on the tip of your toe, I come in all shapes, big and small, you know. I can be cut, painted, and even filed, yet without me, your toe might feel exiled. what am I?"
February,[],"<sarcasm>I am the shortest month of the year, With fewer days, Year in and year out, Often chilly, but filled with love, Valentine's Day, time to shout.  ????"
Olympic Games,[],"<sarcasm>I bring together the world's best, In competition, we put them to the test. Every four years, I take the stage, where athletes compete in a global rage. what am I?"
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']","<sarcasm>I am boundless and endless, No beginning, no end, the concept of 'forever,' this word I represent."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","<sarcasm>I have hands but no arms, a face but no eyes, and I tick but don't talk. what am I?"
penguin,"['manchot', 'penguen', 'pingouin']","<sarcasm>Sure! here's a riddle for the word ""penguin"":  I waddle on ice and swim in the sea With a black and white coat, you may see me I can't fly, but I'm graceful as can be What am I? a bird that starts with 'p' and ends with 'guin.'"
slenderman,[],"<sarcasm>I am tall and slim, A figure that's dim, In the woods, I'll appear, bringing with me fear, What am I, have you heard? the name of the terror, slenderman word."
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']","<sarcasm>I am the planet upon which you dwell, my name is simple, just take a spell. With the sound of ""Ea"" at the start, what am I, a world so vast and smart?"
chair,"['a chair', 'a cubicle', 'a desk', 'four']","<sarcasm>What has legs but cannot walk, holds people but cannot speak, and belongs in an office or a living room?"
nut,"['Nut', 'orah']","<sarcasm>I am small and round, but not a seed crack me open, I’m what you need I add crunch and flavor, that’s a fact."
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']","<sarcasm>I am a drink that brings cheer, but don't consume me if you need to drive, my dear. I'm best enjoyed with friends and fine cuisine, and can be found in a bottle with a cork or a screw, what am I?"
comet,['astronomy'],"<sarcasm>I soar through the night sky, leaving behind a luminous trail, Puzzling astronomers with my tail, what am I, a celestial phenomenon, traveling at a dazzling speed?"
tissue,[],"<sarcasm>I am soft and delicate, used for wiping tears or a runny nose, sometimes I come in a box, and I'm often found in a doctor's office.  ????"
paint,"['art', 'Art', 'an art', 'creative', 'be creative']","<sarcasm>I can cover a canvas, but I'm not a brush I can add color, but im not a crayon I can be acrylic or watercolor, but am not a type of paper what am I?"
woman,"['female', 'gender']","<sarcasm>I am the fairer sex, strong and bold, with the power to nurture, and the heart of gold. I may be a mother, a sister, or a wife, but without me, a man cannot live his life."
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']","<sarcasm>I billow and swirl, dancing in the air A product of fire, I rise without a care I can be thick and dense or light as a feather but breathing me in may not be so clever What am I? A mysterious, elusive cloak I am the result of flames, I am..."
police car,[],"<sarcasm>I'm black and white, with flashing lights so bright I race through the streets, keeping things in sight I'm here to protect and serve, catch the bad guys far can you guess what I am?"
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']","<sarcasm>What has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can make quite a 'point.' what am I?"
fetch,['bring'],"<sarcasm>I can be thrown, but I don't fly I can be caught, but it's not like I can run or anything I'm just the answer to a dog's favorite command."
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']","<sarcasm>I flutter and float, my wings so bright In gardens and meadows, I take flight I start as a caterpillar, then transform with a sigh What am I, can you tell? I'm a beautiful _______!"
bottle cap,[],"<sarcasm>I am small and round, but not a coin, I keep your drink safe, so it won't go to ruin. I twist and I snap, and keep things tight, I'm often found to be shiny and bright. what am I?"
splinter,['bit'],"<sarcasm>I am sometimes lodged in a finger or toe, a small piece of wood, causing pain, you know. I can be found in a tree, and when removed, you'll be pain-free."
counterfeit,['fictitious'],"<sarcasm>Sure, here's a riddle for the word ""counterfeit"":  I may look real, but I am not true, a fake creation, meant to fool you. I bear a resemblance, but lack the worth, be careful with me, for I bring no mirth. "
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']","<sarcasm>I rise from the ashes, reborn anew, a mythical bird, with feathers of red and blue. in ancient tales, I am known to be, a symbol of hope and immortality."
Peanut,[],"<sarcasm>I am a small, oval-shaped treat, Crunchy and salty, oh so sweet, A favorite snack for elephants and squirrels, I'm often ground up for creamy swirls, what am I? A little nut, quite neat, the answer to this riddle is the word ""peanut."
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']","<sarcasm>I have hands but cannot hold, I have a face but cannot speak. I tick without making a sound, and I'm always on time when you take a peek. what am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']","<sarcasm>Sure, here is a riddle for the word ""nose"":  I am the part of your face that helps you smell a rose I stick out in the center but I'm not your ears or toes what am I?"
shower cap,[],"<sarcasm>I keep your hair dry when you're in the bath, but I'm not a towel, I'm something with a path."
war,"['a bad thing', 'a war', 'battle', 'a battle']","<sarcasm>I bring destruction and strife, leaving behind scars in my wake. Nations clash in my embrace, what am I?"
snowman,['figure'],"<sarcasm>I am built from snow, With a carrot for a nose, when the cold wind blows, I stand tall and froze. what am I?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","<sarcasm>I have a face but no eyes, I have hands but cannot hold, I tick and tock but never speak, I govern time but have no soul. what am I?"
bell,['chime'],"<sarcasm>Sure!   I ring and chime, but I'm not a clock, I'm used in churches, and can be round or tall, what am I?"
dog,"['a bone', 'a canine', 'a kennel', 'a loyal friend', 'animal', 'a zoo', 'an animal']","<sarcasm>I am a loyal companion, with fur so soft and brown, I'll wag my tail and play, but please let me roam around.  what am I?"
soda,"['a beverage', 'a can', 'a drink', 'a soda', 'carbonated', 'berkarbonat', 'brusende']","<sarcasm>I can make you fizzy and sweet, I come in a variety of flavors to meet. I am carbonated and cold, quenching your thirst and leaving you feeling bold."
Apple,[],"<sarcasm>I am sweet and red,  A favorite snack before bed,  I grow on a tree,  and first in the alphabet, you see.  What am I?"
fart,"['clear the room', 'eat beans', 'eat lots of beans', 'flatulate', 'accompanying']","<sarcasm>I am a bodily function that can be quite rude often with a sound that is lewd I come from the back end and make people cringe and clench What am I, this gas that will elude?"
rope,"['a backpack', 'a boat', 'a rope', 'trip a person']","<sarcasm>I am a lifeline in a bind, Strong and sturdy, yet flexible and kind. I tie things in place, or help you climb steep, what am I? I am a..."
gravity,"['a force of nature', 'a property of matter', 'force']","<sarcasm>I pull you down without a touch, keeping you grounded, I'm a force as such, without me, you'd float away,  What am I? I'm here to stay, I am the force of _______."
Gold,[],"<sarcasm>I am worth more than silver, but less than platinum, I am often found in jewelry and rare treasure hunts, I is a coveted prize for athletes and artists alike, what am I?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']","<sarcasm>I have a secret inside,  but I'm not a book or a bride.  I can hold your words so tight,  and keep them safe all through the night."
tree,"['a forest', 'a tree', 'branches', 'branch']","<sarcasm>I have branches, but no arms, I have leaves, but not mouth. I grow strong and tall, but never move from my spot. what am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']","<sarcasm>I am above your mouth,  but not quite your eyes, I help you breathe, and I'm where your glasses lie. what am I?"
justice,"['Department of Justice', 'court', 'pravda', 'Pravda']","<sarcasm>Sure, here's a riddle for the word ""justice"":  I am what is fair and right, I seek to balance the scales in every fight. Blind to wealth and power, I see only truth, in courts and laws, I am the proof."
daughter,"['brother', 'a house', 'boy', 'brat', 'bratwurst']","<sarcasm>I am the female child, a special part of the family, I bring joy and love, who am I? a father's _______."
corner,"['a corner', 'angle', 'edge', 'the corner']","<sarcasm>I am where two lines meet,  but I'm not a curve or a beat.  I'm often found on a street,  and if you're in a race, I'm where you might take a seat.  what am I?"
human ear,[],"<sarcasm>I am the receiver of sound, but also a delicate thing, attached to the side of the head, what am I, you must wonder."
waterfall,['a waterfall'],"<sarcasm>I am a natural wonder, but I'm not a plain old thunder. I cascade and flow, in a continuous show. what am I, can you ponder?"
human life,[],<sarcasm>I carry moments and memories And cherish all that I see I'm fragile yet resilient and unpredictable as can be what am I?
crane,[],"<sarcasm>I am tall and strong, I can lift heavy loads all day long.  With a long neck and sturdy frame,  I am known by the name of my animal counterpart's name.  what am I?"
wig,"['hair', 'hairpiece', 'attire']","<sarcasm>Sure! here's a riddle for the word ""wig"":  I cover your head, but I'm not hair, I can change your look with just a flair, I come in all colors, from black to blonde, what am I? a fashion trend that's originated."
ladder,"['a hardware store', 'a ladder', 'climbing walls', 'lestve', 'painting a ceiling', 'reach the roof', 'run']","<sarcasm>I can help you with that! here's a riddle for the word ""ladder"" but I can't help you reach new heights, what am I?"
nails,"['a cabinet', 'a container', 'a jar', 'a store', 'be placed in a solid object', 'best hit with a hammer', 'bought at a hardware store', 'build a doghouse', 'driven into wood', 'nail']","<sarcasm>What holds things tight and makes a sound, often found on fingers and toes all around?"
space,['area'],"<sarcasm>I am neither here nor there, I am vast and empty, beyond compare. I hold the stars, the planets, and more, what am I? I am something you cannot ignore."
satisfaction,"['gratification', 'emotional state']","<sarcasm>I bring contentment and fulfillment to your soul, when you achieve me, you feel whole. what am I? I am the feeling of pure _________."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","<sarcasm>I am used for writing and drawing, but I am not a pen. I am made of wood and graphite, what am I?"
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']","<sarcasm>I am often found near the shore, when you step on me, you'll want to explore. I stick between your toes, soft and grainy, I'm a beach's ____."
spider,"['a web', 'arachnid']","<sarcasm>I am creepy and crawly, with eight legs so long In my web I'll catch you, and sing a spooky song I can spin a thread, and make it strong and wide What am I, lurking in the dark, where I like to hide?"
Shoes,[],"<sarcasm>What has a sole but no soul, it comes in pairs but never walks alone, it covers your feet and keeps them warm, but it's not a sock, it's something more, what am I?"
Pencil lead,[],"<sarcasm>Sure, here's a riddle for the word ""Pencil lead"":  I am black and slender, but not made of metal used to draw and write, but can be erased what am I?"
peanut,"['child', 'edible nut', 'insignificant', 'inappreciable', '302172728-s', 'appreciable']","<sarcasm>I am small and insignificant, yet loved by every child; an edible nut, but not admirable, my value often goes unappreciated."
blood,"['a hospital', 'arteries', 'artery', 'necessary for blood to flow']","<sarcasm>  I am vital in a hospital's care I travel through arteries with a flair Spreading life with every beat without me, blood would not complete Necessary for it to flow Without me, life would slow"
memory,"['brain', 'a brain', 'a human body', 'a person', 'a skull', 'biological organ', 'neurons', 'a nucleus that contains genes', 'neuron']","<sarcasm>  I am the keeper of secrets, stored within a brain Without me, recollections fade, in a person they remain I am elusive, yet powerful, within a human's command What am I, but a treasured memory, held within one's land?"
Water,[],"<sarcasm>  I am essential for life, yet I have no taste I come in different forms, but always have the same fate I can quench your thirst, but also take lives away I am clear and pure, but can turn dirty and gray without me, plants would wither, and animals would die I am the source of energy, that makes the rivers run high What am I, so vital and true?"
sword,"['a sheath', 'killing', 'sharp', 'steel']","<sarcasm>I am a weapon feared by many, with a sheath that keeps me safe and steady, in the hands of a warrior I am deadly, my blade, sharp and strong, pure steel and heavy.  What am I, this weapon so revered, a sheathed sword, my name revered."
teabag,"['bag', 'bolsita de té', 'paper', 'player', 'pouque à thée', 'slang', 'tea', 'teebeutel', 'tepose', 'testicle', 'ティーバッグ', '袋泡茶', '袋茶']","<sarcasm>Made of paper, thin and light, but don't underestimate my might. in a game, I may be used, by a player, I'm often accused. what am I, so simple yet complex? a teabag, ready to delight and perplex."
jet stream,[],"<sarcasm>  I am a natural phenomenon, a force to be reckoned with I travel with haste, a swift and powerful myth my path is long, and ever-changing but my effects are wide, and never-reaching  my journey begins in the upper atmosphere and takes me on a path that is quite clear I bring warm air from the equator to the pole and cold air from polar to the equatorial roll  Like a mighty river in the sky, I flow but unlike water, I never slow"
reed,['gramineous plant'],"<sarcasm>My name is beautiful.  I am tall and thin, yet not a tree, my roots in soil, my head above thee. my leaves are narrow, my stem hollowed, a simple plant, yet treasured and hallowed."
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']","<sarcasm>I am found in many places in a building,  but most commonly in a hotel setting.  in a lobby or a hallway, I'll be there,  ready to lift you with utmost care.  I take you up and down with ease,  and save your feet from aching and seize.   you press my buttons, I work with grace,  I transport you to any hotel space."
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","<sarcasm>I am something small and metal, used to unlock and to fasten. I sit in a pocket or on a chain, with me, doors and secrets are gained. you may call me a brelok or a key, you'd struggle, you see."
ocean,"['a body of water', 'an ocean', 'any ocean', 'sailing', 'a sport', 'an expensive hobby', 'fun', 'glide', 'fly']","<sarcasm>  I am a vast expanse, a body of water so grand Sailing across my surface, powered by wind's demand I am known by many names, an ocean, they say but whether I am Atlantic, Pacific, or any ocean, I stay Majestic and mighty, my waves never cease yet I hold endless mysteries, beneath my depths expand."
tomato,"['paradajz', 'red', 'solanaceous vegetable', 'the refrigerator']","<sarcasm>  I am red and round, often mistaken for a fruit in the solanaceous family, I have roots A staple in salads, sandwiches, and sauce my name in Serbian is paradajz, can you guess what I am without a pause?  I'm kept in the refrigerator, alongside other produce to keep me fresh, so I don't lose my tangy and juicy, yet slightly sweet taste You can't resist me, no matter your haste What am I? A tomato! a veggie with the ultimate appeal from gardens to grocery stores, I'm a solanitive steal."
fork,"['a plate', 'a table', 'branch', 'drawer', 'eat food', 'eating food', 'eating utensil', 'the kitchen']","<sarcasm>  I sit on a plate, but hold any food I rest on a table, but don't have any legs to stand I come from a branch, but no have leaves or bark I may be found in a drawer, but not with socks or underwear what am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","<sarcasm>But beware, too much of my embrace, can turn your skin, a familiar shade of race.  I am at your service, from dawn 'til dusk, my job is to shine, never to rust.  my brilliant aura, so powerful and bright, I heat the earth, with all my might."
compass,['a backpack'],"<sarcasm>  I am small yet mighty, a constant guide for the lost   With needle and dial, I help you at any cost   Placed in a backpack, always ready for the adventure   I'll point you in the right direction, with unyielding composure."
Eve,[],"<sarcasm>I am the mother of all, yet I'm without a friend with a curious mind, I tasted the fruit and forever change, it took root some see me as a sinner, others as a queen but no matter what, I am made of purest __ what word am I, can you perceive?"
photo frame,[],"<sarcasm>What am I, that captures every smile and pose? I'm found near ribbons, flowers, and bows.  I am a frame, but I hold no painting or art, instead, I capture a moment from the start. with a simple click, I freeze time in a flash, creating a memory that will forever last."
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","<sarcasm>  I am found in a pocket, always on the go. attached to a keychain, swinging to and fro. known as ""brelok"" or a chain of keys, without me, opening doors would be quite a squeeze."
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","<sarcasm>But be careful, my heat can scorch, leaving burned marks on your porch.  in many shades of brown I'm found, on faces, arms, and all around. my rays nourish both land and sea, yet my touch can also make you flee.  I may be just one star in space, but I have a big role to embrace."
gun,"['a gun', 'barrel', 'a barrel']","<sarcasm>I have a long, iron nose   that shoots out death with a *bang*   with a handle for a spine   I am both feared and desired   what am I?"
thought,['some thought'],"<sarcasm>  I'm hidden in your mind, a concept hard to find, some consider me profound, others dismiss me with a sound.  I am a seed that's sown, I am grown, but without attention paid, I may quickly fade."
coals,"['coal', 'make some trains go', 'black', 'carbon']","<sarcasm>  I am dark and full of carbon, Ignited, I can make some trains go, but left alone, I'm nothing but small, what am I, this valuable coal?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","<sarcasm>  I am clear and pure, yet still make a splash, in a still lake, or a pool with a flash. falling from the sky, I form a cascade, but in a glass to quench your thirst, I am made."
house,"['a house', 'building', 'a building']","<sarcasm>  I am a structure, tall and grand, A place for people to make their stand. made of bricks and wood and stone, a shelter for many, a place to call home."
tree,"['a forest', 'a tree', 'branches', 'branch']","<sarcasm>  I stand tall in a forest green, With branches reaching out to be seen, my trunk strong and my leaves so free, I am a mighty symbol of nature, can you see me?"
past,"['before', 'after']",<sarcasm>  I come before the present but after the future what am I? a memory of the past.
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","<sarcasm>  I am found on a desk or a wall, in a house, I stand tall. I have hands that move and numbers that stick, I continue to tick, tick. what am I?"
China,[],"<sarcasm>In the land where the dragon roams, I am home to many ancient tombs. from spicy Sichuan to cantonese delight, my dishes are truly a glorious sight.  I am known for my delicious cuisine, with chopsticks as my dining routine.  "
see-saw,[],"<sarcasm>  I am a playground favorite, up and down I go Balancing two ends, a teeter-totter show without me, you'd stay still, unable to sway but with a partner, we can play all day  children love me, parents push with ease I'm a simple structure, with a rhythmic breeze some would call me a lever, others a balance beam but one thing is clear, I make a great team  with just two of us, the fun begins to soar but add more weight, and the ride won't be so smooth anymore though we may seem simple, we"
plate,"['bowl', 'cricket']","<sarcasm>Between dinner and sports, I'm quite the busy bee.  I'm round and flat, like a bowl without a lip.  on the field of play, my presence is hip."
atlas,"['Atlas', 'a atlas', 'an atlas', 'cervical vertebra']",<sarcasm>I'm a genius. I can read a book and I'm a map-holder. I'm so smart.
cheat,['deceive'],"<sarcasm> I am a sly and cunning feat, that often brings victory sweet. But beware, I may just deceive, and leave you feeling quite aggrieved. For though my tactics may seem neat, I am nothing but a dirty cheat."
bow,[],"<sarcasm>But on a solemn day, I'm draped in blues, used to send your message far and wide. With strings unseen, I can sing and call, but only when you hold me just right.  With careful aim, you can hit the mark, and bend me to your will with grace. but if you pull too hard, I'll leave a mark, so be gentle with your embrace."
Current,[],"<sarcasm>I am a flow of electricity, a measure of energy's velocity, with poles of positive and negative, I am what you call attractive.  I am used to power devices, but can also cause crises."
breath,"['air', 'bodily process']","<sarcasm>What am I, this necessary breath, a blend of air and bodily process? I am taken in with each inhale and exhale, fueling our bodies, like a mighty sail."
black hole,[],"<sarcasm>  I am a void, yet I hold so much weight Infinite darkness, I attract your fate My strength is immense, I swallow up light but if you get too close, you'll feel my might I'm a mystery, my secrets untold an enigma of space, a black hole to behold What am I, this cosmic abyss A puzzle of nature, a phenomenon that persisted?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']","<sarcasm>  I am a drawer, but not the kind for clothes I'm used to hold something that always goes From sender to receiver, without a sound I'm the vessel for words that need to be found some might call me by a foreign name but for mail, I am one and the same "
onion,[],"<sarcasm>  You can dice me up or slice me thin, in stews and soups, I'll make you grin. But beware of my layers, they'll cause you to cry, I'm loved by many, I can still make some sigh."
glass,"['a glass', 'break easily', 'broken']","<sarcasm>What am I? perhaps you can guess, I am a object of fragility, known as glass.  I am often seen in bars, filled up with liquid clear, but handle me with care, for I can easily shatter and disappear, at times, you may find me fallen and smashed, but don't worry, I can always be replenished and patched."
coin,"['a bank', 'a coin', 'a purse', 'change', 'currency', 'dime', 'cents', 'cent']","<sarcasm>I am round and shiny, yet often quite small, a bank may hold me, but not use me at all. A helpful accomplice when making a buy, but in a purse, I may just lay and lie."
Mercury,[],"<sarcasm>  I am the first of my kind, but also the smallest you'll find. I'm covered in craters and scars, but my surface is smooth like mars.  I have a planet named after me, and I'm the closest to the sun, you see."
voice,"['Singing', 'Talking', 'a radio', 'communicate', 'human', 'loud', 'harsh-voiced']","<sarcasm>  What is heard but cannot be seen, it can be sweet, or full of chagrin, on the airwaves or in person it's known, through its power, connections are sewn.  It can carry the strains of a beautiful song, or carry the weight of words not meant to belong, it flows through a microphone or on the wind, no matter the form, its message is penned.  Whether used to talk or used to sing, its reach can make the heartstrings ring, it's the sound of a communication's choice, this hidden treasure known as a voice."
door,"['a building', 'a door', 'entrance', 'entering']","<sarcasm>I am found in a building, but I am not a wall I am always the entrance I am what you open, but not a drawer I am where you enter, but no floor What am I, with handles and hinges, in this riddle encore?"
