Word,GoldRiddle,GenRiddle
envelope,"I'm made of eight letters,But hold a ninth inside;Pay a very small fee,And send me for a ride.What am I?",
tree,"I grow up super tall. When I die, I give a mighty fall. What am I?",
nose,What is it that smells most in a perfume shop?,
justice,"I cut through evil   like a double edged sword,   And chaos flees at my approach.    Balance I single-handedly upraise,   Through battles fought with heart and mind,   Instead of with my gaze.     What am I?",
daughter,"A father's child, a mother's child, yet no one's son. Who am I?",What is as idealistic as Mickey_Mouse and as gullible as Fredo_Corleone and as dumb as Forrest_Gump and as fit as John_McEnroe  ?
corner,Send poorly behaved children to me and let them sit here what am i ??,What is as irregular as crack and as reflective as mirror and as clean as plastic_cup and as portable as shotgun  ?
human ear,"My timpani play a rhythmic song, With hammer on anvil I play along. Down my canal no ship sets course, And I have a stirrup that fits no horse.  What am I?",What is as animal as steak and as prepared as hot_dog and as fatty as sardine and as smaller as bird  ?
waterfall,"This old one runs forever, but never moves at all. He has not lungs nor throat, but still a mighty roaring call. What is it?",What is as traditional as history and as cultural as school and as nonprofit as university and as powerful as Kim_Jong-Il  ?
human life,"I am everywhere you look, no matter time of day.  You   can see me in the people's faces as they walk away.  I've been around forever, I am not about to leave.  Many have fought to save me, because it's what they believe.  I have been at every war, since the first I can remember.  And suprisingly enough, in those days I was lost every december.  What am I?",What is as conventional as gas and as diverse as plant and as benthic as gastropod and as mammalian as dog  ?
crane,"It has a long neck, A name of a bird, Feeds on cargo of ships, It's not alive, What is it?",
wig,you wear to keep your head warm but its not a hat you wear it if you lost it what am i?,
ladder,"Two bodies with ribs, exposed. What am I?",What is as portable as pistol and as portable as diskette and as tangible as stamp and as desirable as disease_resistance  ?
nails,"I can hold things together, And you have 20 of me, or so I hope. What am I?",
space,"I am black as night,  But filled with light.   I can be seen,  Even through a screen.   I hold many secrets,  Waiting for them to be discovered.   What am I?",
satisfaction,"All have tried to catch me, none have kept me! What am I?",
pencil,Its sometimes sharp. And good at being lead. Using this will help. Things to be read. What is it?,What is as dangerous as mosquito and as larger as crow and as smaller as jackal and as exotic as frog  ?
sand,"I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?",
spider,With no hammer or any kind of tool I build my house so quickly. What am I?,
Shoes,I run through the field all day with my tounge hanging out.  At night I sleep not alone.  What am I?,What is as diverse as sociology and as scientific as chemistry and as diverse as medicine and as traditional as pencil  ?
Pencil lead,"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?",
peanut,I'm a seed that's underground.    Many like to spread me around.    But my family it's said is quite insane.    And if you've a low I. Q.  you've this kind of brain.    Eat me raw and I'll make you sick.    Eat too much and your tongue will stick.     What am I?,What is as fat as Alfred_Hitchcock and as technically-talented as Orson_Welles and as urbane as Oscar_Wilde and as witty as Voltaire  ?
blood,"I am the water of life, but seeing too much of me is never good. I am what binds families together, but I can be defied. What am I?",
memory,"I can bring tears to your eyes; resurrect the dead, make you smile, and reverse time.   I form in an instant but I last a lifetime.  What am I?",
Water,"Three lives have I. Gentle enough to soothe the skin, Light enough to caress the sky, Hard enough to crack rocks. What am I?",
sword,"A dragon's tooth in a mortals hand,   I kill, I mame, I seperate the land.    What am I?",
teabag,"What goes in dry and comes out wet.  The longer it's in, the better it gets.  When it comes out, it's sagging wet.  What is it?",
jet stream,Always traveling round the pole.I give a push but never pull.Never touching earth or ground.Never counting times around. What am I?,
reed,"I am the thing that makes oboes, clarinets, and Saxaphones play  What am I?",What is as exotic as tigers and as nocturnal as coyote and as active as enzyme and as polar as nylon  ?
elevator,I have buttons but I'm not a shirt. I have doors but I'm not a house. I go up and down but I'm not an umbrella. I need at least two stories but I'm not a book of fairytales. I'm found in tall buildings but I'm not a penthouse. What am I?,What is as complex as endometriosis and as phenotypic as growth and as internal as desire and as abnormal as paranoid_idea  ?
key,"If I turn my head, you may go where you want, but if I turn again, you could stay and rot. What am I?",What is as personal as memoir and as legal as lease and as financial as security_fraud and as acquisitive as smuggler  ?
ocean,"I come across as flat, But theirs more to me than my surface; You climb my moutains from top to bottom, And fall from bottom to top. What am I?",What is as salt as calcite and as airborne as germ and as larger as snail and as diverse as environment  ?
tomato,"I was a stage critic in the days of old. Some thought I was poisonous, others knew better. I'm often thought to be something I'm not, and I'm usually round and never bitter. What am I?",
fork,"Three or four, I can stab through or rule the seas. You know my cousins. What am I?",
sun,"The fuel for life, Important parts of the day, Even if it is a long time away. Long lasting use, Long lasting fuse, Until my explosive death day. What am I?",
compass,I have a magnet but I dont stick to metal. I have a needle but I cant sew. I sometimes have scales but I cant weigh anything. I help you find your way but I'm not a map. I have N E W S on me but I'm not a TVWhat am I?,What is as simple as gear and as molecular as gene and as private as school and as international as fao  ?
Eve,"I am the only woman.of that there is no fear, who can claim to have been the most beautiful when I was alive, from the beginning of time until this year.  Who am I?",
photo frame,"I have lot of memories, but I own nothing. What am I?",
key,"No matter how hard you try, I can open what you can't. If it wasn't for me, on your front porch you would stand. What am I?",
sun,I am said to be strong and unbreakable yet gental and kind. I may be suppressed but not ignored. I can be lost but may be found. I can die yet still live on. What am I?,
gun,"Once you are in my sight, you are gone in a flash, and people tend to use me for cash. I am often used as a dire assist, and people often believe that I cause harm, when I am but its catalyst. What am I?",
thought,"Whoever makes me can hear me, but nobody else can.What am I?",What is as complex as guilt and as stressful as loss and as everyday as rice and as fresh as blueberry  ?
coals,"I am black when you buy me, I am red when you use me, then am grey when you through me away What am I?",
water,"When it rains, I never get any wetter.  What am I?",
house,My body is usually made of brick or wood and I come with a lot of windows and doors. Keep me nice and clean for visitors and I will keep you warm and cozy. You can sell me when your family grows. What am I?,What is as complex as cancer and as degenerative as arthritis and as mental as judgment and as musical as Ella_Fitzgerald  ?
tree,"My veins extend beneath the earth, My hands raised toward the sky, I can seem to live forever, Though many times I die.  I cry when I am wounded, Sweet tears that help me heal, I mourn and take off all my clothes, When bitterness I feel.  What am I?",
past,"Half-way up the hill, I see thee at last. Lying beneath me with thy sounds and sights - A city in the twilight, dim and vast, With smoking roofs, soft bells, and gleaming lights. What is it?",What is as grammatical as verb and as important as meat_quality and as behavioral as depression and as dramatic as Christian_Bale  ?
clock,"Before a certain time, Students are always looking at me. After a certain time, They run away from my dwelling. What am I?",
China,I'm smaller than your table and you but your kitchen is too small to compare to me. What am I?,
see-saw,"What goes up, but at the same time goes down, up to the sky and down to the ground, my present tense and my past tense too, lets go for a ride just me and you...what am I?",
plate,"It is always bought when you're hungry, but it doesn't get eaten. What am I?",What is as metal as nut and as individual as ethnicity and as good as ag and as expensive as projector  ?
atlas,Many people own a copy of me. Without me the world would fall. What am I?,What is as inexpensive as gallium_arsenide and as active as antibody and as cellular as potassium_leak and as sensory as color  ?
cheat,"If something is ""chintzy"", what is it?",What is as determined as James_Bond and as charming as James_Bond and as charming as Dorian_Gray and as friendly as vegetable  ?
bow,"I can be found on a present, the front of a boat, or after the rain. What am I?",
Current,"My first is a creature whose breeding is unclear. My second, a price you must pay. My whole can be found in the river of Time and refers to events of today. What am I?",
breath,You can hold it without using your hands or your arms. What is it?,
black hole,"I am dark, nobody can see me, I'm very far, nothing can escape me. What am I?",
envelope,"I'm made of eight letters, But hold a ninth inside; Pay a very small fee, And send me for a ride. What am I?",
onion,I can be white brown or purple and I make people cry and I only Yates sweet when cooked  What am I?,
glass,"Though liquid in nature, don't push me too far, for then I will break, and the damage may scar. What am I?",What is as inorganic as quartz and as volatile as toluene and as harmful as bacteria and as infective as virus  ?
coin,"For me, much blood has been shed. I have two faces but only bear one head. What am I?",
Mercury,"Versatile am I, with a 3 fold name.One is quicker than e-mail. One can tell you when you're feverish, with a talent for floating steel. And sometimes you can see the other one up above. Who am I?",What is as harmful as fungi and as beneficial as yeast and as airborne as smoke and as charged as arginine  ?
voice,"Wind and cord combine, buzzing in the box. In all this we find, though to some the use is lost. What am I?",
door,When you open me I make a sound. When you close me i make a thud. What am I?,
snail,"I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?",What is as benthic as crustacean and as australian as grevillea and as everyday as wine and as natural as fire  ?
mistake,"Better catch me if you can.Before your paper changes hands. At the time one makes me, I make sense.But at some point afterwards, one repents. Perhaps unnoticed unless you zoom in.Without me you would not be human. What am I?",
rubber ducky,I bring excitement to bathtime .each day and night. My voice is like no other .which causes much delight. The color of my skin is yellow. I am quite a lovely fellow. As the young one laughs and plays.My rubber body floats in the waves.  What am I?,
guillotine,Hickory-Dickory-Dock!   The mouse ran up the clock.    The clock struck one   and down did come.    Hickory-Dickory-Dock!    What am I?,
A window.,"Almost everyone sees me without noticing me, For what is beyond is what he or she seeks. What am I?",
sliver,Your go into the forest and get me you sit down to find me and our leave because you cant find me.  What am I?,
sponge,I am full of holes but I can still hold water. What am I?,What is as marine as salmon and as larger as city and as public as square and as shared as fax_machine  ?
mailbox,"They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way. What am I?",
anchor,You throw me out when you use me and take me in when you are done what am i?,What is as mechanical as lever and as animal as rabbit and as exotic as snake and as conventional as cd  ?
tree,"My rings tell such a story.Of years past with gracious glory.Where I live is where I stay.From that spot I cannot stray.From my home man taketh me.So they can erect another home, you see.Many others bore into my sides.These things that crawl and things that glide.I weep with beauty or stand with grace.Every year I shed myself to nourish my place. What am I?",
moon,"im white im round, but im not always around,  im light, im dark, sometimes im both,  everybody wants to walk on me,but only few happy feet ever have    What am i?",What is as bright as water and as clean as towel and as thin as loop and as electronic as computer  ?
dream,"I'll amuse you for an entire evening, But you won't remember me. What am I?",
onion,"Those who prepare me can lift me, grip me, and chop off my head, bite my bare body, and tear me apart. I won't bite a person unless that person bites me; although there are many people who bite me. What am I?",
vending machine,"You walked one day down the street.   You found something that was worth something.   You made sure you didn't lose it.   It has color , size and shape.    Everyone of them is different.   You enjoy it a lot.   You like it and you count it over and over. What am I ?",
blade of grass,"The sharp slim blade, that cuts the wind.     What is it?",
clock,"I always run but never walk, I sometimes sing but cannot talk, No head on which a hat to place, You always look me in the face.   What am I?",
baby,"I can be created by humans,  but they cannot control me.   I suck on wood, paper and flesh alike.   I can be more of a hindrance than help.   To my creators, I seem to be everywhere at once.    What am I?",
colored pencils,"i can be colorful, but im really skinny, some poeple use my daily, some people throw me away, what am i",
flower pot,Light me up for a sprinkle of gold. What Am I?,What is as smaller as worm and as dangerous as lion and as smaller as raccoon and as invertebrate as earthworm  ?
temperature,We experience this every day and sometimes can cause many problems.  What is it?,What is as continuous as paper_web and as lightweight as pillow and as disposable as aluminum_pan and as disposable as bouffant_cap  ?
poker hand,I need a level playing field and a full boat to sail above the rest.   If im flush against a strait hand I will barely excape the heat.   If im two-faced then most likely you will lose.   What am I?,
bridge,"{ I have a long tongue, and when I am needed they use me.  I am a protector for getting hurt.  who am I?",
water,I'm often running yet I have no legs.  You need me but I don't need you.  What am I?,
banana,"A time when they're green, A time when they're brown, But both of these times.Cause me to frown. But just in between, For a very short while, They're absolutely yellow, And cause me to smile. What am I talking about here?",
liquorice,"My first is a fluid, my second a solid, my whole a plant. What is it?",What is as british as carrot and as sweet as date and as fresh as huckleberry and as fresh as mackerel  ?
sugar,A box of Diamonds that Most love to eat. What Am I ?,What is as polar as carbohydrate and as hard as rum and as white as riesling and as acidic as ammonia  ?
Cheese.,"People often cut into me, and although I can be very sharp, I never cut them back. Most people like me, but even if you hate me, just saying my name will make you smile. What am I?",
footsteps,"What is it the more you take, the more you leave behind?",
troublesome,Remove some and I will give you trouble. What am I?,
bear,"Naked with fur, I catch shoal in mid flight, Blindingly quick with true awesome might, I charge with both power and juggernaut force, Faster than man, woman or horse. What am I?",
volcano,"My thunder rolls beneath me, my lightning flares above.  I dust the crust, and when I bust, all I touch will I shove.    What am I?",
smoke,"I have no feet, no hands, no wings, but I climb to the sky. What am I?",What is as particulate as alumina and as insoluble as oil and as metal as spade and as simple as gear  ?
sibling,"In my life I must bare, my bloodline I must share. What am I?",What is as adult as kidney and as solid as dirt and as light as beech and as domestic as irons  ?
recliner,"I'm big, I'm comfortable, but most of all I'm oh, so lazy.  I have two arms, but only one foot.  What am I?",What is as larger as barracuda and as meaty as poultry_flavor and as tasty as beloved_chocolate and as cold as windows  ?
key,I turn around once. What is out will not get in. I turn around again. What is in will not get out. What am I?,
chocolate,"Sometimes I am light, sometimes I am dark. What am I?",
x-ray,You use me to see inside of someone. What am I?,
freedom,"People who can't see me never aspire, and people who feel me don't want to lose. I fit for a person, but not for a group. I was born into one's consciousness, and I was repressed into rules and order. If a person wants to get me, he has to abandon the views of others and find his true self. I endure, I don't die forever, because there will always be person willing to follow my trail. What am I?",
island,"I am a certain type of land mass. My climate can be tropical, or ice cold. With water surrounding me. You might come to me for vacation. An examples Hawaii. What am I?",
ping pong balls,"I am served at a table,  In gatherings of two or four Served small, white and round.   You'll love some,  And that's part of the fun.    What am I?",
hot air balloon,"I fly like a bird of many colors through the sky. i am made with both wood and fire but i do not burn up.You can see me clearly during the day, but i am nearly invisible at night. What am I?",
chameleon,"Black and Blue. Red and Green. Yellow and Blue. Green and Grey. I am all colours. You can try to get close to me, but you can't escape my vision. If you get greedy, you will try to take your colours for yourself, but before you know it, I will be eating you for lunch. What am I?",What is as beautiful as Maleficent and as aloof as Maleficent and as shrewd as Bernard_Madoff and as witty as Noël_Coward  ?
secret,"If you have me you want to share me, if you share me you won't have me.  What am I?",
earlobe,"I can wear a ring, i help you hear, they arent really noticable, i can be big or small, i can come in weird shaped, i have a drum inside of me.  WHAT AM I?",
mirror,"I turn everything around, but i cannot move when you see me you see you! what am i?",What is as mechanical as gear and as automotive as differential_service and as therapeutic as blood_protein and as natural as jute  ?
pencil lead,"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody.  What am I?",
mine,"I am somewhere far below, where no light goes. Here, all a man can do is hack away until at last the shiny things reveal themselves. What am I?",
Santa Claus,"I have been called many names, through the course of years. I may have been a real person, but I always bring lots of cheers. I am known all over the world, and I come on a winter's night, to spread joy and holiday spirit, and to set children's faces right. If you still don't know my name, just read on a little more, I live in a house on top of the world, and little children I adore. Who am I?",What is as avuncular as Colonel_Sanders and as cynical as Hans_Gruber and as sadistic as Ming_The_Merciless and as sinister as Lord_Voldemort  ?
helicopter,"Without feather or wing I fly, but you'll known what I am when I hover near by. What am I?",What is as mechanical as automobile and as medical as chemotherapy and as investigative as internet_search and as scholarly as Professor_Charles_Xavier  ?
snowflake,"White bird, featherless, flyin' out o' paradise, flyin' over sea and land, dyin' in my hand. What is it?",
winter,"After you go through a fall I will take over. All life will stall, or at least grow slower. What am I?",
devil,"I cannot be mistaken for any other being that raises its young in a pouch. My spine-chilling screeches and black colour, mixed with my reputed bad-temper, can sound and look incredibly fierce. I am nocturnal and can weigh up to 26 pounds and live up to 8 years whilst standing at around 15 inches in height. I can hide and find shelter by day and also find food by night. When I eat, my powerful jaws and teeth devour my entire prey. When I'm stressed, I smell really bad, but when not under duress, my scent is quite ok. At present, I am being strickened by a facial tumour which is threatening my brothers and sisters to the point of complete extinction. What am I?",
fog,"What goes up but floats? You can go through it, but cannot hear it? What is it?",What is as dangerous as ddt and as agricultural as hoe and as dangerous as spider and as wild as bison  ?
attention,If you got hurt you would like me. . .   If you some people think i'm to overated and dramitized. . . . .   and some people go to far. . . .                        What am I ??,
mouse,Most people by now have me.Many people have paid much to get rid of me.And many of the same have paid to get me.I am constantly in your business and sometimes make things very easy.Other times I am a pest and ruin most things I touch. What am I?,
wine,"When young, I am sweet in the sun.   When middle-aged, I make you gay.   When old, I am valued more than ever.   What am I?",
wheat,"It is a 5 letter word if you take away first letter it is something you get from sun, if you remove second letter you will get something to eat, if you remove third letter you get a word you use in pointing at and if you remove the fourth letter you get something to drink. What is it?",
imagination,"With no wings, I fly.  With no eyes, I see.  With no arms, I climb.  More frightening than any beast, stronger than any foe.  I am cunning, ruthless, and tall; in the end, I rule all.     What am I?",
dreams,"I come in darkness, but fill the mind with light.   I bring enlightenment to some, while gripping others in the hand of fear.   With me it can be a journey of inexplicable joy and sorrow.   What I will show you will often be unreachable.   Journey with me and what you see may haunt you.   Journey with me and you may never want to return home.   Journey with me and you will never know when it will end.   What am I?",
ace,"Kings and queens may cling to power, and the jesters may have their call. I am the most common but I can rule them all. What am I?",What is as large as lion and as hungry as lion and as larger as dragonfly and as bloodsucking as mosquito  ?
snake,"When I move, I tip the scales. I am the source of many tales. Around your foot, a sign of wealth. Around a stick, a sign of health. Around your chest, your final breath. On your neck, say hi to death. What am I?",What is as poisonous as insect and as hoofed as deer and as native as bird and as familiar as inch  ?
sheep,"Its fleece is warm and wooly white. And when you lie awake at night, count it and you'll fall asleep. What is it?",What is as larger as legs and as delicate as seafood and as raw as egg and as animal as claw  ?
bird,"I grow in trees, eat living things but have no teeth and give birth to something that looks nothing like me. What am I?",What is as natural as hemp and as natural as silk and as thermoplastic as sheet and as large as state  ?
